"","Year","Mean_flow"
"1",1969,28639.2282608696
"2",1970,44885.6794520548
"3",1971,25881.6246575342
"4",1972,13743.7049180328
"5",1973,40840.8767123288
"6",1974,45005.1123287671
"7",1975,26152.6136986301
"8",1976,5380.32786885246
"9",1977,3688.07945205479
"10",1978,30666.6328767123
"11",1979,16570.2219178082
"12",1980,37685.1475409836
"13",1981,19375.5835616438
"14",1982,58497.1095890411
"15",1983,98011.6630136986
"16",1984,26012.9508196721
"17",1985,7482.02465753425
"18",1986,41596.8109589041
"19",1987,7528.06849315068
"20",1988,5979.62841530055
"21",1989,8866.47397260274
"22",1990,5341.16164383562
"23",1991,6059.78904109589
"24",1992,7473.60382513661
"25",1993,26705.7643835616
"26",1994,7696.92602739726
"27",1995,60214.2493150685
"28",1996,39485.8469945355
"29",1997,41503.1123287671
"30",1998,63611.2465753425
"31",1999,26233.7315068493
"32",2000,24628.3825136612
"33",2001,11385.3424657534
"34",2002,12970.1287671233
"35",2003,18961.4465753425
"36",2004,19992.4945355191
"37",2005,23419.4876712329
"38",2006,54503.1095890411
"39",2007,8308.96164383562
"40",2008,9360.39617486339
"41",2009,9561.47671232877
"42",2010,17703.7561643836
"43",2011,34223.1561643836
"44",2012,13955.9535519126
"45",2013,8897.67671232877
"46",2014,8378.07123287671
"47",2015,6486.93424657534
"48",2016,18464.1666666667
"49",2017,64930.9260273973
"50",2018,13332.1232876712
"51",2019,38870.4520547945
"52",2020,8288.23357664234
