"year","Avg_Annual_DScatch"
1976,1.8
1977,1.69387755102041
1978,2.4875
1979,3.0625
1980,1.02702702702703
1981,1.45539906103286
1982,1.12280701754386
1983,1.10810810810811
1984,1.18421052631579
1985,1.52631578947368
1986,1.05263157894737
1987,1.11764705882353
1988,1
1989,1
1991,1
1992,1.05
1993,1.18518518518519
1994,1.42424242424242
1995,1.5
1996,1.42857142857143
1997,1.06976744186047
1998,1.23880597014925
1999,1.48
2000,1.14864864864865
2001,1.35555555555556
2002,1.13953488372093
2003,1.1651376146789
2004,1.08974358974359
2005,1.20833333333333
2006,1.3728813559322
2007,1
2008,1.1304347826087
2009,1.22727272727273
2010,1.62666666666667
2011,1.12820512820513
2012,1.26881720430108
2013,3
2014,1.2027027027027
2015,2.46153846153846
2016,1
2017,1
