"","Year","Amphipoda_cpue"
"1",1975,10677.3504273504
"2",1976,6493.58974358974
"3",1977,1827.75919732441
"4",1978,1844.23076923077
"5",1979,10978.0982905983
"6",1980,7348.13797313797
"7",1981,2683.58262108262
"8",1982,4319.35541310541
"9",1983,2583.75634517767
"10",1984,5756.32122507122
"11",1985,2875.29137529138
"12",1986,3524.01454267126
"13",1987,1405.00356125356
"14",1988,845.131921218878
"15",1989,325.596816976127
"16",1990,372.96858071506
"17",1991,1102.74990709773
"18",1992,593.304843304843
"19",1993,1059.74002849003
"20",1994,2191.59544159544
"21",1995,1085.86132177681
"22",1996,697.115384615385
"23",1997,1779.91452991453
"24",1998,2572.18309859155
"25",1999,2217.41452991453
"26",2000,2418.26923076923
"27",2001,1965.41132478632
"28",2002,2892.71978021978
"29",2003,4427.5641025641
"30",2004,1731.16987179487
"31",2005,2153.31196581197
"32",2006,4044.8717948718
"33",2007,5380.87606837607
"34",2008,3436.29807692308
"35",2009,3328.25854700855
"36",2010,5771.23397435897
"37",2011,5926.28205128205
"38",2012,6485.57692307692
"39",2013,7276.84294871795
"40",2014,3880.47542735043
"41",2015,1801.81623931624
"42",2016,3066.50641025641
"43",2017,4919.33760683761
"44",2018,3832.26495726496
"45",2019,5047.27564102564
"46",2020,4434.47293447293
