"Year","Amphipoda_CPUE","Amphipoda_BPUE"
1975,2863.78205128205,164.635802972761
1977,141.025641025641,5.43972564783123
1978,121.260683760684,8.54578733402848
1979,1189.99287749288,103.671582517809
1980,797.542735042735,53.930463370247
1981,307.677469135802,23.076754963514
1982,504.837369420703,35.1209854384011
1983,378.779785029785,27.0590975515887
1984,798.403371320038,63.5960979556683
1985,308.825433825434,23.4260716666488
1986,399.965434891905,27.4404823692364
1987,132.181861348528,11.0507862359453
1988,35.1953601953602,3.85770728236015
1989,7.29442970822281,0.807443624478769
1990,32.6007326007326,3.95356246048766
1991,101.024384112619,10.6332445459971
1992,71.4476495726496,7.02409713117424
1993,113.440764482431,10.2304812678362
1994,279.424857549858,23.4276064645981
1995,162.332112332112,17.2051544620502
1996,58.081165158371,5.21012372962944
1997,147.803151709402,15.8766870452705
1998,215.489227207977,20.670792385317
1999,184.784544159544,16.3552822781624
2000,201.455662393162,18.1920272156221
2001,163.55056980057,13.4965148070194
2002,240.052655677656,19.6415521367365
2003,368.349358974359,34.4722473384814
2004,142.928685897436,9.77798137830232
2005,178.418803418803,13.3041782829148
2006,336.805555555556,32.928256322522
2007,444.845085470086,37.655727813386
2008,278.846153846154,22.5362300018525
2009,270.276887464387,22.8030453720153
2010,476.451210826211,41.3134523994871
2011,493.278133903134,39.7726363600698
2012,538.706374643875,45.5356193213641
2013,604.266826923077,56.5420634239625
2014,314.837072649573,29.2652725048031
2015,140.124198717949,11.5032534133308
2016,250.61209045584,17.0579085899949
2017,409.699964387464,33.7732963284807
2018,317.240918803419,22.5526224930709
2019,419.270833333333,30.4839207499334
2020,363.188509021842,28.218856879012
