Calendar_Year,Mean_outflow_CY,Mean_inflow_CY,Mean_YOLO_CY,Mean_SAC_CY,Mean_Export_CY,Water_year,Mean_outflow_WY,Mean_inflow_WY,Mean_YOLO_WY,Mean_SAC_WY,Mean_Export_WY
1970,44885.67945205479,48723.26575342466,12100.78904109589,30664.383561643837,3208.8246575342464,1970,41567.18356164383,45646.73424657534,11689.682191780821,27888.219178082192,2988.0602739726028
1971,25881.624657534245,31666.857534246574,881.1452054794521,27525.479452054795,4251.084931506849,1971,32068.25205479452,37117.098630136985,1827.805479452055,31589.86301369863,4019.0575342465754
1972,13743.704918032787,20412.98907103825,126.71311475409836,18329.781420765026,5223.117486338798,1972,12646.754098360656,19323.024590163935,40.5,17246.994535519127,4877.3224043715845
1973,40840.87671232877,46290.364383561646,6988.605479452055,33517.808219178085,4860.3369863013695,1973,33679.98630136986,39035.02191780822,5300.06301369863,28516.438356164384,4798.2986301369865
1974,45005.11232876712,52081.50684931507,8697.331506849316,37436.438356164384,5737.567123287671,1974,51691.282191780825,58786.49315068493,10465.37808219178,42344.109589041094,6138.0191780821915
1975,26152.613698630135,34134.80273972603,1292.0684931506848,27378.630136986303,6668.953424657534,1975,27474.709589041096,34182.32876712329,1299.8465753424657,27447.12328767123,5493.808219178082
1976,5380.327868852459,13059.245901639344,14.846994535519126,11553.79781420765,5899.002732240438,1976,9009.478142076503,17596.377049180326,20.103825136612024,15181.88524590164,6883.398907103825
1977,3688.0794520547947,7993.712328767123,1.1178082191780823,7548.3835616438355,2877.745205479452,1977,3421.427397260274,8226.72602739726,1.810958904109589,7608.301369863014,3074.8
1978,30666.63287671233,38143.16712328767,3928.8931506849317,25638.08219178082,6763.334246575342,1978,29438.084931506848,36050.17808219178,3927.9671232876713,24362.328767123287,6133.772602739726
1979,16570.22191780822,23929.471232876713,281.1616438356164,18792.054794520547,6588.041095890411,1979,15750.51506849315,23156.24109589041,202.45479452054795,17953.424657534248,6350.868493150685
1980,37685.147540983606,45361.94535519126,8652.29781420765,25809.289617486338,6432.98087431694,1980,38731.360655737706,46031.497267759565,8728.800546448087,26576.22950819672,6402.371584699454
1981,19375.583561643834,26609.386301369865,2555.150684931507,21412.931506849316,6323.915068493151,1981,10875.13698630137,18875.471232876713,171.5808219178082,15868.739726027397,6671.1205479452055
1982,58497.109589041094,65165.12602739726,8538.032876712328,41810.68493150685,6845.945205479452,1982,56506.9698630137,63073.26301369863,9841.405479452054,41503.91780821918,6511.8410958904105
1983,98011.66301369864,102973.65753424658,24336.22191780822,49907.67123287671,5080.295890410959,1983,88767.51506849316,94949.27671232876,20504.11506849315,46895.61643835616,6205.994520547945
1984,26012.950819672133,34237.633879781424,1868.9125683060108,24947.814207650274,6783.2786885245905,1984,42151.071038251364,48774.36338797814,6551.166666666667,31019.12568306011,5472.24043715847
1985,7482.024657534246,16838.44383561644,35.726027397260275,13859.945205479453,7994.991780821918,1985,11611.227397260274,20677.964383561644,236.67945205479452,16860.328767123287,7753.490410958904
1986,41596.81095890411,49669.046575342465,13962.342465753425,25202.739726027397,7234.690410958904,1986,40950.15342465753,48832.665753424655,13975.657534246575,24784.27397260274,7505.123287671233
