year,corbicula_cpue,potamocorbula_cpue
1975,1099.0873533246415,0
1976,1834.700226244344,0
1977,1490.3846153846155,0
1978,1243.7629937629938,0
1979,1095.1825951825952,0
1980,1239.5833333333333,0
1981,1604.1666666666667,0
1982,2094.0838675213677,0
1983,1822.9417067307693,0
1984,1885.0827991452993,0
1985,1282.852564102564,0
1986,596.3651732882503,0
1987,895.0490998363339,660.8019639934535
1988,640.3212172442942,808.748943364328
1989,1103.9612097304405,398.9151873767259
1990,1708.2995951417006,396.35627530364377
1991,1269.2968543484008,723.0372720063442
1992,526.3000239635754,743.2302899592619
1993,609.3338126048407,965.4325425353463
1994,515.8475783475783,441.7735042735043
1995,728.0134196022046,172.23819793913253
1996,502.9356705241661,712.6021102791015
1997,544.6338595901915,873.0265367819954
1998,720.7881603854759,781.0187575288246
1999,688.5100193923723,808.7427278603749
2000,430.08814102564105,3037.700320512821
2001,369.69063545150505,1327.968227424749
2002,524.7252747252747,1072.4385908209438
2003,477.8846153846154,1162.5961538461538
2004,568.0769230769231,1422.0512820512822
2005,361.2179487179488,1302.9647435897436
2006,490.625,1634.8557692307693
2007,350.2403846153846,1300.3205128205127
2008,343.83012820512823,2051.4823717948716
2009,360.9775641025641,2145.913461538462
2010,378.92628205128204,1464.4230769230771
2011,396.03365384615387,1247.4358974358975
2012,381.9310897435897,1479.1666666666667
2013,327.97349709114417,1907.3610213316097
2014,307.48859191655805,2385.919165580183
2015,212.2195512820513,1879.967948717949
2016,158.57371794871796,1322.3157051282053
2017,321.71137685843564,1379.3632837750486
2018,576.5625,2333.49358974359
2019,521.474358974359,2020.6730769230771
2020,734.9358974358975,2854.4871794871797
