"","Year","Corbicula_cpue","Potamocorbula_cpue"
"1",1975,973.290598290598,0
"2",1976,4893.16239316239,0
"3",1977,1149.38684503902,0
"4",1978,170.512820512821,0
"5",1979,1428.4188034188,0
"6",1980,1191.54456654457,0
"7",1981,1561.52065527066,0
"8",1982,1983.17307692308,0
"9",1983,1695.04099960953,0
"10",1984,2058.84971509972,0
"11",1985,1173.65967365967,0
"12",1986,560.658247225411,0
"13",1987,808.048433048433,857.193732193732
"14",1988,543.478260869565,1064.75287997027
"15",1989,883.289124668435,535.919540229885
"16",1990,1505.41711809317,528.169014084507
"17",1991,1033.3519137867,863.433667781494
"18",1992,504.62962962963,848.201566951567
"19",1993,759.259259259259,364.405270655271
"20",1994,325.231481481482,554.843304843305
"21",1995,505.055976886963,111.231491513182
"22",1996,591.911764705882,191.742081447964
"23",1997,667.735042735043,599.358974358974
"24",1998,1154.65872156013,210.996749729144
"25",1999,747.195512820513,670.005341880342
"26",2000,425.614316239316,459.001068376068
"27",2001,222.355769230769,1014.82371794872
"28",2002,346.428571428572,1211.53846153846
"29",2003,297.75641025641,1255.60897435897
"30",2004,241.185897435897,1080.52884615385
"31",2005,498.397435897436,1115.11752136752
"32",2006,935.363247863248,1814.63675213675
"33",2007,472.889957264957,1379.94123931624
"34",2008,490.518162393162,3074.65277777778
"35",2009,479.03311965812,3275.77457264957
"36",2010,508.413461538462,1748.39743589744
"37",2011,444.711538461539,557.959401709402
"38",2012,262.419871794872,1213.80876068376
"39",2013,423.878205128205,2920.53952991453
"40",2014,406.784188034188,4490.65170940171
"41",2015,301.148504273504,2776.7094017094
"42",2016,217.41452991453,1370.05876068376
"43",2017,573.584401709402,847.222222222222
"44",2018,377.537393162393,978.365384615385
"45",2019,501.201923076923,1625
"46",2020,860.220797720798,1906.87321937322
