"Year","Corbicula_cpue","Potamocorbula_cpue"
1975,525.641025641026,0
1977,326.923076923077,0
1978,19.2307692307692,0
1979,1067.30769230769,0
1980,1721.91697191697,0
1981,1586.00427350427,0
1982,2050.74786324786,0
1983,2265.34576534577,0
1984,3051.81623931624,0
1985,1524.86402486402,0
1986,619.155354449472,0
1987,608.796296296296,1336.89458689459
1988,519.59706959707,1620.51282051282
1989,686.118479221927,958.222811671088
1990,1442.67399267399,761.904761904762
1991,610.105580693816,937.594268476621
1992,494.65811965812,1172.36467236467
1993,1095.79772079772,337.428774928775
1994,316.239316239316,769.230769230769
1995,552.564102564103,170.512820512821
1996,591.911764705882,191.742081447964
1997,667.735042735043,599.358974358974
1998,1138.88888888889,212.606837606838
1999,747.195512820513,670.005341880342
2000,425.614316239316,459.001068376068
2001,222.355769230769,1014.82371794872
2002,346.428571428571,1211.53846153846
2003,297.75641025641,1255.60897435897
2004,241.185897435897,1080.52884615385
2005,498.397435897436,1115.11752136752
2006,935.363247863248,1814.63675213675
2007,472.889957264957,1379.94123931624
2008,490.518162393162,3074.65277777778
2009,479.03311965812,3275.77457264957
2010,508.413461538462,1748.39743589744
2011,444.711538461539,557.959401709402
2012,262.419871794872,1213.80876068376
2013,423.878205128205,2920.53952991453
2014,406.784188034188,4490.65170940171
2015,301.148504273504,2776.7094017094
2016,217.41452991453,1370.05876068376
2017,573.584401709402,847.222222222222
2018,377.537393162393,978.365384615385
2019,501.201923076923,1625
2020,860.220797720798,1906.87321937322
