"Year","Region","DJFMP_fish_catch_per_seine_Silverside","DJFMP_fish_biomass_Silverside"
1976,"North",0,0
1976,"South",0,0
1977,"North",0.208333333333333,320.637475708208
1978,"North",1.12777777777778,2159.75746745917
1978,"South",0,0
1979,"North",4.86916666666667,11030.5238407004
1979,"South",0.708333333333333,1329.3634566769
1980,"North",4.915,6889.182825638
1980,"South",1.82,3030.6980504591
1981,"North",1.01277777777778,1577.31350401419
1981,"South",2.97333333333333,3375.61809997051
1982,"North",19.5366666666667,4069.4052537214
1982,"South",1.12166666666667,645.176924176074
1983,"North",13.0716666666667,12767.7213286713
1983,"South",3.75666666666667,5553.44139625802
1984,"North",11.2733333333333,13858.2448549154
1984,"South",16.9458333333333,21907.5013843817
1985,"North",11.1052083333333,17863.2651890658
1985,"South",5.41875,13423.763016962
1986,"North",6.49479166666667,9812.84370094974
1986,"South",2.6875,4662.05434916419
1987,"North",9.90972222222222,13469.6766446196
1987,"South",7.59722222222222,12134.7385918907
1988,"North",5.47916666666667,11555.5055385711
1988,"South",1.54166666666667,2485.43351336819
1989,"North",6.84791666666667,11867.5816333165
1989,"South",14.1770833333333,18005.2944614445
1990,"North",4.66666666666667,4082.47511418649
1990,"South",8.16666666666667,11086.3630386176
1991,"North",8.31944444444444,10661.1177041766
1991,"South",13.9722222222222,18817.0285080875
1992,"North",19.3083333333333,24704.8572227195
1992,"South",11.8583333333333,14004.7783395166
1993,"North",5.36944444444444,7631.1525700787
1993,"South",1.83166666666667,2722.96179129886
1994,"North",23.1133333333333,29983.9060121881
1994,"South",11.915,16564.4069566653
1995,"North",16.6233333333333,17079.5914903998
1995,"South",6.53666666666667,10213.8807431448
1996,"North",38.935,47955.3726237989
1996,"South",5.42166666666667,7852.45141249552
1997,"North",22.1958333333333,18222.9117308184
1997,"South",11.5333333333333,12548.5365524475
1998,"North",13.4333333333333,15743.213655554
1998,"South",11.11,13312.6350410926
1999,"North",23.7575,23067.3728668638
1999,"South",6.725,8097.65986802391
2000,"North",25.365,24957.1555387776
2000,"South",9.2,11129.1462820873
2001,"North",57.66,86763.5164057974
2001,"South",10.8383333333333,13927.328862978
2002,"North",40.685,56902.8164593709
2002,"South",9.96833333333333,12895.1238615344
2003,"North",51.1675,56712.7289926641
2003,"South",13.115,14183.9750691942
2004,"North",55.6941666666667,66372.9043374883
2004,"South",29.9133333333333,36399.5877403614
2005,"North",72.1108333333333,89797.8737782566
2005,"South",40.3683333333333,35977.8111731074
2006,"North",167.88,151773.909975393
2006,"South",82.4,58641.2052313037
2007,"North",30.3808333333333,29359.749042921
2007,"South",27.765,28374.1781947379
2008,"North",9.64666666666667,7543.12266740568
2008,"South",23.4966666666667,24709.1537949085
2009,"North",226.910833333333,251769.017964182
2009,"South",63.37,72137.306654551
2010,"North",37.7591666666667,34681.1917096744
2010,"South",84.9683333333333,88305.0043570637
2011,"North",48.1591666666667,49994.1021872788
2011,"South",101.165,84398.8401579198
2012,"North",18.3258333333333,14503.1319893592
2012,"South",48.69,47591.2615046673
2013,"North",63.4333333333333,55974.9994590662
2013,"South",41.6983333333333,42051.9672924253
2014,"North",112.024166666667,75053.1092584231
2014,"South",137.52,146346.931989041
2015,"North",73.3019444444444,76539.5018783379
2015,"South",22.6866666666667,26756.5196852417
2016,"North",110.819444444444,103940.005132813
2016,"South",24.84,24252.2561282434
2017,"North",1.36666666666667,2290.05854886986
2017,"South",96.53,72986.7891203948
2018,"North",48.1113888888889,63824.7610811804
2018,"South",13.545,22768.0831521079
2019,"North",39.3483333333333,29464.72245561
2019,"South",80.5716666666667,60439.3640750152
2020,"North",18.6,36376.3163547565
2020,"South",13.5,21791.02578728
