"Year","STN_fish_catch_per_tow_AmericanShad","STN_fish_catch_per_tow_DeltaSmelt","STN_fish_catch_per_tow_LongfinSmelt","STN_fish_catch_per_tow_NorthernAnchovy","STN_fish_catch_per_tow_PacificHerring","STN_fish_catch_per_tow_StripedBass_age0","STN_fish_catch_per_tow_ThreadfinShad","STN_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","STN_fish_catch_per_tow_Marine_pelagic_forage_fishes","STN_fish_biomass_AmericanShad","STN_fish_biomass_DeltaSmelt","STN_fish_biomass_LongfinSmelt","STN_fish_biomass_NorthernAnchovy","STN_fish_biomass_PacificHerring","STN_fish_biomass_StripedBass_age0","STN_fish_biomass_ThreadfinShad","STN_fish_biomass_Estuarine_pelagic_forage_fishes","STN_fish_biomass_Marine_pelagic_forage_fishes"
1959,0,7.22177419354839,0.357429718875502,9.64112903225806,0,2.85574092247301,0,10.4349448348969,9.64112903225806,0,0,12.6987262501244,0,0,2708.00192416377,0,2720.70065041389,0
1960,0.00411522633744856,7.05761316872428,0.312757201646091,1.65020576131687,0,4.51713395638629,0,11.8916195530941,1.65020576131687,0,0,0,0,0,2405.19940225178,0,2405.19940225178,0
1961,0,6.67619047619048,0.673015873015873,0.546031746031746,0,4.12087912087912,0,11.4700854700855,0.546031746031746,0,0,0,0,0,1507.13827913456,0,1507.13827913456,0
1962,0.0266666666666667,9.64666666666667,3.08333333333333,0.213333333333333,0,7.10379241516966,0,19.8604590818363,0.213333333333333,0,0,0,0,0,2420.25411632723,0,2420.25411632723,0
1963,0.266666666666667,0.701333333333333,0.0373333333333333,0.242666666666667,0.00533333333333333,9.65628281414071,0.072,10.733616147474,0.248,0,0,0,0,0,2196.36662658869,0,2196.36662658869,0
1964,0.146666666666667,12.9333333333333,1.88333333333333,0.363333333333333,0.146666666666667,7.95664739884393,0.01,22.9299807321773,0.51,0,0,0,0,0,1864.35574421468,0,1864.35574421468,0
1965,1.88333333333333,3.32,2.00333333333333,0.0933333333333333,0.0166666666666667,8.78725626740947,0.0266666666666667,16.0205896007428,0.11,0,0,0,0,0,2264.64792843534,0,2264.64792843534,0
1967,0,0,0,0,0,7.00702769739562,0,7.00702769739562,0,0,0,0,0,0,2547.03091233774,0,2547.03091233774,0
1968,0,0,0,0,0,8.48005260850504,0,8.48005260850504,0,0,0,0,0,0,2300.42689351619,0,2300.42689351619,0
1969,0.210526315789474,0.975232198142415,1.95046439628483,0.0340557275541796,0.0185758513931889,6.57789979409746,0.0340557275541796,9.74817843186836,0.0526315789473684,0,0,0,0,0,1962.86846943737,0,1962.86846943737,0
1970,0.0578231292517007,10.656462585034,1.50340136054422,0.877551020408163,0.00340136054421769,5.96783844427824,0.136054421768707,18.3215799408769,0.880952380952381,0,0,0,0,0,2333.24101528455,0,2333.24101528455,0
1971,0.271468144044321,6.52908587257618,3.33518005540166,0.351800554016621,0,4.52341498559078,0.404432132963989,15.0635811905769,0.351800554016621,0,0,0,0,0,1247.09150384478,0,1247.09150384478,0
1972,0.329749103942652,13.1541218637993,1.9426523297491,2.1505376344086,0.03584229390681,4.35337323177367,0.114695340501792,19.8945918697665,2.18637992831541,0,0,0,0,0,924.886769747414,0,924.886769747414,0
1973,0.34453781512605,2.20868347338936,0.814285714285714,0.877159309021113,0.0138888888888889,4.44981862152358,0.0504587155963303,7.86778433992103,0.891048197910002,383.348127117449,988.509454530623,432.485977781739,5572.810054622,43.1691623052888,1557.41539257974,190.44137305372,3552.20032506327,5615.97921692728
1974,0.616766467065868,1.60049019607843,2.72013651877133,0.184100418410042,0,3.97306855277476,0.013953488372093,8.92441522306248,0.184100418410042,621.125326079348,811.356079087384,1954.81930340481,1852.90229641421,0,1448.69078384398,13.9222743649815,4849.9137667805,1852.90229641421
1975,0.899824253075571,1.81225680933852,0.0973154362416107,0.143769968051118,0,4.04319699499165,0.117056856187291,6.96965034983465,0.143769968051118,991.143623287344,913.23062263287,131.868902448083,1016.49652341997,0,1372.76005135716,339.124217473101,3748.12741719856,1016.49652341997
