"Year","Region","STN_fish_catch_per_tow_AmericanShad","STN_fish_catch_per_tow_DeltaSmelt","STN_fish_catch_per_tow_LongfinSmelt","STN_fish_catch_per_tow_NorthernAnchovy","STN_fish_catch_per_tow_PacificHerring","STN_fish_catch_per_tow_StripedBass_age0","STN_fish_catch_per_tow_ThreadfinShad","STN_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","STN_fish_catch_per_tow_Marine_pelagic_forage_fishes","STN_fish_biomass_AmericanShad","STN_fish_biomass_DeltaSmelt","STN_fish_biomass_LongfinSmelt","STN_fish_biomass_NorthernAnchovy","STN_fish_biomass_PacificHerring","STN_fish_biomass_StripedBass_age0","STN_fish_biomass_ThreadfinShad","STN_fish_biomass_Estuarine_pelagic_forage_fishes","STN_fish_biomass_Marine_pelagic_forage_fishes"
1959,"North",0,43.3888888888889,0.621621621621622,0,0,7.33333333333333,0,51.3438438438438,0,0,0,85.4589955751614,0,0,7535.51551635666,0,7620.97451193182,0
1959,"South",0,1.4047619047619,0.0238095238095238,0.583333333333333,0,2.26785714285714,0,3.69642857142857,0.583333333333333,0,0,0,0,0,1295.54312818849,0,1295.54312818849,0
1959,"West",0,0.8671875,0.5,18.296875,0,1.69281045751634,0,3.05999795751634,18.296875,0,0,0,0,0,2879.13704227045,0,2879.13704227045,0
1960,"North",0,34.9722222222222,0,0,0,8.90643274853801,0,43.8786549707602,0,0,0,0,0,0,6000.88733778811,0,6000.88733778811,0
1960,"South",0.0119047619047619,2.16666666666667,0.0119047619047619,0,0,3.22735042735043,0,5.41782661782662,0,0,0,0,0,0,1052.89107927208,0,1052.89107927208,0
1960,"West",0,2.22764227642276,0.609756097560976,3.26016260162602,0,4.52462121212121,0,7.36201958610495,3.26016260162602,0,0,0,0,0,2738.9829855215,0,2738.9829855215,0
1961,"North",0,26.1777777777778,0.133333333333333,0,0,5.02388059701493,0,31.334991708126,0,0,0,0,0,0,2316.89783654039,0,2316.89783654039,0
1961,"South",0,4.62857142857143,0.00952380952380952,0,0,3.77820025348542,0,8.41629549158066,0,0,0,0,0,0,1024.92937221138,0,1024.92937221138,0
1961,"West",0,2.66060606060606,1.24242424242424,1.04242424242424,0,4.07471264367816,0,7.97774294670846,1.04242424242424,0,0,0,0,0,1664.02531337512,0,1664.02531337512,0
1962,"North",0.0416666666666667,42.8958333333333,0.0208333333333333,0,0,5.48387096774194,0,48.4422043010753,0,0,0,0,0,0,2406.28137720533,0,2406.28137720533,0
