"Year","BayStudy_MidwaterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_MidwaterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_MidwaterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_MidwaterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_MidwaterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_AmericanShad","BayStudy_MidwaterTrawl_fish_biomass_PacificHerring","BayStudy_MidwaterTrawl_fish_biomass_ThreadfinShad","BayStudy_MidwaterTrawl_fish_biomass_NorthernAnchovy","BayStudy_MidwaterTrawl_fish_biomass_DeltaSmelt","BayStudy_MidwaterTrawl_fish_biomass_StripedBass_age0","BayStudy_MidwaterTrawl_fish_biomass_LongfinSmelt","BayStudy_MidwaterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_MidwaterTrawl_fish_biomass_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_AmericanShad","BayStudy_OtterTrawl_fish_catch_per_tow_PacificHerring","BayStudy_OtterTrawl_fish_catch_per_tow_ThreadfinShad","BayStudy_OtterTrawl_fish_catch_per_tow_NorthernAnchovy","BayStudy_OtterTrawl_fish_catch_per_tow_DeltaSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_StripedBass_age0","BayStudy_OtterTrawl_fish_catch_per_tow_LongfinSmelt","BayStudy_OtterTrawl_fish_catch_per_tow_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_catch_per_tow_Marine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_AmericanShad","BayStudy_OtterTrawl_fish_biomass_PacificHerring","BayStudy_OtterTrawl_fish_biomass_ThreadfinShad","BayStudy_OtterTrawl_fish_biomass_NorthernAnchovy","BayStudy_OtterTrawl_fish_biomass_DeltaSmelt","BayStudy_OtterTrawl_fish_biomass_StripedBass_age0","BayStudy_OtterTrawl_fish_biomass_LongfinSmelt","BayStudy_OtterTrawl_fish_biomass_Estuarine_pelagic_forage_fishes","BayStudy_OtterTrawl_fish_biomass_Marine_pelagic_forage_fishes"
1980,1.0462962962963,1.47512283744168,0.741666666666667,6.89618958048336,0.792478045055365,1.18029259709319,5.94834068600179,9.70907429111331,8.37131241792503,29879.6886980924,2006.22536940376,8945.5398696022,37218.9705760595,1331.58814296524,8649.21168730667,8110.55323612801,56916.5816340945,39225.1959454632,0.166666666666667,0.765639589169001,0.333333333333333,1.2081477553906,0.696363636363636,1.51137955182073,5.43677402658118,8.14451721476554,1.9737873445596,1677.70472124283,760.841916334717,4039.02229326242,4934.95953398426,818.038966014829,10389.3007920346,5511.09266596014,22435.1594385148,5695.80145031898
1981,1.0103828776645,1.75084745762712,0.333333333333333,16.7273594166253,0.90640522875817,1.93319399355361,1.78953641869856,5.97285185200818,18.4782068742525,15884.2333968007,2328.1659155635,2231.10424192576,43200.2873263618,2230.25168372272,6681.76626750497,7841.05842098595,34868.4140109401,45528.4532419253,0,0.655753968253968,0,2.0203211517165,0.743686868686869,2.61894921563452,1.17913698287714,4.54177306719853,2.67607511997047,0,1108.19289897916,0,5848.25889271349,1315.12067245415,7734.84239995103,4317.03506817705,13366.9981405822,6956.45179169265
1982,2.48863313441319,3.14226272668692,0.746031746031746,17.9662491760053,0.656308851224106,4.92451075094852,13.3587075331032,22.1741920157208,21.1085119026922,26286.1797373512,5162.56247596107,3236.1283249059,48398.4157613423,1522.50471399871,12848.2307499618,9654.38489001692,53547.4284162345,53560.9782373034,0.638888888888889,0.918115942028986,0,0.843062734367082,0.854545454545454,1.90737978870664,7.91566127963587,11.3164754117769,1.76117867639607,12892.8576303598,988.683556236956,0,3531.00263834568,1765.37293929483,8277.36055935027,6572.98977206201,29508.5809010669,4519.68619458264
1983,1.63901364522417,0.564814814814815,1.4973544973545,10.3382529861648,1.47949735449735,2.613435612948,1.69034986129441,8.91965097131843,10.9030678009796,8213.29962549132,1150.42480397253,12321.9554722734,28946.2265173633,2162.73303465154,10166.6884249031,8578.64049572991,41443.3170530493,30096.6513213358,0.797979797979798,0.366666666666667,0.166666666666667,1.14777081156392,0.619607843137255,4.39773823877949,1.22493015114283,7.20692269770603,1.51443747823058,4268.49419735962,1101.70713889412,1636.43956830208,2875.02350393075,816.743780185502,13687.5123713878,4254.9898653881,24664.1797826231,3976.73064282487
1984,1.40151654130741,4.45732323232323,0.801587301587302,16.6175387300794,0.88968253968254,1.92649030757841,1.42223740100921,6.44151409116487,21.0748619624026,13672.7445289736,2604.22387399145,5123.62326751718,92589.8689022027,2916.44447928262,9552.9097995383,7296.50373867994,38562.2258139917,95194.0927761942,0.5,0.714285714285714,0.333333333333333,0.82863711001642,0.333333333333333,2.96911394122206,1.77671957671958,5.9125001846083,1.54292282430213,6296.59787928656,618.212448751817,3595.84129916795,4736.67325554633,764.778769761737,12288.7299026252,4549.65119703266,27495.5990478741,5354.88570429815
1985,0.72441942294159,4.28419582454354,0.2,19.1995759327667,0.404761904761905,0.842553366174056,1.87448018193632,4.04621487581387,23.4837717573102,7394.84459019018,3358.87827524303,2050.70861753112,78723.5279104174,1727.17153135228,4920.51525537224,7135.41618692003,23228.6561813659,82082.4061856604,0.25,0.886484593837535,0.0833333333333333,1.60719874804382,0,1.4064185101058,1.15327571489543,2.89302755833456,2.49368334188135,5347.84050152219,1693.4774818499,652.492386145361,5057.84008947224,0,8898.45873100772,3661.7928931928,18560.5845118681,6751.31757132214
1986,1.04938271604938,4.62112403100775,0.933333333333333,11.9784209372004,1.20967741935484,3.34839752593411,1.86528591902913,8.40607691370079,16.5995449682082,17609.0082972314,4865.56076381673,10022.2889842617,51792.9485923855,2436.3518133351,9531.63519338478,5020.67981215382,44619.9641003668,56658.5093562023,1,1.09090909090909,NA,1.48547754811119,1,2.002067161328,1.44239246991541,NA,2.57638663902028,8368.92396239143,974.331289106711,NA,7843.46728594508,3710.1173767543,5718.47933092918,3096.34652682957,NA,8817.79857505179
1987,0.914235055724417,2.43466580700623,0,10.8455346765586,0.633333333333333,1.00854700854701,1.59471591028968,4.15083130789444,13.2802004835648,11723.0718499481,2469.44711350086,0,48222.1858323371,1783.75106860346,3918.46824925215,9711.34249285045,27136.6336606541,50691.6329458379,0.0666666666666667,0.666666666666667,0,1.45091324200913,0,1.86398735785528,1.35791245791246,3.28856648243441,2.1175799086758,557.928264159429,250.437780734423,0,5888.5486113631,0,6957.37559713205,7710.47883485819,15225.7826961497,6138.98639209752
1988,1.3209219858156,6.29945541111646,0.166666666666667,4.42811790892137,0.75,1.11300896286812,1.07140974967062,4.42200736502101,10.7275733200378,11123.0402808917,2915.73736839914,968.174144401003,25506.9455225715,1747.30182247271,7675.70156151017,7651.2360455396,29165.4538548152,28422.6828909707,0.5,1.01851851851852,0,0.868772893772894,0.5,1.58808250572956,1.04702911467617,3.63511162040574,1.88729141229141,4649.76248338498,840.859216956054,0,3458.09423290988,1089.57160248054,4966.02680425148,4093.35892718382,14798.7198173008,4298.95344986593
1989,1.29444444444444,1.25234982882042,0,5.50543783963267,0.73015873015873,1.0204991087344,0.931159420289855,3.97626170362743,6.75778766845309,24754.6783805087,1470.34674251592,0,28543.6115838471,2008.33310983935,5318.73933391247,5932.35282341272,38014.1036476733,30013.958326363,0,0.470588235294118,0,0,0.125,1.89116384180791,0.953703703703704,2.96986754551161,0.470588235294118,0,202.347732782978,0,0,68.9866601010863,6218.12253347634,3007.61292458654,9294.72211816397,202.347732782978
