"Year","Region","STN_fish_catch_per_tow_AmericanShad","STN_fish_catch_per_tow_PacificHerring","STN_fish_catch_per_tow_ThreadfinShad","STN_fish_catch_per_tow_NorthernAnchovy","STN_fish_catch_per_tow_DeltaSmelt","STN_fish_catch_per_tow_StripedBass_age0","STN_fish_catch_per_tow_LongfinSmelt","STN_fish_biomass_Estuarine_pelagic_forage_fishes","STN_fish_catch_per_tow_Marine_pelagic_forage_fishes","STN_fish_biomass_AmericanShad","STN_fish_biomass_PacificHerring","STN_fish_biomass_ThreadfinShad","STN_fish_biomass_NorthernAnchovy","STN_fish_biomass_DeltaSmelt","STN_fish_biomass_StripedBass_age0","STN_fish_biomass_LongfinSmelt","STN_fish_biomass_Marine_pelagic_forage_fishes"
1959,"North",0,0,0,0,43.3888888888889,7.33333333333333,0.621621621621622,58.1002703727888,18.8802083333333,NA,NA,NA,NA,NA,NA,NA,NA
1959,"South",0,0,0,0.583333333333333,1.4047619047619,2.26785714285714,0.0238095238095238,58.1002703727888,18.8802083333333,NA,NA,NA,NA,NA,NA,NA,NA
1959,"West",0,0,0,18.296875,0.8671875,1.69281045751634,0.5,58.1002703727888,18.8802083333333,NA,NA,NA,NA,NA,NA,NA,NA
1960,"North",0,0,0,0,34.9722222222222,8.90643274853801,0,56.6585011746918,3.26016260162602,NA,NA,NA,NA,NA,NA,NA,NA
1960,"South",0.0119047619047619,0,0,0,2.16666666666667,3.22735042735043,0.0119047619047619,56.6585011746918,3.26016260162602,NA,NA,NA,NA,NA,NA,NA,NA
1960,"West",0,0,0,3.26016260162602,2.22764227642276,4.52462121212121,0.609756097560976,56.6585011746918,3.26016260162602,NA,NA,NA,NA,NA,NA,NA,NA
1961,"North",0,0,0,0,26.1777777777778,5.02388059701493,0.133333333333333,47.7290301464152,1.04242424242424,NA,NA,NA,NA,NA,NA,NA,NA
1961,"South",0,0,0,0,4.62857142857143,3.77820025348542,0.00952380952380952,47.7290301464152,1.04242424242424,NA,NA,NA,NA,NA,NA,NA,NA
1961,"West",0,0,0,1.04242424242424,2.66060606060606,4.07471264367816,1.24242424242424,47.7290301464152,1.04242424242424,NA,NA,NA,NA,NA,NA,NA,NA
1962,"North",0.0416666666666667,0,0,0,42.8958333333333,5.48387096774194,0.0208333333333333,73.9129876256466,0.380952380952381,NA,NA,NA,NA,NA,NA,NA,NA
1962,"South",0.0714285714285714,0,0,0,2.19047619047619,4.84804469273743,0,73.9129876256466,0.380952380952381,NA,NA,NA,NA,NA,NA,NA,NA
1962,"West",0,0,0,0.380952380952381,3.875,8.98583386992917,5.5,73.9129876256466,0.380952380952381,NA,NA,NA,NA,NA,NA,NA,NA
1963,"North",0.483333333333333,0,0,0,1.33333333333333,11.406,0,31.3548717948718,0.442857142857143,NA,NA,NA,NA,NA,NA,NA,NA
