Year,Temperature
1975,14.894157588589461
1976,16.364775467633216
1977,16.250195698138196
1978,16.268567360477515
1979,16.665728405293407
1980,15.734083027461795
1981,16.781726960384205
1982,15.363668300674712
1983,16.0135691100433
1984,16.48083041066661
1985,15.802252946591711
1986,16.285353533965335
1987,16.616563303090096
1988,16.35368056871747
1989,16.08464074206628
1990,16.420010779868914
1991,15.890286179976156
1992,17.071106322458267
1993,16.13783887775573
1994,16.09639208773019
1995,16.38430591123024
1996,16.50048050155703
1997,16.7047003343821
1998,15.848567143450907
1999,15.461784992360851
2000,16.149805937371788
2001,16.348937403570275
2002,16.358301340705008
2003,16.474931688957607
2004,16.54501926740609
2005,16.376363985391798
2006,16.059918848955274
2007,16.240042413769647
2008,16.059346594115397
2009,16.113359066855992
2010,15.994874975593508
2011,15.601880108655129
2012,16.438079692505944
2013,16.34275606060058
2014,17.57580954718681
2015,17.3870074184199
2016,16.79088043990601
2017,16.5475056402133
2018,16.643979676736556
2019,16.461837884268242
2020,17.349034745629826
