Year,Cladoceran_BPUE,Herbivorous_Copepods_BPUE,Mysida_BPUE,Predatory_Copepods_BPUE,Cladoceran_CPUE,Herbivorous_Copepods_CPUE,Mysida_CPUE,Predatory_Copepods_CPUE
1972,333382.962,1977515.8915,28082151.259163592,943456.752,555638.27,557046.73,11331.08,280790.7
1973,295190.19,1097353.777,32111191.47669586,418021.53119999997,491983.65,309113.74,16998.79,124411.17
1974,608368.89,1366655.7119999998,41048806.3604095,348551.7168,1013948.15,384973.44,20667.81,103735.63
1975,494135.73,613561.2324999999,16233565.882807527,106657.11839999999,823559.55,172834.15,13314.09,31743.19
1976,561398.502,702072.3175,27473472.385877848,266497.2576,935664.17,197766.85,20340.96,79314.66
1977,323509.30799999996,520919.93549999996,2782074.553210792,9914.6208,539182.18,146738.01,1142.25,2950.78
1978,224151.888,1077853.13135,14829161.38290053,9295.608,373586.48,303638.64,9521.03,2766.5499999999997
1979,349705.026,1537092.4971099999,11633924.273224197,978.4319999999999,582841.71,442524.23,7852.1,291.2
1980,263673.75,1535979.83375,22050374.094073996,24578.9061,439456.25,444502.4,15125.98,10367.060000000001
1981,187564.236,868560.5092699999,14751865.399534442,25718.6456,312607.06,247721.78,9632.26,8012.71
1982,130126.482,948425.92569,31465187.863891542,45554.947199999995,216877.47,274897.74,19907.3,13558.02
1983,202510.88999999998,570514.38588,3427766.1123303263,45778.4712,337518.15,166892.68,2825.31,26377.04
1984,262474.38,1214579.28177,22256925.207327787,201631.4454,437457.3,351067.15,13256.72,73599.94
1985,478330.08599999995,823263.92939,22684311.74864783,93497.3277,797216.8099999999,237306.24,16149.88,102288.32
1986,341323.782,1026100.3258499999,27953740.427944038,72599.7762,568872.97,294509.01,20831.35,26874.57
1987,185377.788,683380.68404,9634227.059836663,92404.3909,308962.98,196410.33,6160.78,143684.9
1988,176768.55599999998,492130.81386,5172606.808355171,93199.6261,294614.26,157733.47,4172.16,120607.56999999999
1989,143524.662,1565776.1103100001,5925091.015086787,55510.7376,239207.77,969170.99,3527.7,68330.05
1990,94930.89,1029013.3776,3156046.0160658774,61027.383499999996,158218.15,609113.41,2268.73,163738.98
1991,99333.972,833251.1285100001,4529603.71033879,40650.254199999996,165556.62,646383.07,3223.11,104155.67
1992,267814.476,928230.72788,1154963.7425793672,105238.3639,446357.46,506000.17,427.56,323198.83999999997
1993,56600.112,1028951.97386,3206210.8220311166,32405.4423,94333.52,585867.97,1653.86,55651.08
1994,22516.176,425845.00093000004,784666.954046989,102475.97688,37526.96,318781.44,827.73,51888.04
1995,22541.724,240338.88993,338718.1928951728,43896.10974,37569.54,148759.32,345.46999999999997,17238.55
1996,21646.487999999998,328589.79111,548367.25414077,46872.30362,36077.48,209265.78,698.75,17437.42
1997,13689.828,291930.30867,1281918.4516730632,70386.50738,22816.38,168531.4,1707.9,32315.31
1998,16156.152,448026.48131,885236.6805138666,42329.47602,26926.92,233188.88,953.2,28813.329999999998
1999,34808.742,458995.96475,2147287.914750793,17327.74286,58014.57,400420.35,1961.74,6272.86
2000,25845.179999999997,388839.96568,3274312.317262827,18890.21562,43075.3,344573.9,2309.38,8243.380000000001
2001,21275.814,265612.48771,1044314.1069517643,79351.82616,35459.69,634003.7,1006.55,48887.43
2002,30976.98,399192.13545,1235385.1915650256,61619.6625,51628.3,582733.88,1415.78,33611.06
2003,52736.376,328817.91813,960121.0146836261,80086.59284,87893.96,306146.34,1071.24,47996.79
2004,89453.904,378058.08027000003,967882.4912700417,91777.28654,149089.84,282002.89,972.33,56841.24
2005,19754.502,381235.65301,666930.4425550018,67247.92788,32924.17,368567.85,750.25,71326.43000000001
2006,19064.586,299952.7488,716289.4372611167,81989.2016,31774.309999999998,260002.82,566.54,45888.049999999996
2007,162673.656,401698.7272913716,281037.4734580268,93572.07953999999,271122.76,1546482.21,412.16,38650.59
2008,37838.256,622049.4232076316,1607806.307484043,114242.2137,63063.76,2357431.02,1459.27,50414.9
2009,34868.574,433483.2381092211,243675.12696014438,106192.63664,58114.29,1882645.97,284.7,51624.15
2010,19038.077999999998,479501.73867564264,1237280.624607398,61771.34068,31730.13,1426335.87,1043.12,27992.93
2011,14983.446,459706.96081824164,245949.0429809234,109147.51505999999,24972.41,883461.17,211.63,50021.16
2012,10532.742,591764.8861859358,885263.4152228616,63037.58678,17554.57,2584377.2,974.72,29943.579999999998
2013,24138.558,518326.84925237903,929702.2892836542,85474.64229999999,40230.93,2746410.46,1049.93,40357.2
2014,9558.666,653535.7538424034,857896.2093230942,90539.31392,15931.11,2953097.12,808.45,59236.909999999996
2015,21810.467999999997,601432.1986613153,1325827.722218746,98479.51362,36350.78,3452493.16,1482.18,59969.63
2016,48753.09,698084.2254625647,3456353.0657291343,92034.71751999999,81255.15,3222404.71,2277.22,43548.32
2017,65701.908,866565.9767614431,3521156.0676753614,111385.15815999999,109503.18000000001,2991442.91,2101.7400000000002,46357.93
2018,49498.434,705373.339918209,1528214.090324227,126668.70296,82497.39,2903028.4,1321.22,55886.76
2019,20525.172,593447.7764281522,940749.9733436506,102891.63803999999,34208.62,2253816.35,523.01,43434.54
2020,13907.921999999999,496010.282684274,746648.7938606583,200986.31372,23179.87,3084774.83,726.07,94619.34
