Year,Region,Amphipods_BPUE,Cladoceran_BPUE,Herbivorous_Copepods_BPUE,Mysida_BPUE,Predatory_Copepods_BPUE,Amphipods_CPUE,Cladoceran_CPUE,Herbivorous_Copepods_CPUE,Mysida_CPUE,Predatory_Copepods_CPUE
1972,North,0,1305.576,653884.9014999999,12932438.39589461,62166.350399999996,0,2175.96,184192.93,3557.94,18501.89
1972,South,0,59018.657999999996,277232.564,5004317.855115051,169435.7616,0,98364.43,78093.68000000001,1470.15,50427.31
1972,West,0,148.932,1105153.4109999998,9168408.484247206,31257.744,0,248.22,311310.82,3324.32,9302.9
1973,North,0,3146.022,266293.3455,7072510.768206174,15604.041599999999,0,5243.37,75012.21,2536.2599999999998,4644.06
1973,South,0,68408.784,137870.8175,4068936.7180561293,35537.5776,0,114014.64,38836.85,645.7,10576.66
1973,West,0,2296.164,692453.4149999999,20425525.19352925,15249.561599999999,0,3826.94,195057.3,11055.03,4538.5599999999995
1974,North,0,9371.124,63716.1455,5380319.010231281,10762.6176,0,15618.539999999999,17948.21,2068.27,3203.16
1974,South,0,122992.20599999999,44708.913,3284425.712904726,19255.0848,0,204987.01,12594.06,2944.3,5730.68
1974,West,0,14579.436,1255161.1815,31660833.929608013,29940.2208,0,24299.06,353566.52999999997,10406.07,8910.78
1975,North,0,5014.044,31324.915999999997,2804905.2822140395,4679.639999999999,0,8356.74,8823.92,1304.3,1392.75
1975,South,0,76073.022,21446.614999999998,764700.750035064,15924.585599999999,0,126788.37,6041.3,868.11,4739.46
1975,West,0,3671.9039999999995,451375.1515,12523393.70905236,16649.7744,0,6119.84,127147.93,9335.69,4955.29
1976,North,0,462.24,249615.623,5937276.686616481,5692.679999999999,0,770.4,70314.26000000001,3819.04,1694.25
1976,South,0,107631.59999999999,151127.405,4480271.218934103,27132.8736,0,179386,42571.1,1812.07,8075.26
1976,West,0,88.404,301997.8965,16594531.088773146,1937.2752,0,147.34,85069.83,5575.46,576.57
1977,North,0,66.69,347465.90599999996,1159226.9365163194,243.83519999999996,0,111.14999999999999,97877.72,211.14,72.57
1977,South,0,64131.185999999994,134180.34399999998,876740.3212827852,2661.8256,0,106885.31,37797.28,443.18,792.21
1977,West,0,21.534,57108.4595,265627.0303592152,0,0,35.89,16086.89,74.09,0
1978,North,0,2479.872,176105.06555,2294455.0449034544,321.1488,0,4133.12,49609.93,1341.4,95.58
1978,South,0,21550.71,50904.535639999995,910017.1807895595,425.6448,0,35917.85,14343.06,801.38,126.68
1978,West,0,3634.29,864896.9922699999,11571557.674765857,7994.817599999999,0,6057.15,243641.91999999998,4727.16,2379.41
1979,North,0,780.1859999999999,297405.37749,1741817.2207169742,45.9984,0,1300.31,86125.49,1841.52,13.69
1979,South,0,28985.507999999998,243282.78154,834988.1448353027,0,0,48309.18,70940.58,485.54,0
1979,West,0,827.8979999999999,746788.72943,8794322.225977566,932.4336,0,1379.83,212145.03,5696.99,277.51
1980,North,0,28539.144,201401.56769,4596477.544195853,0,0,47565.24,58743.48,2077.86,0
1980,South,0,111048.69,248572.81683999998,2920311.82248061,860.0004,0,185081.15,72709.52,1164.2,2283.2400000000002
1980,West,0,7723.182,830177.00686,14270209.752375837,841.2369,0,12871.97,237699.55,7429.9,1274.99
1981,North,0,733.59,165369.18089,5446518.818608534,41.529599999999995,0,1222.65,46914.93,1676.6100000000001,12.36
1981,South,0,23409.852,87157.01874999999,2219683.194756523,37.5984,0,39016.42,25162.92,1075.82,11.19
1981,West,0,345.282,476854.7507,6542421.022459066,23698.9496,0,575.47,134460.58,4410.32,7411.61
1982,North,0,5803.614,103395.71456,13145928.361413803,3311.3471999999997,0,9672.69,30277.399999999998,4184.05,985.52
1982,South,0,57805.608,223943.35283999998,3607650.664984387,9245.376,0,96342.68000000001,65590.88,1960.6,2751.6
1982,West,0,6376.272,560860.5795999999,14718489.283152353,29235.225599999998,0,10627.12,161266.31,10078.82,8700.96
1983,North,0,49132.572,48993.990099999995,295099.9030526116,6494.2395,0,81887.62,14351.37,166.47,3010.4
1983,South,0,51344.928,61028.0295,354101.95944716927,7012.9962,0,85574.88,17876.11,318.76,2619.87
1983,West,0,55697.382,457799.09595,2918464.0187209942,33914.109599999996,0,92828.97,133868.06,881.05,20696.93
1984,North,0,14230.2,210786.60335999998,8359826.924110962,3852.6137999999996,0,23717,61645.14,1111.3,2176.83
1984,South,0,86019.64199999999,206412.74714,2900338.952321125,7481.980799999999,0,143366.07,60344.3,1191.66,2226.78
1984,West,0,5931.6179999999995,571354.7407999999,9678973.498953734,24564.3804,0,9886.03,162863.31,5010.72,19871.19
1985,North,0,1750.8719999999998,201288.57100999999,8073262.5140846865,5029.951499999999,0,2918.12,57988.99,4815.92,8815.199999999999
1985,South,0,70137.006,158515.40383999998,2549040.8487941213,4051.0616999999997,0,116895.01,46077.4,1255.81,1717.97
1985,West,0,2576.916,263263.34776,11718078.572602581,41876.3625,0,4294.860000000001,74632.17,7747.8,79094.45
1986,North,0,882.5759999999999,152500.94848,4193584.1135581937,8401.1466,0,1470.96,44322.59,3245.93,3033.0099999999998
