Taxname,Level,Preservative,Weight_type,N,Min_length,Max_length,a,b,Reference
Hyperacanthomysis longirostris,Species,Formalin,Dry,200,2,9,0.0103,2.2593,CDFW unpublished
Neomysis mercedis,Species,Formalin,Dry,700,2,16,0.0012,3.2533,CDFW unpublished
Neomysis mercedis,Species,None,Dry,63,7.4,16.4,0.006604527,2.57,Chigbu and Sibley 1996
Americorophium spinicorne,Species,Ethanol,Wet,108,2.0,6.5,0.0000330,2.646,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25."
Americorophium spinicorne,Species,Formalin,Wet,113,2.1,7.5,0.0000220,2.826,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25."
Americorophium stimpsoni,Species,Ethanol,Wet,25,2.1,5.9,0.0000317,2.476,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25."
Americorophium stimpsoni,Species,Formalin,Wet,57,2.2,7.8,0.0000443,2.203,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25."
Ampelisca abdita,Species,Formalin,Wet,196,2.1,6.2,0.0000239,2.739,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25."
Amphipoda,Order,Ethanol,Wet,367,1.9,10.2,0.0000210,2.896,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25."
Amphipoda,Order,Formalin,Wet,599,2.1,9.7,0.0000225,2.744,"Burdi, C. E., S. B. Slater, T. L. Bippus, and J. A. Jimenez. 2021. Mysid and Amphipod Length-Weight Relationships in the San Francisco Estuary. Interagency Ecological Program Newsletter 40(1): 15-25."
