SpeciesName,Month,Biomass_mean,Biomass_sd,N
Americorophium,1,0.06410341572877924,0.05469346249910573,322
Americorophium,2,0.08429423078027903,0.06890173293839401,212
Americorophium,3,0.1032016664633613,0.07668340763553794,242
Americorophium,4,0.12290062391193424,0.09090686866292128,219
Americorophium,5,0.08955708994666357,0.07418548525529721,386
Americorophium,6,0.0714757701842625,0.06956489050615257,774
Americorophium,7,0.07823283142526315,0.06631448510644104,572
Americorophium,8,0.06699193334496653,0.05275023268994457,318
Americorophium,9,0.06481707537544354,0.06513498750098386,250
Americorophium,10,0.05748894295187622,0.0414614701243001,201
Americorophium,11,0.05232400000903472,0.0365662422236796,126
Americorophium,12,0.06378261771073525,0.04706131351543839,148
Ampelisca,1,0.06420108897201253,0.054462117977377,377
Ampelisca,2,0.08292191499716788,0.06155360601752045,220
Ampelisca,3,0.13308528708114148,0.07283067277386496,286
Ampelisca,4,0.1407201475685724,0.05939446976704478,275
Ampelisca,5,0.0788201096217293,0.07556851649996402,193
Ampelisca,6,0.04896697197573163,0.03417565786084536,227
Ampelisca,7,0.0529314527329167,0.03403060921388974,313
Ampelisca,8,0.047931296519941456,0.03210674862879599,342
Ampelisca,9,0.041826864025152344,0.030283169499533576,215
Ampelisca,10,0.04311416721990422,0.04260577382793493,114
Ampelisca,11,0.041955510788326204,0.0377885443025027,183
Ampelisca,12,0.04768085523718924,0.03633213296480207,355
Crangonyx,1,0.08541271248237096,0.11039954161543727,76
Crangonyx,2,0.062418680648013355,0.05195873105522829,85
Crangonyx,3,0.07335053136200746,0.09587585837930346,74
Crangonyx,4,0.05613171614826082,0.05792251684795007,26
Crangonyx,5,0.033295456731173886,0.0259364975673616,24
Crangonyx,6,0.04109588149412386,0.05387847263596771,35
Crangonyx,7,0.030948264141960224,0.02634040231609031,22
Crangonyx,8,0.026918561146221886,0.0255670634417931,35
Crangonyx,9,0.017345215028880714,0.010547290758732718,12
Crangonyx,10,0.09295110513953246,0.09561889014306761,10
Crangonyx,11,0.07181050029093589,0.09186699154382481,14
Crangonyx,12,0.07213366211480124,0.07811508365825852,37
Gammarus,1,0.24849695022010324,0.3359310752782682,2692
Gammarus,2,0.2658512277958467,0.39365542848980944,2354
Gammarus,3,0.26255006482750176,0.4000265287045631,1872
Gammarus,4,0.2033496670352243,0.34798352125521026,1830
Gammarus,5,0.13845502184545724,0.227583937673652,1781
Gammarus,6,0.13617948402983077,0.19791061495105294,2313
Gammarus,7,0.1187008058616881,0.17995664345426343,2542
Gammarus,8,0.1123080267686476,0.18132369962162553,2079
Gammarus,9,0.06919586194242477,0.11762097173578154,2016
Gammarus,10,0.05176522222747217,0.09992214835916845,1990
Gammarus,11,0.05943954541569681,0.11333901423817612,1630
Gammarus,12,0.131556942162364,0.24200835736689175,1672
Hyalella,1,0.08289568879278535,0.06373929803157008,98
Hyalella,2,0.07807889349487375,0.05120054596579285,167
Hyalella,3,0.08188561991100703,0.04712624654866635,91
Hyalella,4,0.0961770380309664,0.06436909330533669,4
Hyalella,5,0.051476234156920486,0.031234645216926444,8
Hyalella,6,0.060089653941160615,0.050819653592748204,56
Hyalella,7,0.04996641953010883,0.0481340292731136,73
Hyalella,8,0.036160853900948794,0.03406609810795432,170
Hyalella,9,0.047384784820484714,0.04551030840638116,281
Hyalella,10,0.048679486032319134,0.03677841553630711,134
Hyalella,11,0.059613634345858126,0.044168416691318,96
Hyalella,12,0.06430446860612027,0.046964391040700194,89
Monocorophium,1,0.0512699821468682,0.06431468920360206,305
Monocorophium,2,0.08021695082588753,0.09813095836385063,168
Monocorophium,3,0.058530686644460185,0.056766224265518576,110
Monocorophium,4,0.05100599630274665,0.06483055401179556,193
Monocorophium,5,0.038619422779104136,0.04909598700230495,301
Monocorophium,6,0.015928269400500107,0.02428114106023357,119
Monocorophium,7,0.02001084709410195,0.02005783497985648,192
Monocorophium,8,0.023293856428416724,0.02863088652883738,149
Monocorophium,9,0.020065275392309977,0.020033911768345073,86
Monocorophium,10,0.02434031668602295,0.053383424290136226,49
Monocorophium,11,0.023872322397164653,0.023267798006407294,46
Monocorophium,12,0.021905335829350663,0.020999336687092418,74
Sinocorophium,1,0.049792930377932164,0.05107611314275306,152
Sinocorophium,2,0.049761591412502415,0.04232949294283484,63
Sinocorophium,3,0.08664922862218821,0.07109066017801433,49
Sinocorophium,4,0.07769852775114762,0.06910411438429881,58
Sinocorophium,5,0.05585393152934016,0.05800482661107917,113
Sinocorophium,6,0.05540440325547133,0.0627427676663232,178
Sinocorophium,7,0.04362382756209805,0.036018178334103305,93
Sinocorophium,8,0.04177750287388094,0.05054796816067826,104
Sinocorophium,9,0.041024374869408395,0.04379297360720445,141
Sinocorophium,10,0.03326356512284482,0.03826386058280428,193
Sinocorophium,11,0.02864127940918918,0.02837167735207922,214
Sinocorophium,12,0.03507422056035721,0.03234689773222909,242
