Month,Year,Region,Chlorophyll,DIN,DissAmmonia,DissNitrateNitrite,DissOrthophos,Secchi,Temperature
1,1995,Far West,0.57,0.44999999999999996,0.08999999999999998,0.36,0.06,60.000000000000014,11.039999999999996
1,1996,Far West,0.34,0.53,0.11,0.42,0.07999999999999999,32,11.000000000000002
1,1997,Far West,0.6,0.37999999999999995,0.08999999999999998,0.29,0.04000000000000001,39.99999999999999,9.339999999999998
1,1998,Far West,1.48,0.30599999999999994,0.006,0.29999999999999993,0.07000000000000002,62,12.21
1,1999,Far West,1.4,0.43000000000000005,0.1,0.33,0.07000000000000002,90.00000000000001,8.08
1,2000,Far West,1.938502219826458,0.44000000000000006,0.1,0.34,0.07000000000000002,63.999999999999986,10.920000000000003
1,2001,Far West,1.58,0.36,0.11999999999999998,0.24,0.07000000000000002,77.99999999999999,11.199999999999998
1,2002,Far West,2.63,0.6099999999999999,0.14,0.4699999999999999,0.07999999999999999,67.99999999999999,11.490000000000002
1,2003,Far West,3.4300000000000006,0.44000000000000006,0.1,0.34,0.07999999999999999,96,12.170000000000002
1,2004,Far West,1.4,0.41000000000000003,0.1,0.31,0.06,76,11.749999999999998
1,2005,Far West,1,0.44,0.11,0.33,0.06,84.99999999999999,10.57
1,2006,Far West,0.98,0.42999999999999994,0.07999999999999999,0.35,0.04999999999999999,80,11.24
1,2007,Far West,1.19,0.44999999999999996,0.08999999999999998,0.36,0.04999999999999999,69.99999999999999,9.609999999999998
1,2008,Far West,1.69,0.59,0.15,0.44,0.04999999999999999,110.00000000000004,10.239999999999998
1,2009,Far West,3.51,0.51,0.1,0.41,0.07000000000000002,90.00000000000001,10.87
1,2010,Far West,1.93,0.42,0.11,0.31,0.04999999999999999,74.00000000000001,11.009999999999998
1,2011,Far West,2.1,0.41000000000000003,0.1,0.31,0.04999999999999999,69.99999999999999,10.63
1,2012,Far West,1.98,0.38,0.13000000000000003,0.25,0.06,83.99999999999999,10.52
1,2013,Far West,1.16,0.44999999999999996,0.08999999999999998,0.36,0.06,92,10.8
1,2014,Far West,1.55,0.36,0.11,0.25,0.04999999999999999,135.99999999999997,11.37
1,2015,Far West,1.35,0.33000000000000007,0.1,0.23000000000000004,0.06,60.000000000000014,13.04
1,2016,Far West,1.49,0.33000000000000007,0.1,0.23000000000000004,0.04000000000000001,116,10.72
1,2017,Far West,1.64,0.55,0.14,0.41,0.07999999999999999,39.99999999999999,10.04
1,2018,Far West,1.55,0.54,0.14,0.4,0.07999999999999999,92,11.609999999999998
1,2019,Far West,3.07,0.581,0.14,0.441,0.08900000000000001,96,11.669999999999998
1,2020,Far West,1.49,0.43999999999999995,0.14,0.29999999999999993,0.08399999999999999,104.00000000000004,11.15
2,1995,Far West,0.43,0.42,0.07000000000000002,0.35,0.06,36,12.21
2,1996,Far West,0.99,0.42,0.07000000000000002,0.35,0.06,69.99999999999999,14.039999999999996
2,1997,Far West,1.45,0.41000000000000003,0.07000000000000002,0.34,0.04000000000000001,39.99999999999999,11.98
2,1998,Far West,1.6057385791886478,0.49,0.08999999999999998,0.4,0.06,24.000000000000007,11.62
2,1999,Far West,1.2,0.52,0.11999999999999998,0.4,0.06,39.99999999999999,9.419999999999998
2,2000,Far West,1.94,0.51,0.11,0.4,0.07000000000000002,44.00000000000001,12.119999999999996
2,2001,Far West,2.33,0.38,0.11,0.27,0.06,56.00000000000001,11.230000000000002
2,2002,Far West,2.32,0.43999999999999995,0.07999999999999999,0.36,0.07000000000000002,90.00000000000001,10.69
2,2003,Far West,2.33,0.31,0.04999999999999999,0.26,0.04999999999999999,135.99999999999997,11.970000000000002
2,2004,Far West,2.56,0.42000000000000004,0.07999999999999999,0.34,0.07000000000000002,72,11.79
2,2005,Far West,1.15,0.48,0.11,0.37,0.06,100,12.96
2,2006,Far West,3.97,0.32999999999999996,0.04000000000000001,0.29,0.04999999999999999,80,11.39
2,2007,Far West,2.18,0.54,0.11,0.43,0.04999999999999999,80,12.109999999999998
2,2008,Far West,2.2,0.51,0.07999999999999999,0.43,0.06,74.00000000000001,11.35
2,2009,Far West,2.93,0.6,0.13000000000000003,0.4699999999999999,0.07000000000000002,104.00000000000004,11.57
2,2010,Far West,2.66,0.3999999999999999,0.1,0.29999999999999993,0.04999999999999999,100,11.939999999999998
2,2011,Far West,1.69,0.41000000000000003,0.07999999999999999,0.33,0.06,69.99999999999999,11.800000000000002
2,2012,Far West,2.61,0.5,0.11999999999999998,0.38,0.06,100,11.59
2,2013,Far West,2.17,0.4,0.07999999999999999,0.32,0.04999999999999999,111.99999999999994,12.150000000000002
2,2014,Far West,1.53,0.62,0.14,0.48,0.07000000000000002,132,12.53
2,2015,Far West,1.83,0.41000000000000003,0.1,0.31,0.07000000000000002,111.99999999999994,15.000000000000004
2,2016,Far West,1.35,0.41000000000000003,0.07999999999999999,0.33,0.06,96,12.990000000000002
2,2017,Far West,2.18,0.47,0.08999999999999998,0.38,0.07000000000000002,16,11.64
2,2018,Far West,2.82,0.47,0.08999999999999998,0.38,0.07000000000000002,96,12.76
2,2019,Far West,1.34,0.559,0.109,0.45,0.07999999999999999,32,10.03
2,2020,Far West,1.85,0.44999999999999996,0.1,0.35,0.11,120.00000000000006,12.68
3,1995,Far West,1.08,0.36,0.07000000000000002,0.29,0.04999999999999999,20,12.729999999999997
3,1996,Far West,1.19,0.37,0.06,0.31,0.04999999999999999,58.00000000000001,14.159999999999998
3,1997,Far West,1.45,0.42,0.08999999999999998,0.33,0.04999999999999999,66,14.129999999999995
3,1998,Far West,2.0141209752624554,0.43,0.07000000000000002,0.36,0.06,49.999999999999986,14.499999999999998
3,1999,Far West,2.1,0.29,0.04999999999999999,0.24,0.04000000000000001,44.00000000000001,11.48
3,2000,Far West,2.48,0.3,0.06,0.24,0.04999999999999999,56.00000000000001,13.089999999999998
3,2001,Far West,6.660000000000001,0.33999999999999997,0.06,0.27999999999999997,0.06,114.00000000000004,14.489999999999998
3,2002,Far West,4.42,0.39,0.07999999999999999,0.31,0.07999999999999999,54.00000000000001,12.97
3,2003,Far West,7.1,0.16,0.02,0.14,0.06,90.00000000000001,14.329999999999998
