Year,Region,Chlorophyll,DIN,DissAmmonia,DissNitrateNitrite,DissOrthophos,Secchi,Temperature
1980,North,4.175623640534831,0.32799069721741986,0.05258952432238009,0.27540117289503974,0.13361514224750828,31.75441137130285,15.875314288603349
1981,North,6.216695223780764,0.34791666666666665,0.05875,0.2891666666666667,0.11515139451296372,31.875,17.054583333333333
1982,North,10.611008005145203,0.23809487253513112,0.044761539201797776,0.19333333333333333,0.05881771118161366,37.583333333333336,16.020416666666666
1983,North,2.91,0.21916666666666668,0.03333333333333333,0.18583333333333332,0.034958426519779574,44.75,15.971666666666666
1984,North,6.431666666666666,0.24583333333333332,0.03625,0.20958333333333334,0.05464146939290816,46.75,16.528333333333332
1985,North,4.279166666666667,0.3408333333333333,0.06791666666666667,0.27291666666666664,0.09332036699651865,53.791666666666664,15.909583333333332
1986,North,5.8,0.3179166666666667,0.04958333333333333,0.2683333333333333,0.0739558644499252,34,15.901250000000001
1987,North,3.143043858220773,0.45458333333333334,0.07083333333333333,0.38375000000000004,0.1188128716796597,48.25,16.8675
1988,North,2.9452676746148145,0.4345833333333333,0.05541666666666666,0.37916666666666665,0.12379222173089915,41.375,16.92125
1989,North,2.4891666666666667,0.347908290905109,0.06957495757177566,0.2783333333333333,0.10833527873560608,43.62500000000001,16.45125
1990,North,1.68375,0.4773521937196809,0.07443552705301425,0.40291666666666665,0.15151077774698607,45.25,16.71875
1991,North,1.1570833333333332,0.5983333333333333,0.09458333333333334,0.50375,0.16406142975430066,49.33333333333333,16.030416666666667
1992,North,1.2545833333333334,0.5291898553528164,0.07460652201948301,0.45458333333333334,0.1501918482494416,50,17.655833333333334
1993,North,3.621123639302464,0.3779166666666667,0.0675,0.3104166666666667,0.059239613708608856,44.41666666666667,16.648333333333333
1994,North,0.8585941235594182,0.5308333333333334,0.10083333333333333,0.43,0.08343535369444806,47.5,15.979999999999999
1995,North,2.0700000000000003,0.2816666666666667,0.04,0.24166666666666667,0.04249999999999999,37.333333333333336,16.261666666666667
1996,North,1.7025000000000001,0.2991666666666667,0.05333333333333333,0.24583333333333332,0.045,43.333333333333336,16.4925
1997,North,2.071208697280358,0.3975,0.06416666666666666,0.3333333333333333,0.05333333333333334,44.583333333333336,17.295833333333334
1998,North,2.162263072199701,0.32333333333333336,0.05416666666666667,0.26916666666666667,0.043333333333333335,37.5,15.824166666666667
1999,North,2.2841666666666667,0.37,0.08583333333333333,0.2841666666666667,0.04916666666666667,39.83333333333333,14.726666666666667
2000,North,2.1100000000000003,0.4041666666666667,0.08333333333333333,0.3208333333333333,0.06,34.083333333333336,16.438333333333333
2001,North,2.2341666666666664,0.5425,0.105,0.4375,0.07333333333333333,37.75,16.700833333333335
2002,North,2.6075,0.4758333333333334,0.09,0.38583333333333336,0.06416666666666666,34.166666666666664,16.331666666666667
2003,North,2.3566666666666665,0.38916666666666666,0.08916666666666667,0.3,0.051666666666666666,48.83333333333333,16.5375
2004,North,1.9691666666666667,0.4583333333333333,0.09666666666666666,0.3616666666666667,0.06416666666666668,47.00000000000001,16.455
2005,North,1.57,0.44583333333333336,0.10166666666666667,0.3441666666666667,0.05916666666666667,55.5,16.34583333333333
2006,North,2.4408333333333334,0.3325,0.06083333333333333,0.27166666666666667,0.04499999999999999,43.66666666666667,16.365000000000002
2007,North,1.6775,0.5516666666666666,0.10916666666666668,0.4425,0.0575,58.08333333333334,16.1
2008,North,2.206666666666667,0.6258333333333334,0.09,0.5358333333333334,0.07666666666666666,50.166666666666664,16.627499999999998
2009,North,1.961666666666667,0.49,0.11166666666666668,0.37833333333333335,0.06916666666666667,54.333333333333336,16.559166666666666
2010,North,2.3383333333333334,0.4058333333333333,0.08666666666666667,0.31916666666666665,0.049999999999999996,56.16666666666667,15.962499999999999
2011,North,2.7891666666666666,0.2758333333333333,0.07083333333333333,0.205,0.03666666666666667,69.66666666666667,15.456666666666667
2012,North,2.6174999999999997,0.44,0.085,0.355,0.05333333333333333,48.16666666666667,16.679166666666667
2013,North,4.724166666666666,0.47333333333333333,0.0875,0.38583333333333336,0.06666666666666667,46.166666666666664,16.195833333333333
2014,North,1.9158333333333333,0.6541666666666667,0.10166666666666667,0.5525,0.08750000000000001,55.833333333333336,17.079166666666666
2015,North,2.335,0.6066666666666667,0.08416666666666667,0.5225,0.09,50.33333333333333,17.364166666666666
2016,North,7.271666666666667,0.4658333333333333,0.10083333333333333,0.365,0.06333333333333332,51.833333333333336,16.611666666666668
2017,North,4.365,0.6291666666666667,0.07166666666666666,0.5575,0.060833333333333336,54.666666666666664,16.3975
2018,North,2.5266666666666664,0.5093333333333333,0.11358333333333334,0.39575,0.0775,66.50000000000001,16.52166666666667
2019,North,1.9266666666666667,0.8595833333333334,0.10108333333333333,0.7585000000000001,0.19408333333333333,57.33333333333333,16.245833333333334
2020,North,2.291001169059041,0.4152681133336438,0.08207333912938435,0.3331947742042594,0.07823388674265996,71.03386328033042,17.164068542140633
1980,South,4.5888803469344905,0.35696205460984226,0.06474211810741536,0.2922199365024269,0.06242496504314672,52.454881495344516,16.093249820681955
1981,South,5.229980933199701,0.4037830301083746,0.06872122754675296,0.33506180256162166,0.07536230251180005,58.541666666666664,17.916458333333335
1982,South,7.342660873143168,0.4161753005741254,0.07192449090060082,0.34425080967352456,0.06498077773202951,56.36231918152284,16.677291666666665
1983,South,9.007693776227443,0.41833333333333333,0.07125,0.34708333333333335,0.057574729327821234,55.666666666666664,16.390833333333333
1984,South,7.992132265092844,0.32833704551495524,0.05792037884828856,0.2704166666666667,0.04550712695279793,68.625,16.65625
1985,South,7.813614513027948,0.3183992649760918,0.07104166666666667,0.2473575983094251,0.07146751649656172,98.58333333333334,16.31833333333333
1986,South,7.392439342376358,0.37713339593853284,0.06697584413524985,0.31015755180328297,0.06466143171582518,55.3954251827754,16.962035814700418
1987,South,5.202934466528887,0.43296266201245237,0.08442099534578569,0.3485416666666667,0.08392994538285907,81.10504108864028,17.435208333333332
1988,South,5.092182488572607,0.37165324384027565,0.07977824384027564,0.291875,0.08904763338441972,75.40755532854833,17.233541666666667
1989,South,4.57026024104012,0.3503556743108829,0.08535567431088291,0.265,0.07497100448242779,84.91666666666666,16.808958333333333
1990,South,2.130273223574803,0.4453855021352386,0.0941355021352386,0.35125,0.09910055638548439,102.39933328232651,16.990000000000002
1991,South,3.088084778172629,0.60875,0.12083333333333333,0.48791666666666667,0.1100741585003441,92.25,16.86
1992,South,4.101467998076122,0.5534574345546799,0.09486915142824948,0.45858828312643046,0.09824355424553122,89.20833333333334,18.297708333333333
1993,South,5.963195848599161,0.47761456541047514,0.0833652307634163,0.39424933464705886,0.05244926618869269,82.66666666666666,17.124375
1994,South,2.0906289864695715,0.501508618763229,0.08525861876322903,0.41625,0.06155258212504088,119.45833333333334,16.483958333333334
