Date,Analyte,Station,Imputed_values,Raw_values,Missing,Imputed
1975-01-01,Chlorophyll,D26,1.24,1.24,FALSE,FALSE
1975-01-01,Chlorophyll,D28A,NA,NA,TRUE,NA
1975-01-01,Chlorophyll,D4,1.05,1.05,FALSE,FALSE
1975-01-01,Chlorophyll,D6,0.86,0.86,FALSE,FALSE
1975-01-01,Chlorophyll,D7,1.24,1.24,FALSE,FALSE
1975-01-01,Chlorophyll,D8,1.17,1.17,FALSE,FALSE
1975-02-01,Chlorophyll,D26,2.22,2.22,FALSE,FALSE
1975-02-01,Chlorophyll,D28A,1.8499999999999999,1.85,FALSE,FALSE
1975-02-01,Chlorophyll,D4,2.59,2.59,FALSE,FALSE
1975-02-01,Chlorophyll,D6,2.28,2.28,FALSE,FALSE
1975-02-01,Chlorophyll,D7,1.73,1.73,FALSE,FALSE
1975-02-01,Chlorophyll,D8,2.1,2.1,FALSE,FALSE
1975-03-01,Chlorophyll,D26,1.73,1.73,FALSE,FALSE
1975-03-01,Chlorophyll,D28A,2.1,2.1,FALSE,FALSE
1975-03-01,Chlorophyll,D4,1.61,1.61,FALSE,FALSE
1975-03-01,Chlorophyll,D6,0.86,0.86,FALSE,FALSE
1975-03-01,Chlorophyll,D7,2.84,2.84,FALSE,FALSE
1975-03-01,Chlorophyll,D8,2.948373138942646,NA,TRUE,TRUE
1975-04-01,Chlorophyll,D26,2.175,2.175,FALSE,FALSE
1975-04-01,Chlorophyll,D28A,3.115,3.115,FALSE,FALSE
1975-04-01,Chlorophyll,D4,2.505,2.505,FALSE,FALSE
1975-04-01,Chlorophyll,D6,3.845,3.845,FALSE,FALSE
1975-04-01,Chlorophyll,D7,3.2599999999999993,3.26,FALSE,FALSE
1975-04-01,Chlorophyll,D8,2.595,2.595,FALSE,FALSE
1975-05-01,Chlorophyll,D26,4.09,4.09,FALSE,FALSE
1975-05-01,Chlorophyll,D28A,12.194999999999999,12.195,FALSE,FALSE
1975-05-01,Chlorophyll,D4,8.57,8.57,FALSE,FALSE
1975-05-01,Chlorophyll,D6,10.42,10.42,FALSE,FALSE
1975-05-01,Chlorophyll,D7,18.990000000000002,18.99,FALSE,FALSE
1975-05-01,Chlorophyll,D8,16.749999999999996,16.75,FALSE,FALSE
1975-06-01,Chlorophyll,D26,2.3965281827749823,NA,TRUE,TRUE
1975-06-01,Chlorophyll,D28A,5.09,5.09,FALSE,FALSE
1975-06-01,Chlorophyll,D4,6.869080145460292,NA,TRUE,TRUE
1975-06-01,Chlorophyll,D6,5.844018789892533,NA,TRUE,TRUE
1975-06-01,Chlorophyll,D7,15.818906212502784,NA,TRUE,TRUE
1975-06-01,Chlorophyll,D8,10.77972099013604,NA,TRUE,TRUE
1975-07-01,Chlorophyll,D26,4.555,4.555,FALSE,FALSE
1975-07-01,Chlorophyll,D28A,6.019999999999999,6.02,FALSE,FALSE
1975-07-01,Chlorophyll,D4,16.209999999999997,16.21,FALSE,FALSE
1975-07-01,Chlorophyll,D6,8.49,8.49,FALSE,FALSE
1975-07-01,Chlorophyll,D7,23.155,23.155,FALSE,FALSE
1975-07-01,Chlorophyll,D8,17.365,17.365,FALSE,FALSE
1975-08-01,Chlorophyll,D26,5.945,5.945,FALSE,FALSE
1975-08-01,Chlorophyll,D28A,10.424999999999999,10.425,FALSE,FALSE
1975-08-01,Chlorophyll,D4,6.324999999999999,6.324999999999999,FALSE,FALSE
1975-08-01,Chlorophyll,D6,4.09,4.09,FALSE,FALSE
1975-08-01,Chlorophyll,D7,18.524999999999995,18.525,FALSE,FALSE
1975-08-01,Chlorophyll,D8,9.495,9.495,FALSE,FALSE
1975-09-01,Chlorophyll,D26,4.245,4.245,FALSE,FALSE
1975-09-01,Chlorophyll,D28A,9.8,9.8,FALSE,FALSE
1975-09-01,Chlorophyll,D4,4.245,4.245,FALSE,FALSE
1975-09-01,Chlorophyll,D6,4.86,4.859999999999999,FALSE,FALSE
1975-09-01,Chlorophyll,D7,17.755000000000003,17.755,FALSE,FALSE
1975-09-01,Chlorophyll,D8,11.114999999999997,11.115,FALSE,FALSE
1975-10-01,Chlorophyll,D26,2.345,2.345,FALSE,FALSE
1975-10-01,Chlorophyll,D28A,6.715,6.715,FALSE,FALSE
1975-10-01,Chlorophyll,D4,4.08,4.08,FALSE,FALSE
1975-10-01,Chlorophyll,D6,2.35,2.35,FALSE,FALSE
1975-10-01,Chlorophyll,D7,6.945000000000001,6.945,FALSE,FALSE
1975-10-01,Chlorophyll,D8,8.508101920889752,NA,TRUE,TRUE
1975-11-01,Chlorophyll,D26,2.465557738813372,NA,TRUE,TRUE
1975-11-01,Chlorophyll,D28A,2.72,2.72,FALSE,FALSE
1975-11-01,Chlorophyll,D4,3.3797206545642005,NA,TRUE,TRUE
1975-11-01,Chlorophyll,D6,2.105909501326093,NA,TRUE,TRUE
1975-11-01,Chlorophyll,D7,3.6664113117121704,NA,TRUE,TRUE
1975-11-01,Chlorophyll,D8,3.8448760500685806,NA,TRUE,TRUE
1975-12-01,Chlorophyll,D26,1.05,1.05,FALSE,FALSE
1975-12-01,Chlorophyll,D28A,1.98,1.98,FALSE,FALSE
1975-12-01,Chlorophyll,D4,1.17,1.17,FALSE,FALSE
1975-12-01,Chlorophyll,D6,1.42,1.42,FALSE,FALSE
1975-12-01,Chlorophyll,D7,1.8499999999999999,1.85,FALSE,FALSE
1975-12-01,Chlorophyll,D8,1.24,1.24,FALSE,FALSE
1976-01-01,Chlorophyll,D26,1.36,1.36,FALSE,FALSE
1976-01-01,Chlorophyll,D28A,3.5799999999999996,3.58,FALSE,FALSE
1976-01-01,Chlorophyll,D4,1.36,1.36,FALSE,FALSE
1976-01-01,Chlorophyll,D6,1.24,1.24,FALSE,FALSE
1976-01-01,Chlorophyll,D7,1.36,1.36,FALSE,FALSE
1976-01-01,Chlorophyll,D8,1.11,1.11,FALSE,FALSE
1976-02-01,Chlorophyll,D26,3.5199999999999996,3.52,FALSE,FALSE
1976-02-01,Chlorophyll,D28A,4.51,4.51,FALSE,FALSE
1976-02-01,Chlorophyll,D4,10.5,10.5,FALSE,FALSE
1976-02-01,Chlorophyll,D6,3.6399999999999997,3.64,FALSE,FALSE
1976-02-01,Chlorophyll,D7,34.89,34.89,FALSE,FALSE
1976-02-01,Chlorophyll,D8,25.010000000000005,25.01,FALSE,FALSE
1976-03-01,Chlorophyll,D26,8.91,8.91,FALSE,FALSE
1976-03-01,Chlorophyll,D28A,30.485,30.485,FALSE,FALSE
1976-03-01,Chlorophyll,D4,21.845,21.845,FALSE,FALSE
1976-03-01,Chlorophyll,D6,3.01,3.01,FALSE,FALSE
1976-03-01,Chlorophyll,D7,19.994999999999997,19.995,FALSE,FALSE
1976-03-01,Chlorophyll,D8,20.374999999999996,20.375,FALSE,FALSE
1976-04-01,Chlorophyll,D26,12.275000000000002,12.275,FALSE,FALSE
1976-04-01,Chlorophyll,D28A,24.700000000000003,24.7,FALSE,FALSE
1976-04-01,Chlorophyll,D4,30.485,30.485,FALSE,FALSE
1976-04-01,Chlorophyll,D6,2.8550000000000004,2.8550000000000004,FALSE,FALSE
