Date,Analyte,Station,Imputed_values,Raw_values,Missing,Imputed
1975-01-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-01-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-01-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-01-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-01-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-01-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-02-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-02-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-02-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-02-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-02-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-02-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-03-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-03-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-03-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-03-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-03-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-03-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-04-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-04-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-04-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-04-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-04-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-04-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-05-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-05-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-05-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-05-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-05-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-05-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-06-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-06-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-06-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-06-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-06-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-06-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-07-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-07-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-07-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-07-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-07-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-07-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-08-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-08-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-08-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-08-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-08-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-08-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-09-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-09-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-09-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-09-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-09-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-09-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-10-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-10-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-10-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-10-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-10-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-10-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-11-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-11-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-11-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-11-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-11-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-11-01,DissAmmonia,D8,NA,NA,TRUE,NA
1975-12-01,DissAmmonia,D26,NA,NA,TRUE,NA
1975-12-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1975-12-01,DissAmmonia,D4,NA,NA,TRUE,NA
1975-12-01,DissAmmonia,D6,NA,NA,TRUE,NA
1975-12-01,DissAmmonia,D7,NA,NA,TRUE,NA
1975-12-01,DissAmmonia,D8,NA,NA,TRUE,NA
1976-01-01,DissAmmonia,D26,NA,NA,TRUE,NA
1976-01-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1976-01-01,DissAmmonia,D4,NA,NA,TRUE,NA
1976-01-01,DissAmmonia,D6,NA,NA,TRUE,NA
1976-01-01,DissAmmonia,D7,NA,NA,TRUE,NA
1976-01-01,DissAmmonia,D8,NA,NA,TRUE,NA
1976-02-01,DissAmmonia,D26,NA,NA,TRUE,NA
1976-02-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1976-02-01,DissAmmonia,D4,NA,NA,TRUE,NA
1976-02-01,DissAmmonia,D6,NA,NA,TRUE,NA
1976-02-01,DissAmmonia,D7,NA,NA,TRUE,NA
1976-02-01,DissAmmonia,D8,NA,NA,TRUE,NA
1976-03-01,DissAmmonia,D26,NA,NA,TRUE,NA
1976-03-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1976-03-01,DissAmmonia,D4,NA,NA,TRUE,NA
1976-03-01,DissAmmonia,D6,NA,NA,TRUE,NA
1976-03-01,DissAmmonia,D7,NA,NA,TRUE,NA
1976-03-01,DissAmmonia,D8,NA,NA,TRUE,NA
1976-04-01,DissAmmonia,D26,NA,NA,TRUE,NA
1976-04-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1976-04-01,DissAmmonia,D4,NA,NA,TRUE,NA
1976-04-01,DissAmmonia,D6,NA,NA,TRUE,NA
1976-04-01,DissAmmonia,D7,NA,NA,TRUE,NA
1976-04-01,DissAmmonia,D8,NA,NA,TRUE,NA
1976-05-01,DissAmmonia,D26,NA,NA,TRUE,NA
1976-05-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1976-05-01,DissAmmonia,D4,NA,NA,TRUE,NA
1976-05-01,DissAmmonia,D6,NA,NA,TRUE,NA
1976-05-01,DissAmmonia,D7,NA,NA,TRUE,NA
1976-05-01,DissAmmonia,D8,NA,NA,TRUE,NA
1976-06-01,DissAmmonia,D26,NA,NA,TRUE,NA
1976-06-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1976-06-01,DissAmmonia,D4,NA,NA,TRUE,NA
1976-06-01,DissAmmonia,D6,NA,NA,TRUE,NA
1976-06-01,DissAmmonia,D7,NA,NA,TRUE,NA
1976-06-01,DissAmmonia,D8,NA,NA,TRUE,NA
1976-07-01,DissAmmonia,D26,NA,NA,TRUE,NA
1976-07-01,DissAmmonia,D28A,NA,NA,TRUE,NA
1976-07-01,DissAmmonia,D4,NA,NA,TRUE,NA
1976-07-01,DissAmmonia,D6,NA,NA,TRUE,NA
1976-07-01,DissAmmonia,D7,NA,NA,TRUE,NA
