Date,Analyte,Station,Imputed_values,Raw_values,Missing,Imputed
1975-01-01,Secchi,D26,61.000000000000014,61,FALSE,FALSE
1975-01-01,Secchi,D28A,NA,NA,TRUE,NA
1975-01-01,Secchi,D4,50.999999999999986,51,FALSE,FALSE
1975-01-01,Secchi,D6,63.999999999999986,64,FALSE,FALSE
1975-01-01,Secchi,D7,33,33,FALSE,FALSE
1975-01-01,Secchi,D8,37.99999999999999,38,FALSE,FALSE
1975-02-01,Secchi,D26,37.99999999999999,38,FALSE,FALSE
1975-02-01,Secchi,D28A,36,36,FALSE,FALSE
1975-02-01,Secchi,D4,46,46,FALSE,FALSE
1975-02-01,Secchi,D6,28,28,FALSE,FALSE
1975-02-01,Secchi,D7,33,33,FALSE,FALSE
1975-02-01,Secchi,D8,40.99999999999999,41,FALSE,FALSE
1975-03-01,Secchi,D26,25.000000000000007,25,FALSE,FALSE
1975-03-01,Secchi,D28A,36,36,FALSE,FALSE
1975-03-01,Secchi,D4,22.999999999999996,23,FALSE,FALSE
1975-03-01,Secchi,D6,15.000000000000004,15,FALSE,FALSE
1975-03-01,Secchi,D7,15.000000000000004,15,FALSE,FALSE
1975-03-01,Secchi,D8,17.999999999999996,18,FALSE,FALSE
1975-04-01,Secchi,D26,31.499999999999993,31.5,FALSE,FALSE
1975-04-01,Secchi,D28A,30.500000000000004,30.5,FALSE,FALSE
1975-04-01,Secchi,D4,27.000000000000004,27,FALSE,FALSE
1975-04-01,Secchi,D6,22.999999999999996,23,FALSE,FALSE
1975-04-01,Secchi,D7,17.5,17.5,FALSE,FALSE
1975-04-01,Secchi,D8,20.499999999999996,20.5,FALSE,FALSE
1975-05-01,Secchi,D26,44.49999999999999,44.5,FALSE,FALSE
1975-05-01,Secchi,D28A,43.000000000000014,43,FALSE,FALSE
1975-05-01,Secchi,D4,36,36,FALSE,FALSE
1975-05-01,Secchi,D6,25.500000000000004,25.5,FALSE,FALSE
1975-05-01,Secchi,D7,21.500000000000004,21.5,FALSE,FALSE
1975-05-01,Secchi,D8,25.000000000000007,25,FALSE,FALSE
1975-06-01,Secchi,D26,40.99999999999999,41,FALSE,FALSE
1975-06-01,Secchi,D28A,27.5,27.5,FALSE,FALSE
1975-06-01,Secchi,D4,35.49999999999999,35.5,FALSE,FALSE
1975-06-01,Secchi,D6,49.49999999999999,49.5,FALSE,FALSE
1975-06-01,Secchi,D7,23.999999999999993,24,FALSE,FALSE
1975-06-01,Secchi,D8,35.49999999999999,35.5,FALSE,FALSE
1975-07-01,Secchi,D26,42.00000000000001,42,FALSE,FALSE
1975-07-01,Secchi,D28A,35.49999999999999,35.5,FALSE,FALSE
1975-07-01,Secchi,D4,29,29,FALSE,FALSE
1975-07-01,Secchi,D6,129.5,129.5,FALSE,FALSE
1975-07-01,Secchi,D7,25.500000000000004,25.5,FALSE,FALSE
1975-07-01,Secchi,D8,30.500000000000004,30.5,FALSE,FALSE
1975-08-01,Secchi,D26,49.49999999999999,49.5,FALSE,FALSE
1975-08-01,Secchi,D28A,42.00000000000001,42,FALSE,FALSE
1975-08-01,Secchi,D4,22.5,22.5,FALSE,FALSE
1975-08-01,Secchi,D6,67,67,FALSE,FALSE
1975-08-01,Secchi,D7,20.000000000000004,20,FALSE,FALSE
1975-08-01,Secchi,D8,25.500000000000004,25.5,FALSE,FALSE
1975-09-01,Secchi,D26,49.49999999999999,49.5,FALSE,FALSE
1975-09-01,Secchi,D28A,47.99999999999999,48,FALSE,FALSE
1975-09-01,Secchi,D4,31.499999999999993,31.5,FALSE,FALSE
1975-09-01,Secchi,D6,58.5,58.5,FALSE,FALSE
1975-09-01,Secchi,D7,23.999999999999993,24,FALSE,FALSE
1975-09-01,Secchi,D8,30.500000000000004,30.5,FALSE,FALSE
1975-10-01,Secchi,D26,64.99999999999999,65,FALSE,FALSE
1975-10-01,Secchi,D28A,47.99999999999999,48,FALSE,FALSE
1975-10-01,Secchi,D4,46,46,FALSE,FALSE
1975-10-01,Secchi,D6,40.52090844418468,NA,TRUE,TRUE
1975-10-01,Secchi,D7,22.999999999999996,23,FALSE,FALSE
1975-10-01,Secchi,D8,26.500000000000004,26.5,FALSE,FALSE
1975-11-01,Secchi,D26,78.99999999999999,79,FALSE,FALSE
1975-11-01,Secchi,D28A,53.000000000000014,53,FALSE,FALSE
1975-11-01,Secchi,D4,56.00000000000001,56,FALSE,FALSE
1975-11-01,Secchi,D6,53.000000000000014,53,FALSE,FALSE
1975-11-01,Secchi,D7,20.000000000000004,20,FALSE,FALSE
1975-11-01,Secchi,D8,22.999999999999996,23,FALSE,FALSE
1975-12-01,Secchi,D26,74.00000000000001,74,FALSE,FALSE
1975-12-01,Secchi,D28A,81,81,FALSE,FALSE
1975-12-01,Secchi,D4,63.999999999999986,64,FALSE,FALSE
1975-12-01,Secchi,D6,53.000000000000014,53,FALSE,FALSE
1975-12-01,Secchi,D7,33,33,FALSE,FALSE
1975-12-01,Secchi,D8,46,46,FALSE,FALSE
1976-01-01,Secchi,D26,103.99999999999997,104,FALSE,FALSE
1976-01-01,Secchi,D28A,70.99999999999999,71,FALSE,FALSE
1976-01-01,Secchi,D4,78.99999999999999,79,FALSE,FALSE
1976-01-01,Secchi,D6,78.99999999999999,79,FALSE,FALSE
1976-01-01,Secchi,D7,43.000000000000014,43,FALSE,FALSE
1976-01-01,Secchi,D8,66.00000000000001,66,FALSE,FALSE
1976-02-01,Secchi,D26,81,81,FALSE,FALSE
1976-02-01,Secchi,D28A,70.99999999999999,71,FALSE,FALSE
1976-02-01,Secchi,D4,43.000000000000014,43,FALSE,FALSE
1976-02-01,Secchi,D6,58.00000000000001,58,FALSE,FALSE
1976-02-01,Secchi,D7,40.99999999999999,41,FALSE,FALSE
1976-02-01,Secchi,D8,43.000000000000014,43,FALSE,FALSE
1976-03-01,Secchi,D26,52.00000000000001,52,FALSE,FALSE
1976-03-01,Secchi,D28A,57.00000000000001,57,FALSE,FALSE
1976-03-01,Secchi,D4,26.500000000000004,26.5,FALSE,FALSE
1976-03-01,Secchi,D6,39.49999999999999,39.5,FALSE,FALSE
