Date,Analyte,Station,Imputed_values,Raw_values,Missing,Imputed
1975-01-01,Temperature,D26,6.760000000000001,6.76,FALSE,FALSE
1975-01-01,Temperature,D28A,NA,NA,TRUE,NA
1975-01-01,Temperature,D4,6.91,6.91,FALSE,FALSE
1975-01-01,Temperature,D6,8.91,8.91,FALSE,FALSE
1975-01-01,Temperature,D7,7.999999999999999,8,FALSE,FALSE
1975-01-01,Temperature,D8,7.830000000000001,7.83,FALSE,FALSE
1975-02-01,Temperature,D26,7.6000000000000005,7.6,FALSE,FALSE
1975-02-01,Temperature,D28A,7.6000000000000005,7.6,FALSE,FALSE
1975-02-01,Temperature,D4,7.999999999999999,8,FALSE,FALSE
1975-02-01,Temperature,D6,8.860000000000001,8.86,FALSE,FALSE
1975-02-01,Temperature,D7,9,9,FALSE,FALSE
1975-02-01,Temperature,D8,8.71,8.71,FALSE,FALSE
1975-03-01,Temperature,D26,10.799999999999999,10.8,FALSE,FALSE
1975-03-01,Temperature,D28A,11.800000000000002,11.8,FALSE,FALSE
1975-03-01,Temperature,D4,11.330000000000004,11.33,FALSE,FALSE
1975-03-01,Temperature,D6,11.330000000000004,11.33,FALSE,FALSE
1975-03-01,Temperature,D7,11.330000000000004,11.33,FALSE,FALSE
1975-03-01,Temperature,D8,11.179999999999998,11.18,FALSE,FALSE
1975-04-01,Temperature,D26,12.690000000000003,12.69,FALSE,FALSE
1975-04-01,Temperature,D28A,12.400000000000002,12.4,FALSE,FALSE
1975-04-01,Temperature,D4,12.470000000000002,12.47,FALSE,FALSE
1975-04-01,Temperature,D6,12.839999999999998,12.84,FALSE,FALSE
1975-04-01,Temperature,D7,12.864999999999998,12.865,FALSE,FALSE
1975-04-01,Temperature,D8,12.735000000000001,12.735,FALSE,FALSE
1975-05-01,Temperature,D26,15.65,15.65,FALSE,FALSE
1975-05-01,Temperature,D28A,17.395000000000003,17.395,FALSE,FALSE
1975-05-01,Temperature,D4,15.43,15.43,FALSE,FALSE
1975-05-01,Temperature,D6,15.900000000000002,15.9,FALSE,FALSE
1975-05-01,Temperature,D7,16.430000000000003,16.43,FALSE,FALSE
1975-05-01,Temperature,D8,16.430000000000003,16.43,FALSE,FALSE
1975-06-01,Temperature,D26,20.48,20.48,FALSE,FALSE
1975-06-01,Temperature,D28A,22.585000000000004,22.585,FALSE,FALSE
1975-06-01,Temperature,D4,19.535000000000004,19.535,FALSE,FALSE
1975-06-01,Temperature,D6,17.964999999999996,17.965,FALSE,FALSE
1975-06-01,Temperature,D7,18.534999999999997,18.535,FALSE,FALSE
1975-06-01,Temperature,D8,18.98,18.98,FALSE,FALSE
1975-07-01,Temperature,D26,21.6,21.6,FALSE,FALSE
1975-07-01,Temperature,D28A,22.6,22.6,FALSE,FALSE
1975-07-01,Temperature,D4,20.405,20.405,FALSE,FALSE
1975-07-01,Temperature,D6,19.67,19.67,FALSE,FALSE
1975-07-01,Temperature,D7,19.74,19.74,FALSE,FALSE
1975-07-01,Temperature,D8,20.099999999999998,20.1,FALSE,FALSE
1975-08-01,Temperature,D26,21.810000000000002,21.81,FALSE,FALSE
1975-08-01,Temperature,D28A,23.809999999999995,23.81,FALSE,FALSE
1975-08-01,Temperature,D4,21.414999999999996,21.415,FALSE,FALSE
1975-08-01,Temperature,D6,19.305000000000003,19.305,FALSE,FALSE
1975-08-01,Temperature,D7,19.415000000000003,19.415,FALSE,FALSE
1975-08-01,Temperature,D8,20.115,20.115,FALSE,FALSE
1975-09-01,Temperature,D26,20.605000000000004,20.605,FALSE,FALSE
1975-09-01,Temperature,D28A,22.119999999999997,22.12,FALSE,FALSE
1975-09-01,Temperature,D4,20.47,20.47,FALSE,FALSE
1975-09-01,Temperature,D6,19.975000000000005,19.975,FALSE,FALSE
1975-09-01,Temperature,D7,20.47,20.47,FALSE,FALSE
1975-09-01,Temperature,D8,20.015,20.015,FALSE,FALSE
