MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1995-01-01T08:00:00Z,DissNitrateNitrite,1.4,0.25,0.4,0.46,0.54,0.31,0.56,1,0.34,0.36,0.36,0.36,0.4,1.2,1.6
1995-02-01T08:00:00Z,DissNitrateNitrite,0.9,0.21,0.33,0.54,0.56,0.31,0.57,1.3,0.32,0.35,0.36,0.32,0.35,1.6,1.2
1995-03-01T08:00:00Z,DissNitrateNitrite,0.51,0.13,0.29,0.49,0.37,0.2,0.72,0.86,0.21,0.29,0.38,0.22,0.23,0.57,0.78
1995-04-01T08:00:00Z,DissNitrateNitrite,0.36,0.1,0.16,0.22,0.19,0.18,0.2,0.43,0.18,0.19,0.16,0.17,0.17,0.47,0.43
1995-05-01T07:00:00Z,DissNitrateNitrite,0.32,0.05,0.08,0.17,0.18,0.06,0.3,0.27,0.06,0.13,0.09,0.07,0.08,0.26,0.28
1995-06-01T07:00:00Z,DissNitrateNitrite,0.36,0.11,0.14,0.17,0.16,0.14,0.17,0.29,0.15,0.28,0.2,0.16,0.15,0.3,0.46
1995-07-01T07:00:00Z,DissNitrateNitrite,0.65,0.08,0.12,0.13,0.14,0.11,0.13,NA,0.12,0.21,0.18,0.13,0.13,0.01,0.88
1995-08-01T07:00:00Z,DissNitrateNitrite,1.3,0.09,0.21,0.18,0.17,0.17,0.17,0.14,0.2,0.03,0.18,0.19,0.21,0.09,1.3
1995-09-01T07:00:00Z,DissNitrateNitrite,1.1,0.11,0.19,0.15,0.16,0.15,0.16,0.14,0.16,0.25,0.25,0.24,0.21,0.09,1.2
1995-10-01T07:00:00Z,DissNitrateNitrite,0.55,0.19,0.12,0.24,0.26,0.26,0.3,0.21,0.25,0.19,0.27,0.28,0.26,0.16,0.59
1995-11-01T08:00:00Z,DissNitrateNitrite,2.2,0.2,0.18,0.27,0.36,0.34,0.31,0.31,0.33,0.09,0.09,0.16,0.17,0.29,1.5
1995-12-01T08:00:00Z,DissNitrateNitrite,1.9,0.37,0.5,0.53,0.45,0.46,0.42,0.5,0.58,0.35,0.42,0.49,0.47,1,1.9
1996-01-01T08:00:00Z,DissNitrateNitrite,1.8,0.32,NA,NA,NA,NA,0.46,0.54,0.39,0.42,0.44,0.44,0.42,1.4,1.4
1996-02-01T08:00:00Z,DissNitrateNitrite,0.93,0.17,NA,NA,NA,NA,0.95,1.2,0.25,0.35,0.33,0.32,0.33,1.4,1.1
1996-03-01T08:00:00Z,DissNitrateNitrite,0.47,0.13,NA,NA,NA,NA,0.4,0.8,0.3,0.31,0.36,0.3,0.37,0.85,0.53
