MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1995-01-01T08:00:00Z,DissOrthophos,0.3,0.04,0.06,0.06,0.06,0.04,0.07,0.12,0.05,0.06,0.06,0.05,0.06,0.2,0.36
1995-02-01T08:00:00Z,DissOrthophos,0.19,0.04,0.05,0.08,0.07,0.04,0.08,0.18,0.05,0.06,0.06,0.05,0.06,0.24,0.22
1995-03-01T08:00:00Z,DissOrthophos,0.13,0.02,0.05,0.08,0.06,0.03,0.11,0.15,0.03,0.05,0.06,0.04,0.04,0.34,0.26
1995-04-01T08:00:00Z,DissOrthophos,0.09,0.02,0.04,0.05,0.03,0.02,0.02,0.09,0.03,0.04,0.04,0.03,0.04,0.11,0.08
1995-05-01T07:00:00Z,DissOrthophos,0.09,NA,0.03,0.05,0.06,0.02,0.1,0.09,0.02,0.04,0.03,0.03,0.03,0.1,0.08
1995-06-01T07:00:00Z,DissOrthophos,0.04,0.02,0.03,0.04,0.04,0.02,0.04,0.07,0.03,0.07,0.04,0.04,0.04,0.07,0.05
1995-07-01T07:00:00Z,DissOrthophos,0.07,0.02,0.03,0.03,0.03,0.03,0.03,NA,0.04,0.06,0.05,0.04,0.03,0.04,0.1
1995-08-01T07:00:00Z,DissOrthophos,0.07,0.04,0.05,0.05,0.04,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.05,0.05,0.11
1995-09-01T07:00:00Z,DissOrthophos,0.08,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.08,0.07,0.07,0.05,0.04,0.11
1995-10-01T07:00:00Z,DissOrthophos,0.02,0.08,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.08,0.07,0.06,0.03,0.06
1995-11-01T08:00:00Z,DissOrthophos,0.12,0.09,0.05,0.05,0.05,0.06,0.05,0.04,0.05,0.05,0.03,0.07,0.06,0.03,0.08
1995-12-01T08:00:00Z,DissOrthophos,0.1,0.08,0.07,0.05,0.07,0.04,0.07,0.05,0.06,0.09,0.09,0.08,0.08,0.09,0.32
1996-01-01T08:00:00Z,DissOrthophos,0.24,0.04,NA,NA,NA,NA,0.04,0.06,0.04,0.08,0.06,0.05,0.05,0.38,0.22
1996-02-01T08:00:00Z,DissOrthophos,0.21,0.02,NA,NA,NA,NA,0.12,0.1,0.04,0.06,0.05,0.05,0.04,0.33,0.29
1996-03-01T08:00:00Z,DissOrthophos,0.04,0.02,NA,NA,NA,NA,0.05,0.06,0.04,0.05,0.05,0.04,0.05,0.13,0.05
1996-04-01T08:00:00Z,DissOrthophos,0.06,0.02,NA,NA,NA,NA,0.04,0.04,0.04,0.06,0.06,0.04,0.04,0.07,0.07
1996-05-01T07:00:00Z,DissOrthophos,0.05,0.03,NA,NA,NA,NA,0.04,0.07,0.04,0.07,0.04,0.06,0.05,0.07,0.06
1996-06-01T07:00:00Z,DissOrthophos,0.06,0.03,NA,NA,NA,NA,0.04,0.05,0.04,0.08,0.06,0.06,0.04,0.07,0.08
1996-07-01T07:00:00Z,DissOrthophos,0.11,0.04,NA,NA,NA,NA,0.04,0.04,0.04,0.1,0.1,0.08,0.08,0.03,0.12
