MonthYear,Analyte,C10A,C3A,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1975-01-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-02-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-03-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-04-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-05-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-06-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-07-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-08-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-09-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-10-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-11-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975-12-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-01-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-02-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-03-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-04-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-05-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-06-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-07-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-08-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-09-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-10-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-11-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-12-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-01-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-02-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-03-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-04-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-05-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-06-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-07-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-08-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-09-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-10-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-12-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-01-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-02-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-03-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-04-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-05-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-06-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-07-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-08-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-09-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-10-01T07:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-11-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978-12-01T08:00:00Z,DissAmmonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-01-01T08:00:00Z,DissAmmonia,0.24,0.13,0.2,0.17,0.1,NA,0.08,0.11,0.12,0.66,0.45
1979-02-01T08:00:00Z,DissAmmonia,NA,NA,0.11,NA,0.08,NA,0.1,0.1,0.07,NA,NA
1979-03-01T08:00:00Z,DissAmmonia,0.095,0.06,0.1,0.1,0.07500000000000001,NA,0.060000000000000005,0.045,0.055,0.1,0.11499999999999999
1979-04-01T08:00:00Z,DissAmmonia,0.16,0.15000000000000002,0.065,0.025,0.045,NA,0.045,0.03,0.045,0.01,0.115
1979-05-01T07:00:00Z,DissAmmonia,0.09,0.11000000000000001,0.065,0.02,0.02,NA,0.04,0.02,NA,0.015,0.21999999999999997
1979-06-01T07:00:00Z,DissAmmonia,0.16999999999999998,0.20500000000000002,0.06,0.02,0.015,NA,0.02,0.01,NA,0.16999999999999998,NA
1979-07-01T07:00:00Z,DissAmmonia,NA,0.14,0.045,0.01,0.01,NA,0.015,0.015,NA,0.055,0.04
1979-08-01T07:00:00Z,DissAmmonia,0.12,0.125,0.055,0.02,0.015,NA,0.04,0.01,0.01,0.035,0.04
1979-09-01T07:00:00Z,DissAmmonia,0.14,0.19,0.08,0.02,0.03,NA,0.06,0.02,0.02,0.085,0.1
1979-10-01T07:00:00Z,DissAmmonia,0.1,0.21,0.09,0.03,0.025,NA,0.07500000000000001,0.035,0.02,0.04,0.115
1979-11-01T08:00:00Z,DissAmmonia,0.22,0.17,0.1,0.05,0.05,NA,0.09,0.1,0.07,0.04,0.24
1979-12-01T08:00:00Z,DissAmmonia,0.28,0.15,0.1,0.02,0.07,NA,0.12,0.09,0.09,0.03,0.22
1980-02-01T08:00:00Z,DissAmmonia,0.06,0.07,0.12,0.08,0.08,0.04,0.07,0.1,0.1,0.1,0.08
1980-03-01T08:00:00Z,DissAmmonia,0.02,0.035,0.065,0.05,0.045,0.045,0.05,0.04,0.05,0.05,0.06
1980-04-01T08:00:00Z,DissAmmonia,0.045000000000000005,0.10500000000000001,0.07500000000000001,0.09,0.060000000000000005,0.07500000000000001,0.055,0.05,0.045,0.015,0.095
1980-05-01T07:00:00Z,DissAmmonia,0.04,0.14,0.06,0.045000000000000005,0.04,0.035,0.05,0.04,0.04,0.045,0.045
1980-06-01T07:00:00Z,DissAmmonia,0.015,0.125,0.07,0.045,0.04,0.05,0.03,0.03,0.02,0.05,0.035
1980-07-01T07:00:00Z,DissAmmonia,0.1,0.13,0.055,0.02,0.02,0.09,0.02,0.025,NA,0.07,0.09
1980-08-01T07:00:00Z,DissAmmonia,0.12,0.135,0.06,0.03,0.03,0.085,0.03,0.04,0.03,0.03,0.060000000000000005
1980-09-01T07:00:00Z,DissAmmonia,0.05,0.125,0.04,0.015,0.035,0.05500000000000001,0.035,0.035,0.02,0.05,0.14
1980-10-01T07:00:00Z,DissAmmonia,0.09,0.27,0.09,0.025,0.035,0.07,0.04,0.02,0.02,0.035,0.125
1980-11-01T08:00:00Z,DissAmmonia,0.18,0.26,0.08,0.01,0.06,0.1,0.1,0.07,0.07,0.05,0.13
1980-12-01T08:00:00Z,DissAmmonia,0.19,0.14,0.13,0.1,0.1,0.12,0.12,0.1,0.1,0.14,0.25
1981-01-01T08:00:00Z,DissAmmonia,0.13,0.21,0.13,0.11,0.1,0.12,0.14,0.14,0.1,0.18,0.3
1981-02-01T08:00:00Z,DissAmmonia,0.2,0.17,0.11,0.11,0.08,NA,0.11,0.09,0.09,0.13,0.43
1981-03-01T08:00:00Z,DissAmmonia,0.15,0.095,0.095,0.07,0.08,NA,0.095,0.09,0.07,0.22999999999999998,0.5700000000000001
1981-04-01T08:00:00Z,DissAmmonia,0.05,0.16,0.1,NA,0.060000000000000005,0.05,0.07,0.06,0.05,0.02,0.195
1981-05-01T07:00:00Z,DissAmmonia,0.02,0.195,0.04,0.015,0.04,0.05500000000000001,0.035,0.03,0.015,0.025,0.21500000000000002
1981-06-01T07:00:00Z,DissAmmonia,0.01,0.21000000000000002,0.065,0.02,0.04,0.05,0.07,0.025,0.01,0.05,0.125
1981-07-01T07:00:00Z,DissAmmonia,0.055,0.14,0.07,0.025,0.045,0.07,0.04,0.035,0.02,0.03,0.05
1981-08-01T07:00:00Z,DissAmmonia,0.09,0.165,0.065,0.01,0.03,0.16,0.08,0.045,0.03,0.025,NA
1981-09-01T07:00:00Z,DissAmmonia,0.07,0.21500000000000002,0.085,0.02,0.05,0.155,0.155,0.075,0.045,0.03,0.1
1981-10-01T07:00:00Z,DissAmmonia,0.16,0.255,0.1,0.025,0.04,0.095,0.095,0.055,0.065,NA,0.145
1981-11-01T08:00:00Z,DissAmmonia,0.75,0.14,0.14,0.06,0.1,0.17,0.16,0.14,0.1,0.04,0.57
1981-12-01T08:00:00Z,DissAmmonia,0.47,0.09,0.06,0.09,0.04,0.11,0.12,0.09,0.07,0.09,0.87
1982-01-01T08:00:00Z,DissAmmonia,0.31,0.06,0.1,0.17,0.05,0.09,0.09,0.07,0.07,0.24,0.72
1982-02-01T08:00:00Z,DissAmmonia,0.16,0.09,0.09,0.11,0.05,0.07,0.07,0.04,0.06,0.1,0.44
1982-03-01T08:00:00Z,DissAmmonia,0.105,0.04,0.055,0.11,0.12000000000000001,0.055,0.05,0.04,0.04,0.105,0.18
1982-04-01T08:00:00Z,DissAmmonia,0.09,0.04,0.13,0.06,0.03,0.05,0.05,0.05,0.04,0.18,0.11
1982-05-01T07:00:00Z,DissAmmonia,0.06,0.08,0.07,0.07,0.04,0.05,0.07,0.02,NA,0.06,0.14
1982-06-01T07:00:00Z,DissAmmonia,0.075,0.105,0.045,0.03,0.02,0.025,0.035,0.04,0.02,0.08,0.15
1982-07-01T07:00:00Z,DissAmmonia,0.07500000000000001,0.145,0.045,0.045000000000000005,0.03,0.1,0.08499999999999999,0.09,0.035,0.05500000000000001,0.115
1982-08-01T07:00:00Z,DissAmmonia,0.095,0.10500000000000001,0.04,0.015,0.04,0.085,0.07500000000000001,0.05,0.04,0.03,0.1
1982-09-01T07:00:00Z,DissAmmonia,0.05,0.11,0.060000000000000005,0.02,0.02,0.08,0.06,0.04,0.025,0.04,0.125
1982-10-01T07:00:00Z,DissAmmonia,0.06,0.11,0.06,NA,NA,0.07500000000000001,0.065,0.025,0.03,0.025,0.07
1982-11-01T08:00:00Z,DissAmmonia,0.12,0.12,0.06,0.02,0.05,0.09,0.08,0.03,0.04,0.04,0.09
1982-12-01T08:00:00Z,DissAmmonia,0.17,0.05,0.14,0.16,0.06,0.1,0.09,0.06,0.07,0.32,0.16
1983-01-01T08:00:00Z,DissAmmonia,0.03,0.06,0.12,0.01,0.06,0.1,0.08,NA,0.07,0.12,0.09
1983-02-01T08:00:00Z,DissAmmonia,0.12,0.1,0.08,0.12,0.02,0.07,0.05,0.04,0.05,0.2,0.16
1983-03-01T08:00:00Z,DissAmmonia,0.04,0.04,0.12,0.07,0.04,0.06,0.05,0.07,0.05,0.17,0.16
1983-05-01T07:00:00Z,DissAmmonia,0.02,0.03,0.11,0.04,0.04,0.1,0.06,0.04,0.05,0.39,0.09
1983-06-01T07:00:00Z,DissAmmonia,0.02,0.04,0.06,0.05,0.03,0.06,0.04,0.02,0.02,0.07,0.07
1983-07-01T07:00:00Z,DissAmmonia,0.03,0.07,0.06,0.06,0.02,0.05,0.04,0.02,0.02,0.02,0.07
1983-08-01T07:00:00Z,DissAmmonia,0.07,0.18,0.07,0.04,0.03,0.02,0.04,0.04,0.03,0.02,0.07
1983-09-01T07:00:00Z,DissAmmonia,0.05,0.11,0.08,0.05,0.03,0.03,0.04,0.02,0.02,0.04,0.13
1983-10-01T07:00:00Z,DissAmmonia,0.03,0.08,0.06,0.06,0.04,0.04,0.04,0.01,0.02,0.05,0.07
1983-11-01T08:00:00Z,DissAmmonia,0.18,0.12,0.08,0.08,0.04,0.09,0.07,0.02,0.03,0.04,0.09
1983-12-01T08:00:00Z,DissAmmonia,0.08,0.05,0.08,0.1,0.02,0.09,0.05,0.06,0.04,0.23,0.06
1984-01-01T08:00:00Z,DissAmmonia,0.06,0.06,0.09,0.05,0.06,0.08,0.07,0.05,0.06,0.16,0.1
1984-02-01T08:00:00Z,DissAmmonia,0.07,0.11,0.1,0.07,0.07,0.06,0.07,0.05,0.07,0.08,0.09
1984-03-01T08:00:00Z,DissAmmonia,0.12,0.12,0.08,0.08,0.04,0.04,0.07,0.04,0.04,0.07,0.18
1984-04-01T08:00:00Z,DissAmmonia,0.04,0.2,0.07,0.04,0.05,0.03,0.05,0.05,0.03,0.04,0.35
1984-05-01T07:00:00Z,DissAmmonia,0.1,0.24,0.07,NA,0.01,0.05,0.04,0.02,0.03,0.03,0.19
1984-06-01T07:00:00Z,DissAmmonia,0.06,0.14,NA,NA,0.03,0.04,0.05,0.05,0.05,0.03,0.35
1984-07-01T07:00:00Z,DissAmmonia,0.11499999999999999,0.12,0.055,0.025,0.035,0.06,0.04,0.03,0.04,0.035,0.1
1984-08-01T07:00:00Z,DissAmmonia,0.08499999999999999,0.12000000000000001,0.03,0.02,0.03,0.065,0.055,0.015,0.04,0.035,0.07
1984-09-01T07:00:00Z,DissAmmonia,0.05,0.185,0.05,0.015,0.02,0.045,0.035,0.03,0.015,0.03,0.20500000000000002
1984-10-01T07:00:00Z,DissAmmonia,0.07,0.22,0.07,0.01,0.01,0.05,0.06,0.02,0.03,0.03,0.12
1984-11-01T08:00:00Z,DissAmmonia,0.29,0.07,0.08,0.08,0.02,0.08,0.09,0.06,0.07,0.08,0.66
1984-12-01T08:00:00Z,DissAmmonia,0.16,0.08,0.1,0.09,0.06,0.1,0.1,0.06,0.08,0.2,0.5
1985-01-01T08:00:00Z,DissAmmonia,0.18,0.14,0.11,0.11,0.09,0.08,0.12,0.11,0.11,0.12,0.43
