MonthYear,Analyte,C10A,C3A,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1975-01-01T08:00:00Z,DissOrthophos,0.09,0.08,0.06,NA,0.07,NA,0.09,0.08,0.08,0.17,NA
1975-02-01T08:00:00Z,DissOrthophos,0.08,0.07,0.07,0.06,0.07,NA,0.07,0.07,0.08,0.15,0.13
1975-03-01T07:00:00Z,DissOrthophos,0.09,0.06,0.08,0.08,0.05,NA,0.06,0.06,0.06,0.25,0.16
1975-04-01T07:00:00Z,DissOrthophos,0.07500000000000001,0.04,0.05,0.07500000000000001,0.045,NA,0.05500000000000001,0.055,0.05,0.195,0.11
1975-05-01T07:00:00Z,DissOrthophos,0.10500000000000001,0.045,0.05,0.04,0.045,NA,0.065,0.045,0.045,0.095,0.22
1975-06-01T07:00:00Z,DissOrthophos,0.055,0.055,0.06,0.065,0.045,NA,0.06,0.04,0.055,0.095,0.12000000000000001
1975-07-01T07:00:00Z,DissOrthophos,0.09,0.065,0.06,0.07,0.04,NA,0.06,0.04,0.045,0.08,0.135
1975-08-01T07:00:00Z,DissOrthophos,0.095,0.045,0.06,0.065,0.07,NA,0.07,0.045,0.05,0.08,0.16499999999999998
1975-09-01T07:00:00Z,DissOrthophos,0.06,0.05,0.06,0.045,0.07,NA,0.08499999999999999,0.07,0.065,0.07,0.28
1975-10-01T07:00:00Z,DissOrthophos,0.035,0.045,0.07,0.05,0.065,NA,0.09,0.07500000000000001,0.08,0.07,0.08499999999999999
1975-11-01T08:00:00Z,DissOrthophos,0.06,0.06,0.05,0.06,0.05,NA,0.08,0.07,0.05,0.1,0.13
1975-12-01T08:00:00Z,DissOrthophos,0.05,0.05,0.04,0.05,0.05,NA,0.06,0.06,0.05,0.04,0.15
1976-01-01T08:00:00Z,DissOrthophos,0.1,0.09,0.06,0.05,0.05,NA,0.07,0.07,0.07,0.12,0.17
1976-02-01T08:00:00Z,DissOrthophos,0.12,0.09,0.08,0.09,0.07,NA,0.07,0.06,0.06,0.1,0.32
1976-03-01T08:00:00Z,DissOrthophos,0.10500000000000001,0.07,0.065,0.03,0.055,NA,0.07500000000000001,0.065,0.065,0.115,0.21500000000000002
1976-04-01T08:00:00Z,DissOrthophos,0.1,0.06,0.07,0.035,0.05,NA,0.07500000000000001,0.07,0.06,0.05,0.245
1976-05-01T07:00:00Z,DissOrthophos,0.125,0.09,0.06,0.02,0.065,NA,0.06,0.04,0.05,0.07,0.18
1976-06-01T07:00:00Z,DissOrthophos,0.10500000000000001,0.10500000000000001,0.1,0.05,0.08,NA,0.09,0.07,0.08499999999999999,0.1,NA
1976-07-01T07:00:00Z,DissOrthophos,0.08,0.09,0.07,0.105,0.08499999999999999,NA,0.08499999999999999,0.07,0.07500000000000001,0.08499999999999999,0.22
