Date,Analyte,Station,Imputed_values,Raw_values,Missing,Imputed
1995-01-01,Temperature,C10A,10.17,10.17,FALSE,FALSE
1995-01-01,Temperature,C3A,9.24,9.24,FALSE,FALSE
1995-01-01,Temperature,D26,9.9,9.9,FALSE,FALSE
1995-01-01,Temperature,D28A,10.76,10.76,FALSE,FALSE
1995-01-01,Temperature,D4,11.15,11.15,FALSE,FALSE
1995-01-01,Temperature,D41,11.04,11.04,FALSE,FALSE
1995-01-01,Temperature,D6,11.21,11.21,FALSE,FALSE
1995-01-01,Temperature,D7,10.85,10.85,FALSE,FALSE
1995-01-01,Temperature,D8,10.02,10.02,FALSE,FALSE
1995-01-01,Temperature,MD10A,9.92,9.92,FALSE,FALSE
1995-01-01,Temperature,P8,10.83,10.83,FALSE,FALSE
1995-02-01,Temperature,C10A,12.74,12.74,FALSE,FALSE
1995-02-01,Temperature,C3A,11.23,11.23,FALSE,FALSE
1995-02-01,Temperature,D26,11.75,11.75,FALSE,FALSE
1995-02-01,Temperature,D28A,11.61,11.61,FALSE,FALSE
1995-02-01,Temperature,D4,11.76,11.76,FALSE,FALSE
1995-02-01,Temperature,D41,12.21,12.21,FALSE,FALSE
1995-02-01,Temperature,D6,12.22,12.22,FALSE,FALSE
1995-02-01,Temperature,D7,12.03,12.03,FALSE,FALSE
1995-02-01,Temperature,D8,12.13,12.13,FALSE,FALSE
1995-02-01,Temperature,MD10A,12.85,12.85,FALSE,FALSE
1995-02-01,Temperature,P8,12.65,12.65,FALSE,FALSE
1995-03-01,Temperature,C10A,13.58,13.58,FALSE,FALSE
1995-03-01,Temperature,C3A,12.29,12.29,FALSE,FALSE
1995-03-01,Temperature,D26,12.8,12.8,FALSE,FALSE
1995-03-01,Temperature,D28A,12.48,12.48,FALSE,FALSE
1995-03-01,Temperature,D4,11.92,11.92,FALSE,FALSE
1995-03-01,Temperature,D41,12.73,12.73,FALSE,FALSE
1995-03-01,Temperature,D6,11.93,11.93,FALSE,FALSE
1995-03-01,Temperature,D7,12.68,12.68,FALSE,FALSE
1995-03-01,Temperature,D8,10.74,10.74,FALSE,FALSE
1995-03-01,Temperature,MD10A,11.56,11.56,FALSE,FALSE
1995-03-01,Temperature,P8,12.48,12.48,FALSE,FALSE
1995-04-01,Temperature,C10A,12.5,12.5,FALSE,FALSE
1995-04-01,Temperature,C3A,12.11,12.11,FALSE,FALSE
1995-04-01,Temperature,D26,14.12,14.12,FALSE,FALSE
1995-04-01,Temperature,D28A,14.47,14.47,FALSE,FALSE
1995-04-01,Temperature,D4,14.47,14.47,FALSE,FALSE
1995-04-01,Temperature,D41,14.93,14.93,FALSE,FALSE
1995-04-01,Temperature,D6,14.97,14.97,FALSE,FALSE
1995-04-01,Temperature,D7,14.61,14.61,FALSE,FALSE
1995-04-01,Temperature,D8,14.57,14.57,FALSE,FALSE
1995-04-01,Temperature,MD10A,14.82,14.82,FALSE,FALSE
1995-04-01,Temperature,P8,14.57,14.57,FALSE,FALSE
1995-05-01,Temperature,C10A,16.53,16.53,FALSE,FALSE
