"Region","Year","Month","Corbicula_cpue","Potamocorbula_cpue"
"Far West",1997,2,0,716.346153846154
"Far West",1997,3,0,713.942307692308
"Far West",1997,4,0,3901.44230769231
"Far West",1997,5,0,2901.44230769231
"Far West",1997,6,0,7324.51923076923
"Far West",1997,7,0,3908.65384615385
"Far West",1997,8,0,6326.92307692308
"Far West",1997,9,0,2963.94230769231
"Far West",1997,10,0,2182.69230769231
"Far West",1997,11,0,399.038461538462
"Far West",1997,12,0,471.153846153846
"Far West",1998,1,0,132.211538461538
"Far West",1998,2,0,137.019230769231
"Far West",1998,3,0,187.5
"Far West",1998,4,0,620.192307692308
"Far West",1998,5,0,4901.44230769231
"Far West",1998,6,0,5194.71153846154
"Far West",1998,7,0,3432.69230769231
"Far West",1998,8,0,5737.98076923077
"Far West",1998,9,0,4149.03846153846
"Far West",1998,10,0,6591.34615384615
"Far West",1998,11,0,3036.05769230769
"Far West",1998,12,0,545.673076923077
"Far West",1999,1,0,1137.01923076923
"Far West",1999,2,0,504.807692307692
"Far West",1999,3,0,524.038461538462
"Far West",1999,4,0,329.326923076923
"Far West",1999,5,0,750
"Far West",1999,6,0,3014.42307692308
"Far West",1999,7,0,4254.80769230769
"Far West",1999,8,0,894.230769230769
"Far West",1999,9,0,2463.94230769231
"Far West",1999,10,0,1182.69230769231
"Far West",1999,11,0,951.923076923077
"Far West",1999,12,0,293.269230769231
"Far West",2000,1,0,139.423076923077
"Far West",2000,2,0,88.9423076923077
"Far West",2000,3,0,110.576923076923
"Far West",2000,4,0,4540.86538461538
"Far West",2000,5,0,28038.4615384615
"Far West",2000,6,0,11149.0384615385
"Far West",2000,7,0,9850.96153846154
"Far West",2000,8,0,16793.2692307692
"Far West",2000,9,0,22935.0961538462
"Far West",2000,10,0,27033.6538461538
"Far West",2000,11,0,2180.28846153846
"Far West",2000,12,0,1274.03846153846
"Far West",2001,1,0,278.846153846154
"Far West",2001,2,0,112.980769230769
"Far West",2001,3,0,384.615384615385
"Far West",2001,4,0,38.4615384615385
"Far West",2001,5,0,317.307692307692
