Date,Month,Year,OUT,TOT,YOLO,SAC,MISC,SJR,XGEO,EXPORT
1/1/1970,1,1970,82977,85191,9969,66000,3821,4840,9607,514
1/2/1970,1,1970,74781,76951,5289,62400,3821,4910,9128,520
1/3/1970,1,1970,67841,70239,2350,58900,3821,4660,8662,798
1/4/1970,1,1970,63129,65890,1281,56200,3821,4100,8303,1211
1/5/1970,1,1970,59713,61737,990,52500,3821,3950,7811,524
1/6/1970,1,1970,53526,55589,762,46600,3821,3950,7026,613
1/7/1970,1,1970,47347,49368,591,40300,3821,4210,6188,621
1/8/1970,1,1970,43776,45589,519,36800,3821,3990,5723,599
1/9/1970,1,1970,45992,44592,860,35400,3821,4030,5537,599
1/10/1970,1,1970,54552,51359,5740,36800,3821,4100,5723,965
1/11/1970,1,1970,62163,58600,5657,43600,3821,4040,6627,1525
1/12/1970,1,1970,67883,63095,4248,50100,3821,3880,7492,722
1/13/1970,1,1970,74852,70460,3861,57800,3821,3880,8516,932
1/14/1970,1,1970,93695,87053,9164,66500,3821,4080,9673,841
1/15/1970,1,1970,144516,135145,47681,71600,3821,4630,10351,965
1/16/1970,1,1970,192340,180112,84081,78700,3821,6720,11296,2500
1/17/1970,1,1970,265929,253531,136630,90200,3821,8220,12825,3074
1/18/1970,1,1970,291597,279941,159440,93500,3821,12200,13264,3866
1/19/1970,1,1970,284533,275121,153870,93100,3821,17400,13211,838
1/20/1970,1,1970,265798,260211,143850,87900,3821,18200,12519,631
1/21/1970,1,1970,268953,259061,143290,84900,3821,18400,12120,532
1/22/1970,1,1970,337119,325001,195500,89500,3821,18700,12732,602
1/23/1970,1,1970,348613,336691,203500,93300,3821,24000,13237,848
1/24/1970,1,1970,373417,361131,229000,93800,3821,24000,13304,1786
1/25/1970,1,1970,395113,383921,255600,93000,3821,21200,13198,2012
1/26/1970,1,1970,377435,374841,253500,89100,3821,20200,12679,1182
1/27/1970,1,1970,355786,353941,234800,87100,3821,19700,12413,678
1/28/1970,1,1970,337670,336101,219300,84500,3821,19400,12067,954
1/29/1970,1,1970,304103,303831,192860,80700,3821,18900,11562,949
1/30/1970,1,1970,288705,288611,180530,79400,3821,17900,11389,1065
1/31/1970,1,1970,262910,262831,158320,77900,3821,16200,11189,1130
2/1/1970,2,1970,219460,221642,124780,76600,612,13300,11016,1406
2/2/1970,2,1970,194434,196482,101520,76800,612,11400,11043,1272
2/3/1970,2,1970,178581,180578,87906,75800,612,10300,10910,1221
2/4/1970,2,1970,163713,165828,75716,74000,612,9680,10671,1339
2/5/1970,2,1970,148932,150915,62363,72700,612,9870,10498,1207
2/6/1970,2,1970,138603,140749,53554,71900,612,9870,10391,1246
2/7/1970,2,1970,130131,132414,46477,71300,612,9570,10311,1383
2/8/1970,2,1970,119355,121812,37643,70100,612,9300,10152,1557
2/9/1970,2,1970,112963,115199,32223,69200,612,9150,10032,1336
2/10/1970,2,1970,107511,110091,28564,67800,612,9180,9846,1730
2/11/1970,2,1970,102922,105486,24949,66700,612,9360,9700,1838
2/12/1970,2,1970,99399,101741,22082,66100,612,9360,9620,1740
2/13/1970,2,1970,99715,100678,21427,65900,612,9230,9593,1726
2/14/1970,2,1970,106941,105222,25150,66000,612,9260,9607,2145
2/15/1970,2,1970,107633,105927,26055,66600,612,8840,9686,2158
2/16/1970,2,1970,104828,103046,24104,66200,612,8580,9633,1958
2/17/1970,2,1970,104391,101672,21820,65700,612,8390,9567,2324
2/18/1970,2,1970,104125,101425,22063,65900,612,8340,9593,2467
2/19/1970,2,1970,96637,97098,19156,65400,612,8530,9527,2527
2/20/1970,2,1970,91220,91672,14710,64400,612,8890,9394,2518
2/21/1970,2,1970,85253,85842,10260,63100,612,9020,9221,2605
2/22/1970,2,1970,80355,82322,7910,62100,612,9000,9088,2556
2/23/1970,2,1970,75768,79242,6610,60700,612,8750,8902,2574
2/24/1970,2,1970,73047,76338,5970,58900,612,8370,8662,2391
2/25/1970,2,1970,71814,75069,5640,58300,612,8100,8582,2355
2/26/1970,2,1970,69764,73112,5150,57100,612,8010,8423,2448
2/27/1970,2,1970,66716,69676,5230,53700,612,7970,7971,2060
2/28/1970,2,1970,62924,66015,4920,50700,612,7730,7572,2501
3/1/1970,3,1970,63503,65788,4760,49500,1528,7130,7412,2265
3/2/1970,3,1970,72011,72728,5010,52800,1528,7360,7851,1515
3/3/1970,3,1970,75398,76428,4580,57900,1528,9040,8529,1828
3/4/1970,3,1970,77412,78608,4820,59400,1528,9800,8729,1994
3/5/1970,3,1970,80213,81028,6370,58800,1528,10200,8649,1377
3/6/1970,3,1970,83030,79019,5181,57700,1528,11300,8503,1637
3/7/1970,3,1970,81684,78587,4909,57500,1528,11700,8476,1683
3/8/1970,3,1970,81253,78170,4412,57100,1528,11700,8423,1647
3/9/1970,3,1970,82123,78915,3467,58400,1528,11900,8596,1522
3/10/1970,3,1970,83768,79853,3565,59600,1528,11800,8755,1745
3/11/1970,3,1970,78954,80500,3532,61000,1528,11200,8942,1450
3/12/1970,3,1970,78142,79265,3377,61000,1528,10400,8942,1027
3/13/1970,3,1970,75515,76658,3430,59900,1528,9120,8795,997
3/14/1970,3,1970,72956,74378,4480,57600,1528,8200,8489,1226
3/15/1970,3,1970,67702,70328,4210,54500,1528,7550,8077,1376
3/16/1970,3,1970,63985,66798,3880,51900,1528,7000,7731,1513
3/17/1970,3,1970,58565,62059,3690,48500,1528,6510,7279,2144
3/18/1970,3,1970,52854,56364,3510,44100,1528,5600,6694,2160
3/19/1970,3,1970,48570,52181,3430,40400,1528,5310,6202,2211
3/20/1970,3,1970,44100,47993,2226,38000,1528,5050,5883,2493
3/21/1970,3,1970,39785,43633,2021,34000,1528,5070,5351,2398
3/22/1970,3,1970,35760,39800,1751,30500,1528,4860,4885,2540
3/23/1970,3,1970,33585,37681,1541,28700,1528,4770,4646,2596
3/24/1970,3,1970,31334,36090,1293,27500,1528,4650,4486,3206
3/25/1970,3,1970,29560,34763,1097,26600,1528,4450,4366,3653
3/26/1970,3,1970,27997,33217,728,25900,1528,4050,7557,3620
3/27/1970,3,1970,25867,31101,484,24400,1528,3700,9239,3634
3/28/1970,3,1970,23450,28732,393,22400,1528,3450,8653,3632
3/29/1970,3,1970,22419,27700,345,21600,1528,3300,8418,3631
3/30/1970,3,1970,21984,27380,316,21400,1528,3270,8360,3746
3/31/1970,3,1970,22080,27532,309,21800,1528,3130,8477,3752
4/1/1970,4,1970,20065,25664,291,21700,151,2800,8448,3849
4/2/1970,4,1970,18148,24130,276,20800,151,2250,8184,4232
4/3/1970,4,1970,16955,22981,245,20000,151,1960,7950,4276
4/4/1970,4,1970,15214,21852,237,19000,151,1860,7657,4838
4/5/1970,4,1970,14361,20693,222,18000,151,1720,7364,4532
4/6/1970,4,1970,13610,20015,207,17400,151,1650,7188,4605
4/7/1970,4,1970,13232,19622,197,17000,151,1670,7071,4590
4/8/1970,4,1970,12301,18953,152,16400,151,1680,6895,4802
4/9/1970,4,1970,10949,18318,124,15900,151,1590,6748,5519
4/10/1970,4,1970,10500,17812,106,15500,151,1550,6631,5462
4/11/1970,4,1970,10002,17607,88,15400,151,1500,6602,5755
4/12/1970,4,1970,7427,16936,81,14700,151,1540,6397,7659
4/13/1970,4,1970,9316,16602,86,14200,151,1680,6250,5386
4/14/1970,4,1970,10764,17439,100,14800,151,1760,6426,5395
4/15/1970,4,1970,11724,16348,101,13800,151,1690,6133,5329
4/16/1970,4,1970,11156,15940,97,13500,151,1680,6045,5489
4/17/1970,4,1970,11110,15786,103,13400,151,1650,6016,5443
4/18/1970,4,1970,10256,15107,82,12800,151,1630,5840,5618
4/19/1970,4,1970,8597,14367,70,12100,151,1600,5635,5917
4/20/1970,4,1970,7492,13905,83,11600,151,1590,5488,4575
4/21/1970,4,1970,6858,13210,61,11100,151,1450,5342,4514
4/22/1970,4,1970,6780,13107,53,11100,151,1380,5342,4427
4/23/1970,4,1970,7187,12752,65,10800,151,1330,5254,3665
4/24/1970,4,1970,7068,12580,61,10600,151,1370,5195,3562
4/25/1970,4,1970,7713,13181,72,11100,151,1470,5342,3518
4/26/1970,4,1970,8318,13734,104,11500,151,1590,5459,3466
4/27/1970,4,1970,8249,14359,89,12000,151,1690,5606,4160
4/28/1970,4,1970,9141,14810,73,12500,151,1650,5752,4103
4/29/1970,4,1970,13501,16621,75,14400,151,1590,6309,1554
4/30/1970,4,1970,12816,17721,80,15500,151,1610,6631,3339
5/1/1970,5,1970,11876,17797,60,15600,98,1660,6660,4355
5/2/1970,5,1970,12922,17445,60,15300,98,1590,6572,2957
5/3/1970,5,1970,13061,17404,87,15200,98,1620,6543,2293
5/4/1970,5,1970,13083,17325,84,15100,98,1630,6514,2142
5/5/1970,5,1970,13458,17569,52,15500,98,1490,6631,2011
5/6/1970,5,1970,13481,17593,36,15500,98,1530,6631,2012
5/7/1970,5,1970,13165,17462,42,15200,98,1680,6543,2147
5/8/1970,5,1970,12454,17092,30,14900,98,1630,6455,2488
5/9/1970,5,1970,9940,16578,32,14200,98,1810,6250,4438
5/10/1970,5,1970,10246,16871,31,14200,98,2110,6250,4425
5/11/1970,5,1970,11414,18112,28,15200,98,2350,6543,4448
5/12/1970,5,1970,13411,20052,33,17100,98,2420,7100,4341
5/13/1970,5,1970,13869,20536,64,17500,98,2490,7217,4367
5/14/1970,5,1970,13859,20559,74,17500,98,2510,7217,4350
5/15/1970,5,1970,13561,20410,54,17400,98,2470,7188,4499
5/16/1970,5,1970,12438,19636,38,16600,98,2520,6953,4798
5/17/1970,5,1970,12453,19243,40,15600,98,3110,6660,4340
5/18/1970,5,1970,12330,19096,40,15000,98,3540,6485,4316
5/19/1970,5,1970,11075,17864,34,13700,98,3600,6104,4289
5/20/1970,5,1970,10821,17696,33,13500,98,3640,6045,4325
