Month,mean(OUT),mean(TOT),mean(YOLO),mean(SAC),mean(MISC),mean(SJR),mean(XGEO),mean(EXPORT)
1,48167.25363693864,53510.47881087919,12888.260594560405,33069.228336495886,809.3731815306768,5007.312460468058,6165.351676154332,6869.896268184693
2,55426.42331714088,60392.15336571825,14745.220680083276,35985.66967383761,1006.9167244968771,6592.283136710617,6328.29146426093,6676.219986120749
3,53849.05249841872,59112.83681214421,11907.80265654649,36745.38266919671,793.3295382669197,7395.440227703984,6360.149272612271,6252.989879822897
4,35612.643137254905,41067.92026143791,4485.187581699346,27260.91503267974,350.34575163398694,7123.781699346405,5452.88431372549,4798.011111111111
5,23856.95066413662,29650.89184060721,752.8266919671095,21147.60910815939,201.89247311827958,6149.998734977862,5137.366856419987,3864.7501581277675
6,14610.120261437909,23797.58431372549,371.5156862745098,18082.56862745098,206.53986928104575,4259.588235294118,5741.514379084967,5480.718954248366
7,8674.46110056926,20901.373814041744,290.28020240354203,17322.979127134724,208.8001265022138,2583.459203036053,6893.780518659077,7963.77862112587
8,6617.874762808349,19089.074003795067,240.62492093611638,16534.104996837446,206.90259329538267,1826.2302340290955,7028.492093611638,8775.888045540796
9,8340.018954248366,18643.99411764706,196.78235294117647,15886.70588235294,198.70718954248366,2106.845098039216,6711.039869281046,7924.435947712418
10,7891.248387096774,15379.614193548387,89.68451612903226,12143.406451612904,101.12903225806451,2661.8303225806453,5262.3896774193545,6363.130322580645
11,12415.392,18392.27733333333,513.266,14972.346666666666,192.23266666666666,2202.168,5321.8786666666665,5997.48
12,26620.327096774192,32947.28064516129,3052.4103225806452,25539.567741935483,382.9703225806452,3054.045806451613,5950.586451612903,6692.422580645161
