MonthYear,Analyte,EMP C10,EMP C10A,EMP C3,EMP C3A,EMP C7,EMP C9,EMP D10,EMP D11,EMP D12,EMP D14A,EMP D15,EMP D16,EMP D19,EMP D22,EMP D24,EMP D26,EMP D28A,EMP D4,EMP D41,EMP D41A,EMP D6,EMP D7,EMP D8,EMP D9,EMP EZ2,EMP EZ2-SJR,EMP EZ6,EMP EZ6-SJR,EMP MD10A,EMP MD7A,EMP NZ002,EMP NZ004,EMP NZ032,EMP NZ068,EMP NZ325,EMP NZS42,EMP P10A,EMP P12A,EMP P8
1995-01-01T08:00:00Z,Chlorophyll,2.48,NA,0.59,NA,2.37,0.48,0.56,0.62,0.66,0.43,0.15,0.02,NA,0.79,0.77,0.22,NA,0.91,0.57,NA,NA,0.96,0.36,0.42,NA,NA,NA,NA,0.37,0.03,NA,NA,NA,NA,NA,NA,NA,1.54,1.19
1995-02-01T08:00:00Z,Chlorophyll,1.88,NA,1.02,NA,1.53,0.03,0.62,0.71,0.37,0.14,0.2,0.43,0.43,0.83,1,NA,0.25,1.37,0.43,NA,0.43,0.82,0.42,0.32,NA,NA,NA,NA,0.96,1.11,NA,NA,NA,NA,NA,NA,NA,1.62,4.15
1995-03-01T08:00:00Z,Chlorophyll,3.01,NA,1.25,NA,3.23,3.94,0.94,0.86,0.28,0.52,0.29,0.65,0.15,0.94,1.03,0.56,1.36,1.19,1.08,NA,0.68,1.05,1.27,1.3,NA,NA,NA,NA,2.72,0.94,NA,NA,NA,NA,NA,NA,1.78,3.07,4.96
1995-04-01T08:00:00Z,Chlorophyll,3.21,NA,3.01,NA,3.18,2.05,3.64,2.19,1.59,1.25,1.78,1.34,0.85,4.42,4.31,0.97,1.57,3.29,4.99,NA,2.36,4.43,2.36,3.29,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,NA,1.88,3.58,2.49
1995-05-01T07:00:00Z,Chlorophyll,3.41,NA,3.41,NA,4.2,4.14,3.07,3.24,1.7,1.95,0.82,0.79,1.65,4.25,4.94,1.57,2.44,5,4.42,NA,2.69,3.75,2.55,2.95,NA,NA,NA,NA,6.05,0.51,NA,NA,NA,NA,NA,NA,2.59,2.89,5.36
1995-06-01T07:00:00Z,Chlorophyll,7.24,NA,1.34,NA,7.06,4.82,2.58,0.8,2.25,1.74,1.19,1.14,2.25,1.81,2.41,0.66,2.25,2.01,0.8,NA,1.79,3.4,1.85,1.87,NA,NA,NA,NA,2.44,0.66,NA,NA,NA,NA,NA,NA,0.77,4.8,5.73
1995-07-01T07:00:00Z,Chlorophyll,15.9,NA,1.28,NA,18.37,2.52,2.28,1.08,3.1,2.5,2.78,0.69,2.96,1.2,1.56,1.22,NA,2.13,1.95,NA,2.49,4.23,3.07,2.84,NA,NA,NA,NA,25.94,0.57,NA,NA,NA,NA,NA,NA,1.84,3.58,6.11
1995-08-01T07:00:00Z,Chlorophyll,14.6,NA,0.83,NA,15.44,2.78,1.87,2.72,NA,2.5,3.24,2.81,2.32,1.82,1.22,2.83,6.01,2.33,14.53,NA,1.54,1.99,1.82,1.39,NA,NA,NA,NA,5.94,1.44,NA,NA,NA,NA,NA,NA,3.35,1.02,3.72
1995-09-01T07:00:00Z,Chlorophyll,10.7,NA,1.59,NA,12.13,3.01,3.24,2.1,1.95,2.35,2.5,2.25,2.1,1.08,1.1,1.13,1.81,3.35,2.92,NA,0.96,1.33,2.02,4.11,NA,NA,NA,NA,3.06,1.1,NA,NA,NA,NA,NA,NA,2.1,1.25,2.96
1995-10-01T07:00:00Z,Chlorophyll,3.09,NA,1.4,NA,3.2,1.98,1.9,1.57,1.36,1.7,1.47,1.53,1.5,1.56,0.96,1.02,1.76,1.53,4.21,NA,0.42,1.05,1,1.71,NA,NA,NA,NA,4.99,2.04,NA,NA,NA,NA,NA,NA,2.32,1.08,3.38
