MonthYear,Analyte,EMP C10,EMP C10A,EMP C3,EMP C3A,EMP C7,EMP C9,EMP D10,EMP D11,EMP D12,EMP D14A,EMP D15,EMP D16,EMP D19,EMP D22,EMP D24,EMP D26,EMP D28A,EMP D4,EMP D41,EMP D41A,EMP D6,EMP D7,EMP D8,EMP D9,EMP EZ2,EMP EZ2-SJR,EMP EZ6,EMP EZ6-SJR,EMP MD10A,EMP MD7A,EMP NZ002,EMP NZ004,EMP NZ032,EMP NZ068,EMP NZ325,EMP NZS42,EMP P10A,EMP P12A,EMP P8
1995-01-01T08:00:00Z,DON,1,NA,0.2,NA,0.7,0.8,0.2,0.2,0.2,0.5,0.4,0.4,0.4,0.2,0.2,0.4,0.7,0.2,0.2,NA,0.3,0.2,0.2,0.2,NA,NA,NA,NA,0.9,0.4,NA,NA,NA,NA,NA,NA,1,1.1,1
1995-02-01T08:00:00Z,DON,0.7,NA,0.2,NA,0.7,1,0.2,0.2,0.2,0.4,0.4,0.4,0.6,0.2,0.2,0.4,0.9,0.2,0.3,NA,0.3,0.2,0.3,0.3,NA,NA,NA,NA,1,0.4,NA,NA,NA,NA,NA,NA,1.1,1,0.9
1995-03-01T08:00:00Z,DON,0.4,NA,0.1,NA,0.4,0.5,0.2,0.1,0.4,0.6,0.4,0.3,0.5,0.2,0.2,0.6,0.5,0.2,0.2,NA,0.3,0.2,0.2,0.2,NA,NA,NA,NA,1,0.4,NA,NA,NA,NA,NA,NA,0.5,0.4,0.6
1995-04-01T08:00:00Z,DON,0.3,NA,0.1,NA,0.3,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.3,NA,NA,0.2,0.4,NA,0.1,NA,0.2,0.2,0.1,NA,NA,NA,NA,NA,0.5,0.2,NA,NA,NA,NA,NA,NA,0.5,0.3,0.4
1995-05-01T07:00:00Z,DON,0.2,NA,NA,NA,0.2,0.3,NA,NA,0.1,0.2,0.2,0.1,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.2
1995-06-01T07:00:00Z,DON,0.2,NA,NA,NA,0.1,0.1,NA,NA,0.2,0.3,NA,0.1,0.1,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,0.5
1995-07-01T07:00:00Z,DON,0.2,NA,NA,NA,0.2,0.3,NA,0.1,NA,0.1,NA,0.1,0.2,NA,0.1,NA,NA,NA,0.1,NA,0.2,NA,NA,0.1,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,0.2,0.4,0.3
1995-08-01T07:00:00Z,DON,0.2,NA,0.1,NA,0.2,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,0.4,0.6,0.2
1995-09-01T07:00:00Z,DON,0.2,NA,0.2,NA,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,NA,0.2,0.1,0.2,0.1,NA,NA,NA,NA,0.2,0.1,NA,NA,NA,NA,NA,NA,0.2,0.4,0.4
1995-10-01T07:00:00Z,DON,0.1,NA,0.1,NA,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.2,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,0.2,0.1,NA,NA,NA,NA,NA,NA,0.3,0.2,0.3
1995-11-01T08:00:00Z,DON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-12-01T08:00:00Z,DON,0.3,NA,0.3,NA,0.3,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.2,NA,0.2,0.4,0.1,0.2,NA,NA,NA,NA,0.4,0.2,NA,NA,NA,NA,NA,NA,0.2,0.3,0.6
1996-01-01T08:00:00Z,DON,0.6,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.2,0.2,NA,0.3,0.3,0.3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
1996-02-01T08:00:00Z,DON,0.7,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.6,0.1,0.2,NA,0.5,0.1,0.2,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
1996-03-01T08:00:00Z,DON,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.2,0.2,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
1996-04-01T08:00:00Z,DON,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
1996-05-01T07:00:00Z,DON,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.2,0.2,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
1996-06-01T07:00:00Z,DON,0.4,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,0.3,0.1,0.2,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
1996-07-01T07:00:00Z,DON,0.4,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.1,NA,0.4,0.2,0.2,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
