MonthYear,Analyte,EMP C10,EMP C10A,EMP C3,EMP C3A,EMP C7,EMP C9,EMP D10,EMP D11,EMP D12,EMP D14A,EMP D15,EMP D16,EMP D19,EMP D22,EMP D24,EMP D26,EMP D28A,EMP D4,EMP D41,EMP D41A,EMP D6,EMP D7,EMP D8,EMP D9,EMP EZ2,EMP EZ2-SJR,EMP EZ6,EMP EZ6-SJR,EMP MD10A,EMP MD7A,EMP NZ002,EMP NZ004,EMP NZ032,EMP NZ068,EMP NZ325,EMP NZS42,EMP P10A,EMP P12A,EMP P8
1995-01-01T08:00:00Z,DissOrthophos,0.3,NA,0.04,NA,0.29,0.13,0.06,0.05,0.06,0.07,0.06,0.06,0.08,0.04,0.05,0.07,0.12,0.05,0.06,NA,0.06,0.05,0.06,0.05,NA,NA,NA,NA,0.2,0.08,NA,NA,NA,NA,NA,NA,0.22,0.34,0.36
1995-02-01T08:00:00Z,DissOrthophos,0.19,NA,0.04,NA,0.18,0.16,0.05,0.04,0.08,0.09,0.09,0.07,0.13,0.04,0.04,0.08,0.18,0.05,0.06,NA,0.06,0.05,0.06,0.06,NA,NA,NA,NA,0.24,0.08,NA,NA,NA,NA,NA,NA,0.26,0.2,0.22
1995-03-01T08:00:00Z,DissOrthophos,0.13,NA,0.02,NA,0.13,0.08,0.05,0.03,0.08,0.14,0.1,0.06,0.13,0.03,0.03,0.11,0.15,0.03,0.05,NA,0.06,0.04,0.04,0.04,NA,NA,NA,NA,0.34,0.08,NA,NA,NA,NA,NA,NA,0.09,0.06,0.26
1995-04-01T08:00:00Z,DissOrthophos,0.09,NA,0.02,NA,0.08,0.09,0.04,0.03,0.05,0.05,0.05,0.03,0.04,0.02,0.02,0.02,0.09,0.03,0.04,NA,0.04,0.03,0.04,0.03,NA,NA,NA,NA,0.11,0.02,NA,NA,NA,NA,NA,NA,0.09,0.09,0.08
1995-05-01T07:00:00Z,DissOrthophos,0.09,NA,NA,NA,0.1,0.1,0.03,0.01,0.05,0.08,0.05,0.06,0.08,0.02,0.02,0.1,0.09,0.02,0.04,NA,0.03,0.03,0.03,0.02,NA,NA,NA,NA,0.1,0.02,NA,NA,NA,NA,NA,NA,0.11,0.11,0.08
1995-06-01T07:00:00Z,DissOrthophos,0.04,NA,0.02,NA,0.04,0.06,0.03,0.03,0.04,0.05,0.04,0.04,0.05,0.02,0.02,0.04,0.07,0.03,0.07,NA,0.04,0.04,0.04,0.03,NA,NA,NA,NA,0.07,0.01,NA,NA,NA,NA,NA,NA,0.07,0.06,0.05
1995-07-01T07:00:00Z,DissOrthophos,0.07,NA,0.02,NA,0.07,0.06,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,NA,0.04,0.06,NA,0.05,0.04,0.03,0.04,NA,NA,NA,NA,0.04,0.02,NA,NA,NA,NA,NA,NA,0.06,0.13,0.1
1995-08-01T07:00:00Z,DissOrthophos,0.07,NA,0.04,NA,0.07,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.05,0.05,NA,0.06,0.06,0.05,0.05,NA,NA,NA,NA,0.05,0.03,NA,NA,NA,NA,NA,NA,0.06,0.2,0.11
1995-09-01T07:00:00Z,DissOrthophos,0.08,NA,0.04,NA,0.07,0.06,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.08,NA,0.07,0.07,0.05,0.05,NA,NA,NA,NA,0.04,0.04,NA,NA,NA,NA,NA,NA,0.05,0.15,0.11
1995-10-01T07:00:00Z,DissOrthophos,0.02,NA,0.08,NA,0.06,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.04,0.04,0.05,0.06,NA,0.08,0.07,0.06,0.04,NA,NA,NA,NA,0.03,0.04,NA,NA,NA,NA,NA,NA,0.05,0.03,0.06
1995-11-01T08:00:00Z,DissOrthophos,0.12,NA,0.09,NA,0.09,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.06,0.07,0.05,0.04,0.05,0.05,NA,0.03,0.07,0.06,0.06,NA,NA,NA,NA,0.03,0.05,NA,NA,NA,NA,NA,NA,0.04,0.12,0.08
1995-12-01T08:00:00Z,DissOrthophos,0.1,NA,0.08,NA,0.12,0.06,0.07,0.06,0.05,0.06,0.05,0.07,0.05,0.04,0.04,0.07,0.05,0.06,0.09,NA,0.09,0.08,0.08,0.07,NA,NA,NA,NA,0.09,0.05,NA,NA,NA,NA,NA,NA,0.06,0.15,0.32
1996-01-01T08:00:00Z,DissOrthophos,0.24,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.06,0.04,0.08,NA,0.06,0.05,0.05,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
1996-02-01T08:00:00Z,DissOrthophos,0.21,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.1,0.04,0.06,NA,0.05,0.05,0.04,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29
1996-03-01T08:00:00Z,DissOrthophos,0.04,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.06,0.04,0.05,NA,0.05,0.04,0.05,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
1996-04-01T08:00:00Z,DissOrthophos,0.06,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.04,0.06,NA,0.06,0.04,0.04,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07
1996-05-01T07:00:00Z,DissOrthophos,0.05,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.07,0.04,0.07,NA,0.04,0.06,0.05,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
1996-06-01T07:00:00Z,DissOrthophos,0.06,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.05,0.04,0.08,NA,0.06,0.06,0.04,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
1996-07-01T07:00:00Z,DissOrthophos,0.11,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.04,0.1,NA,0.1,0.08,0.08,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12
1996-08-01T07:00:00Z,DissOrthophos,0.15,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.06,0.05,0.11,NA,0.09,0.09,0.08,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
1996-09-01T07:00:00Z,DissOrthophos,0.12,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0.06,0.09,NA,0.1,0.09,0.08,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16
1996-10-01T07:00:00Z,DissOrthophos,0.09,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.08,0.1,NA,0.1,0.09,0.09,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1
1996-11-01T08:00:00Z,DissOrthophos,0.08,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,0.05,0.09,NA,0.09,0.08,0.08,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14
1996-12-01T08:00:00Z,DissOrthophos,0.23,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,0.02,0.06,NA,0.05,NA,0.01,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14
1997-02-01T08:00:00Z,DissOrthophos,0.08,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,0.03,0.04,NA,0.03,0.03,0.03,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
