MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
1995-01-01T08:00:00Z,Secchi,NA,20,12,12,20,20,20,44,20,60,20,20,20,40,36
1995-02-01T08:00:00Z,Secchi,NA,NA,20,32,24,24,36,52,22,36,24,24,24,52,50
1995-03-01T08:00:00Z,Secchi,NA,32,24,32,34,30,60,28,24,20,16,18,20,20,28
1995-04-01T08:00:00Z,Secchi,NA,40,46,60,48,44,48,60,38,52,38,40,44,64,48
1995-05-01T07:00:00Z,Secchi,NA,40,36,58,84,50,92,55,40,72,36,34,56,60,62
1995-06-01T07:00:00Z,Secchi,NA,68,42,58,62,60,68,56,60,70,40,48,52,66,46
1995-07-01T07:00:00Z,Secchi,NA,64,40,60,76,70,70,NA,44,85,42,28,40,44,40
1995-08-01T07:00:00Z,Secchi,NA,92,28,40,60,60,78,72,32,80,44,40,28,92,52
1995-09-01T07:00:00Z,Secchi,NA,80,48,74,72,84,116,64,64,56,48,36,30,88,56
1995-10-01T07:00:00Z,Secchi,NA,NA,28,68,92,82,80,104,52,180,72,40,30,80,40
1995-11-01T08:00:00Z,Secchi,NA,124,36,56,98,64,106,108,36,190,70,40,40,108,82
1995-12-01T08:00:00Z,Secchi,NA,28,24,24,24,18,44,68,16,56,36,16,24,84,68
1996-01-01T08:00:00Z,Secchi,NA,32,24,36,32,24,36,60,24,32,24,24,24,32,36
1996-02-01T08:00:00Z,Secchi,NA,28,28,NA,20,36,40,48,32,70,24,32,24,36,24
1996-03-01T08:00:00Z,Secchi,NA,32,28,52,60,28,64,80,24,58,32,32,32,64,56
1996-04-01T08:00:00Z,Secchi,NA,52,44,62,72,66,70,113,64,64,26,38,44,78,60
1996-05-01T07:00:00Z,Secchi,NA,96,38,76,90,60,84,74,56,60,40,38,38,74,56
1996-06-01T07:00:00Z,Secchi,NA,72,28,60,62,61,68,72,44,62,24,24,38,64,42
1996-07-01T07:00:00Z,Secchi,NA,116,28,44,80,62,88,88,36,52,40,24,22,80,56
1996-08-01T07:00:00Z,Secchi,NA,92,36,56,86,64,96,132,46,72,40,48,36,68,64
1996-09-01T07:00:00Z,Secchi,NA,100,36,72,76,40,96,116,40,64,56,24,44,84,60
1996-10-01T07:00:00Z,Secchi,NA,144,26,68,106,56,100,NA,62,88,48,38,60,92,46
1996-11-01T08:00:00Z,Secchi,NA,152,42,70,84,46,88,120,56,64,30,46,36,120,68
1996-12-01T08:00:00Z,Secchi,NA,NA,40,44,50,32,44,110,36,76,28,NA,32,60,40
1997-02-01T08:00:00Z,Secchi,NA,22,32,46,28,28,36,40,32,40,30,28,30,42,36
1997-03-01T08:00:00Z,Secchi,NA,40,50,66,54,56,60,56,60,66,50,30,42,52,44
1997-04-01T08:00:00Z,Secchi,NA,100,18,48,70,43,66,66,38,116,53,24,18,82,48
1997-05-01T07:00:00Z,Secchi,NA,80,28,30,66,46,58,70,30,188,57,42,20,63,59
1997-06-01T07:00:00Z,Secchi,NA,72,38,38,46,57,64,63,64,69,82,37,40,71,46
1997-07-01T07:00:00Z,Secchi,NA,68,28,48,52,48,66,NA,32,80,50,30,32,80,50
1997-08-01T07:00:00Z,Secchi,NA,92,46,53,64,38,68,80,40,99,44,25,43,104,48
1997-09-01T07:00:00Z,Secchi,NA,NA,40,48,76,72,92,110,44,136,76,64,58,86,56
1997-10-01T07:00:00Z,Secchi,NA,104,98,84,80,48,88,108,67,98,64,56,70,110,54
1997-11-01T08:00:00Z,Secchi,NA,124,52,80,92,64,88,116,72,60,68,52,64,126,80
1997-12-01T08:00:00Z,Secchi,NA,30,34,35,64,40,60,104,32,60,40,30,48,100,84
1998-01-01T08:00:00Z,Secchi,NA,100,28,42,64,40,62,68,40,62,40,24,40,80,84
1998-02-01T08:00:00Z,Secchi,NA,22,26,15,24,15,32,52,15,24,24,12,26,26,24
1998-03-01T08:00:00Z,Secchi,NA,24,32,40,32,26,48,40,36,50,26,36,32,44,34
1998-04-01T08:00:00Z,Secchi,NA,40,63,64,75,65,83,49,57,60,30,37,71,61,60
1998-05-01T07:00:00Z,Secchi,NA,46,NA,NA,NA,NA,63,50,37,40,24,33,48,55,40
1998-06-01T07:00:00Z,Secchi,NA,28,41,50,61,47,62,28,41,50,29,34,29,59,28
1998-07-01T07:00:00Z,Secchi,NA,68,34,32,46,43,51,33,41,31,32,20,29,51,34
1998-08-01T07:00:00Z,Secchi,NA,76,22,38,62,46,68,74,38,59,44,16,21,61,39
1998-09-01T07:00:00Z,Secchi,NA,84,30,33,63,45,67,97,33,82,48,13,27,61,35
1998-10-01T07:00:00Z,Secchi,NA,100,28,40,68,NA,70,104,36,112,40,NA,32,68,36
1998-11-01T08:00:00Z,Secchi,NA,96,24,40,58,60,79,81,30,116,40,24,38,57,61
