MonthYear,Analyte,EMP C10,EMP C10A,EMP C3,EMP C3A,EMP C7,EMP C9,EMP D10,EMP D11,EMP D12,EMP D14A,EMP D15,EMP D16,EMP D19,EMP D22,EMP D24,EMP D26,EMP D28A,EMP D4,EMP D41,EMP D41A,EMP D6,EMP D7,EMP D8,EMP D9,EMP EZ2,EMP EZ2-SJR,EMP EZ6,EMP EZ6-SJR,EMP MD10A,EMP MD7A,EMP NZ002,EMP NZ004,EMP NZ032,EMP NZ068,EMP NZ325,EMP NZS42,EMP P10A,EMP P12A,EMP P8
1995-01-01T08:00:00Z,Temperature,10.17,NA,9.24,NA,9.8,9.88,9.91,10.79,10.83,11.08,11.04,9.97,10.87,10.76,10.79,9.9,10.76,11.15,11.04,NA,11.21,10.85,10.02,10.95,NA,NA,NA,NA,9.92,10.08,NA,NA,NA,NA,NA,NA,11.1,10.02,10.83
1995-02-01T08:00:00Z,Temperature,12.74,NA,11.23,NA,12.11,11.95,12,11.79,11.86,12.02,11.98,11.87,11.68,11.66,11.57,11.75,11.61,11.76,12.21,NA,12.22,12.03,12.13,12.08,NA,NA,NA,NA,12.85,12.04,NA,NA,NA,NA,NA,NA,12.08,13.17,12.65
1995-03-01T08:00:00Z,Temperature,13.58,NA,12.29,NA,13.76,14.06,10.56,12.48,11.49,12.29,12.2,11.08,12.7,12.21,12.55,12.8,12.48,11.92,12.73,NA,11.93,12.68,10.74,10.65,NA,NA,NA,NA,11.56,10.82,NA,NA,NA,NA,NA,NA,13,14.14,12.48
1995-04-01T08:00:00Z,Temperature,12.5,NA,12.11,NA,12.59,12.67,14.5,14.49,15.47,14.45,13.85,14.28,13.97,14.47,14.53,14.12,14.47,14.47,14.93,NA,14.97,14.61,14.57,15.51,NA,NA,NA,NA,14.82,13.09,NA,NA,NA,NA,NA,NA,13.76,12.9,14.57
1995-05-01T07:00:00Z,Temperature,16.53,NA,12.89,NA,16.44,15.97,15.47,14.4,16.4,18.07,15.95,16.82,18.53,14.55,14.72,17.65,16.92,13.48,15.76,NA,15.88,15.41,15.66,15.55,NA,NA,NA,NA,17.4,14.5,NA,NA,NA,NA,NA,NA,17.54,16.31,16.49
1995-06-01T07:00:00Z,Temperature,14.53,NA,15.67,NA,14.59,16.78,19.5,20.45,20.46,18.73,19.18,19.04,18.73,19.46,17.57,17.82,20.64,19.45,18.67,NA,19.04,20.55,19.65,19.57,NA,NA,NA,NA,21.53,16.76,NA,NA,NA,NA,NA,NA,19.22,16.04,18.45
1995-07-01T07:00:00Z,Temperature,21.6,NA,18.97,NA,22.59,22.75,19.63,20.59,20.59,20.48,20.42,20.31,21,20.59,21.6,20.11,NA,21.62,19.15,NA,20,21.78,20.8,20.7,NA,NA,NA,NA,24.7,20.95,NA,NA,NA,NA,NA,NA,23.71,22.03,25.59
1995-08-01T07:00:00Z,Temperature,21.22,NA,21.28,NA,23.53,24.64,22.61,23.47,23.49,23.3,23.2,23.07,23.71,22.48,21.6,22.86,24.54,22.46,20.79,NA,21.13,21.51,22.89,22.74,NA,NA,NA,NA,24.66,21.91,NA,NA,NA,NA,NA,NA,24.89,24.86,24.48
1995-09-01T07:00:00Z,Temperature,20.26,NA,19.4,NA,20.73,22.58,20.48,21.49,21.47,21.34,21.24,21.1,20.78,20.47,20.49,20.91,22.49,21.48,20.94,NA,19.89,20.61,20.7,20.52,NA,NA,NA,NA,22.73,20,NA,NA,NA,NA,NA,NA,21.98,22.82,23.47
1995-10-01T07:00:00Z,Temperature,16.19,NA,12.39,NA,15.89,18.77,17.76,18.73,18.72,17.36,18.27,18.16,18.88,17.72,17.74,17.96,18.95,18.73,17.12,NA,18.09,18.83,17.91,17.81,NA,NA,NA,NA,18.72,17.78,NA,NA,NA,NA,NA,NA,17.06,16.87,17.84
1995-11-01T08:00:00Z,Temperature,14.98,NA,14.39,NA,16.1,15.26,16.01,16.84,16.81,16.22,16.15,16.07,15.9,15.79,15.75,15.97,15.74,16.83,15.26,NA,16.3,16.02,16.17,16.09,NA,NA,NA,NA,16.84,15.99,NA,NA,NA,NA,NA,NA,16.22,15.11,15.75
1995-12-01T08:00:00Z,Temperature,13.02,NA,13.09,NA,12.82,12.8,11.79,11.76,11.77,13.08,14.03,12.98,12.85,11.77,10.75,12.89,12.75,11.79,14.01,NA,13.02,12.85,11.89,11.83,NA,NA,NA,NA,12.87,13.01,NA,NA,NA,NA,NA,NA,12.89,12.89,12.8
1996-01-01T08:00:00Z,Temperature,10.8,NA,9.79,NA,NA,NA,9.96,NA,9.87,NA,NA,13.12,NA,9.76,NA,10.04,9.76,9.76,11,NA,10.12,9.83,10.02,NA,10.23,NA,10.19,NA,9.91,NA,NA,NA,11.06,NA,NA,10.15,NA,NA,9.81
1996-02-01T08:00:00Z,Temperature,12.69,NA,11.22,NA,NA,NA,12.7,NA,12.58,NA,NA,12.22,NA,12.57,NA,12.15,12.58,12.56,14.04,NA,13.97,12.75,12.79,NA,NA,NA,13.09,NA,15.03,NA,NA,NA,13.9,NA,NA,15.03,NA,NA,14.85
1996-03-01T08:00:00Z,Temperature,13.68,NA,12.06,NA,NA,NA,13.74,NA,13.06,NA,NA,13.25,NA,12.49,NA,13.06,13.49,13.52,14.16,NA,13.23,13.79,13.87,NA,NA,NA,13.21,NA,14.85,NA,NA,NA,13.92,NA,NA,14.11,NA,NA,13.62
1996-04-01T08:00:00Z,Temperature,15.66,NA,15.18,NA,NA,NA,15.77,NA,15.6,NA,NA,17.34,NA,15.58,NA,16.05,18.47,15.67,15.35,NA,16.32,15.95,15.88,NA,16,NA,16.09,NA,18.8,NA,NA,NA,16.77,NA,NA,16.97,NA,NA,17.58
1996-05-01T07:00:00Z,Temperature,15.89,NA,16.26,NA,NA,NA,19.43,NA,20.55,NA,NA,18.76,NA,19.65,NA,18.95,20.42,19.5,16.55,NA,19.54,19.4,19.4,NA,18.4,NA,19.41,NA,20.71,NA,NA,NA,19.59,NA,NA,19.59,NA,NA,19.49
1996-06-01T07:00:00Z,Temperature,22,NA,20.4,NA,NA,NA,20.57,NA,21.48,NA,NA,22.26,NA,20.53,NA,21.92,24.56,21.47,19.8,NA,20.92,21.51,21.68,NA,NA,NA,NA,NA,25.67,NA,NA,NA,23.84,NA,NA,24.07,NA,NA,24.49
1996-07-01T07:00:00Z,Temperature,22.07,NA,21.5,NA,NA,NA,20.75,NA,21.61,NA,NA,25.22,NA,22.59,NA,23.02,24.65,21.61,20.11,NA,21.15,20.77,20.92,NA,20.67,NA,20.82,NA,25.78,NA,NA,NA,23.73,NA,NA,22.88,NA,NA,25.62
1996-08-01T07:00:00Z,Temperature,25.04,NA,21.4,NA,NA,NA,20.7,NA,22.49,NA,NA,23.33,NA,21.46,NA,23.09,24.46,22.5,19.06,NA,21.28,21.67,20.96,NA,21.57,NA,20.99,NA,24.84,NA,NA,NA,23.17,NA,NA,22,NA,NA,25.61
1996-09-01T07:00:00Z,Temperature,17.8,NA,18.22,NA,NA,NA,19.87,NA,19.56,NA,NA,20.28,NA,19.49,NA,19.96,20.49,19.47,17.8,NA,19.32,19.52,20.06,NA,19.66,NA,19.8,NA,20.68,NA,NA,NA,19.82,NA,NA,20.06,NA,NA,21.52
1996-10-01T07:00:00Z,Temperature,16.82,NA,18.05,NA,NA,NA,16.25,NA,16.61,NA,NA,18.24,NA,16.76,NA,19.06,18.77,17.73,15.93,NA,17.94,16.75,17.81,NA,16.14,NA,16.53,NA,18.86,NA,NA,NA,17.35,NA,NA,18,NA,NA,18.74
1996-11-01T08:00:00Z,Temperature,13.89,NA,13.2,NA,NA,NA,13.84,NA,14.77,NA,NA,13.97,NA,13.75,NA,13.91,13.77,13.73,13.98,NA,14.05,14.8,13.92,NA,13.74,NA,13.73,NA,13.78,NA,NA,NA,13.91,NA,NA,14.02,NA,NA,13.74
1996-12-01T08:00:00Z,Temperature,13.88,NA,12.52,NA,NA,NA,11,NA,11.12,NA,NA,11.63,NA,10.07,NA,11.72,11.66,10.39,11.6,NA,11.8,NA,10.97,NA,10.47,NA,11.32,NA,12,NA,NA,NA,11.49,NA,NA,11.49,NA,NA,12.11
1997-02-01T08:00:00Z,Temperature,11.93,NA,11.17,NA,NA,NA,10.92,NA,10.96,NA,NA,11.12,NA,10.89,NA,11.16,11.57,11.56,11.98,NA,11.86,11.67,11.67,NA,NA,NA,11.45,NA,12.03,NA,NA,NA,11.63,NA,NA,12.36,NA,NA,11.8
1997-03-01T08:00:00Z,Temperature,13,NA,12.35,NA,NA,NA,13.74,NA,13.57,NA,NA,13.38,NA,13.63,NA,13.24,14.48,14.73,14.13,NA,14.16,15.03,13.92,NA,13.82,NA,13.92,NA,14.98,NA,NA,NA,14.12,NA,NA,15.24,NA,NA,14.71
