MonthYear,Analyte,EMP C10,EMP C10A,EMP C3,EMP C3A,EMP C7,EMP C9,EMP D10,EMP D11,EMP D12,EMP D14A,EMP D15,EMP D16,EMP D19,EMP D22,EMP D24,EMP D26,EMP D28A,EMP D4,EMP D41,EMP D41A,EMP D6,EMP D7,EMP D8,EMP D9,EMP EZ2,EMP EZ2-SJR,EMP EZ6,EMP EZ6-SJR,EMP MD10A,EMP MD7A,EMP NZ002,EMP NZ004,EMP NZ032,EMP NZ068,EMP NZ325,EMP NZS42,EMP P10A,EMP P12A,EMP P8
1995-01-01T08:00:00Z,TotPhos,0.58,NA,0.16,NA,0.55,0.21,0.17,0.14,0.16,0.16,0.17,0.16,0.13,0.14,0.17,0.15,0.18,0.15,0.09,NA,0.1,0.17,0.16,0.16,NA,NA,NA,NA,0.27,0.16,NA,NA,NA,NA,NA,NA,0.32,0.6,0.5
1995-02-01T08:00:00Z,TotPhos,0.35,NA,0.13,NA,0.34,0.26,0.14,0.11,0.14,0.15,0.15,0.14,0.18,0.13,0.14,0.15,0.27,0.14,0.11,NA,0.14,0.15,0.15,0.16,NA,NA,NA,NA,0.34,0.16,NA,NA,NA,NA,NA,NA,0.38,0.35,0.33
1995-03-01T08:00:00Z,TotPhos,0.21,NA,0.09,NA,0.25,0.39,0.15,0.09,0.14,0.2,0.13,0.12,0.18,0.11,0.15,0.18,0.18,0.12,0.1,NA,0.15,0.13,0.13,0.17,NA,NA,NA,NA,0.54,0.17,NA,NA,NA,NA,NA,NA,0.19,0.27,0.4
1995-04-01T08:00:00Z,TotPhos,0.17,NA,0.09,NA,0.18,0.18,0.06,0.09,0.08,0.1,0.1,0.08,0.09,0.04,0.07,0.08,0.15,0.06,0.08,NA,0.08,0.11,0.06,0.05,NA,NA,NA,NA,0.14,0.06,NA,NA,NA,NA,NA,NA,0.16,0.23,0.14
1995-05-01T07:00:00Z,TotPhos,0.19,NA,0.07,NA,0.19,0.2,0.07,0.04,0.08,0.11,0.08,0.09,0.11,0.05,0.06,0.12,0.16,0.05,0.06,NA,0.06,0.1,0.06,0.07,NA,NA,NA,NA,0.16,0.04,NA,NA,NA,NA,NA,NA,0.18,0.21,0.15
1995-06-01T07:00:00Z,TotPhos,0.15,NA,0.05,NA,0.16,0.16,0.05,0.05,0.08,0.09,0.08,0.07,0.09,0.06,0.05,0.05,0.13,0.07,0.1,NA,0.09,0.08,0.06,0.06,NA,NA,NA,NA,0.13,0.04,NA,NA,NA,NA,NA,NA,0.13,0.15,0.12
1995-07-01T07:00:00Z,TotPhos,0.23,NA,0.06,NA,0.18,0.13,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.06,0.06,0.07,NA,0.08,0.1,NA,0.1,0.11,0.08,0.1,NA,NA,NA,NA,0.12,0.05,NA,NA,NA,NA,NA,NA,0.1,0.23,0.18
1995-08-01T07:00:00Z,TotPhos,0.22,NA,0.08,NA,0.16,0.11,0.09,0.08,0.05,0.08,0.08,0.07,0.05,0.06,0.06,0.06,0.07,0.1,0.1,NA,0.07,0.11,0.09,0.09,NA,NA,NA,NA,0.11,0.07,NA,NA,NA,NA,NA,NA,0.16,0.28,0.18
1995-09-01T07:00:00Z,TotPhos,0.21,NA,0.09,NA,0.2,0.13,0.09,0.07,0.06,0.06,0.07,0.05,0.08,0.04,0.06,0.04,0.07,0.08,0.12,NA,0.1,0.12,0.07,0.07,NA,NA,NA,NA,0.08,0.06,NA,NA,NA,NA,NA,NA,0.05,0.24,0.19
1995-10-01T07:00:00Z,TotPhos,0.14,NA,0.11,NA,0.18,0.06,0.11,0.07,0.08,0.07,0.07,0.08,0.06,0.08,0.08,0.07,0.07,0.08,0.11,NA,0.1,0.11,0.07,0.1,NA,NA,NA,NA,0.06,0.07,NA,NA,NA,NA,NA,NA,0.11,0.13,0.14
