Station,Latitude,Longitude,Survey,Category
427,38.0354995727539,-122.152198791504,Bay Study,Fish
428,38.0620002746582,-122.10530090332,Bay Study,Fish
429,38.0858345031738,-122.076835632324,Bay Study,Fish
431,38.1052017211914,-122.02799987793,Bay Study,Fish
432,38.0424995422363,-122.108001708984,Bay Study,Fish
433,38.060115814209,-121.982818603516,Bay Study,Fish
534,38.0714492797852,-121.956199645996,Bay Study,Fish
535,38.0473175048828,-121.917663574219,Bay Study,Fish
736,38.0603332519531,-121.804336547852,Bay Study,Fish
837,38.0245018005371,-121.76000213623,Bay Study,Fish
338,38.0600318908691,-122.248916625977,FMWT,Fish
339,38.0666999816895,-122.256797790527,FMWT,Fish
401,38.0575790405273,-122.212448120117,FMWT,Fish
403,38.048828125,-122.171920776367,FMWT,Fish
404,38.0464515686035,-122.178871154785,FMWT,Fish
405,38.0335311889648,-122.158149719238,FMWT,Fish
406,38.0279998779297,-122.150573730469,FMWT,Fish
407,38.0329818725586,-122.145149230957,FMWT,Fish
408,38.0351295471191,-122.128967285156,FMWT,Fish
409,38.0445518493652,-122.106369018555,FMWT,Fish
410,38.048828125,-122.096473693848,FMWT,Fish
411,38.0611686706543,-122.068283081055,FMWT,Fish
412,38.0646209716797,-122.060066223145,FMWT,Fish
413,38.0659484863281,-122.047302246094,FMWT,Fish
414,38.052131652832,-122.111282348633,FMWT,Fish
415,38.0567817687988,-122.107719421387,FMWT,Fish
416,38.0702018737793,-122.094146728516,FMWT,Fish
417,38.0807495117188,-122.083000183105,FMWT,Fish
418,38.0938301086426,-122.069732666016,FMWT,Fish
501,38.0616683959961,-122.019546508789,FMWT,Fish
502,38.0599708557129,-122.003967285156,FMWT,Fish
503,38.0602188110352,-121.983200073242,FMWT,Fish
504,38.0594482421875,-121.976699829102,FMWT,Fish
505,38.05712890625,-121.95597076416,FMWT,Fish
507,38.0522804260254,-121.939002990723,FMWT,Fish
508,38.0481300354004,-121.914916992188,FMWT,Fish
509,38.0454711914062,-121.904121398926,FMWT,Fish
510,38.0488815307617,-121.887832641602,FMWT,Fish
511,38.0513000488281,-121.879997253418,FMWT,Fish
512,38.0563812255859,-121.877220153809,FMWT,Fish
513,38.0592002868652,-121.868423461914,FMWT,Fish
515,38.0919990539551,-122.014717102051,FMWT,Fish
516,38.078670501709,-121.994079589844,FMWT,Fish
517,38.0702209472656,-121.979377746582,FMWT,Fish
518,38.0687484741211,-121.968017578125,FMWT,Fish
519,38.0737800598145,-121.947250366211,FMWT,Fish
601,38.103099822998,-122.035598754883,FMWT,Fish
602,38.1178283691406,-122.041831970215,FMWT,Fish
603,38.1155204772949,-122.048049926758,FMWT,Fish
604,38.1216316223145,-122.057167053223,FMWT,Fish
605,38.1485290527344,-122.05738067627,FMWT,Fish
606,38.1697998046875,-122.021766662598,FMWT,Fish
608,38.0886993408203,-121.883323669434,FMWT,Fish
701,38.0650482177734,-121.834747314453,FMWT,Fish
703,38.0608711242676,-121.796920776367,FMWT,Fish
704,38.0708694458008,-121.778923034668,FMWT,Fish
705,38.0792503356934,-121.76180267334,FMWT,Fish
706,38.0903015136719,-121.73999786377,FMWT,Fish
707,38.1139717102051,-121.707969665527,FMWT,Fish
708,38.1260795593262,-121.696701049805,FMWT,Fish
709,38.1478691101074,-121.690483093262,FMWT,Fish
710,38.1619987487793,-121.682281494141,FMWT,Fish
711,38.1759490966797,-121.670280456543,FMWT,Fish
802,38.0352783203125,-121.838752746582,FMWT,Fish
804,38.023078918457,-121.798683166504,FMWT,Fish
806,38.0287208557129,-121.761703491211,FMWT,Fish
807,38.0299491882324,-121.732032775879,FMWT,Fish
808,38.0333709716797,-121.719421386719,FMWT,Fish
809,38.0512008666992,-121.693046569824,FMWT,Fish
810,38.0708312988281,-121.676223754883,FMWT,Fish
811,38.0974197387695,-121.66487121582,FMWT,Fish
812,38.0879211425781,-121.648826599121,FMWT,Fish
813,38.099781036377,-121.627670288086,FMWT,Fish
814,38.1012802124023,-121.602203369141,FMWT,Fish
815,38.0913009643555,-121.575866699219,FMWT,Fish
902,38.0205001831055,-121.582550048828,FMWT,Fish
904,38.0782814025879,-121.568466186523,FMWT,Fish
905,38.0595283508301,-121.555732727051,FMWT,Fish
906,38.0541191101074,-121.516532897949,FMWT,Fish
908,38.0430793762207,-121.529800415039,FMWT,Fish
915,37.9490013122559,-121.55908203125,FMWT,Fish
405,38.0396957397461,-122.150497436523,STN,Fish
411,38.0513038635254,-122.083305358887,STN,Fish
418,38.0648040771484,-122.097808837891,STN,Fish
501,38.0724983215332,-122.025192260742,STN,Fish
504,38.054500579834,-121.989501953125,STN,Fish
508,38.0455017089844,-121.918807983398,STN,Fish
513,38.0583038330078,-121.86799621582,STN,Fish
519,38.0723037719727,-121.959693908691,STN,Fish
520,38.0328063964844,-121.86930847168,STN,Fish
602,38.1139984130859,-122.046195983887,STN,Fish
606,38.1694717407227,-122.025665283203,STN,Fish
609,38.1671943664551,-121.938003540039,STN,Fish
610,38.1188049316406,-121.889190673828,STN,Fish
704,38.0691680908203,-121.775276184082,STN,Fish
706,38.0851936340332,-121.750694274902,STN,Fish
707,38.1134986877441,-121.707496643066,STN,Fish
711,38.1788063049316,-121.665306091309,STN,Fish
801,38.0436935424805,-121.84400177002,STN,Fish
804,38.018196105957,-121.796997070312,STN,Fish
809,38.0525016784668,-121.689193725586,STN,Fish
812,38.0903053283691,-121.640502929688,STN,Fish
815,38.0800018310547,-121.569808959961,STN,Fish
902,38.0191955566406,-121.582191467285,STN,Fish
906,38.0516929626465,-121.509002685547,STN,Fish
915,37.9425010681152,-121.563499450684,STN,Fish
MS001N,38.0560455322266,-121.78556060791,DJFMP,Fish
SJ001S,38.0148086547852,-121.78271484375,DJFMP,Fish
SJ005N,38.0507926940918,-121.699432373047,DJFMP,Fish
SR012E,38.1327247619629,-121.686546325684,DJFMP,Fish
SR012E,38.139289855957,-121.69490814209,DJFMP,Fish
SR014W,38.1865196228027,-121.662666320801,DJFMP,Fish
TM001N,38.1166610717773,-121.683799743652,DJFMP,Fish
NZD28,37.9827777777778,-121.577222222222,EMP Zoop,Zoop
NZ054,38.0458333333333,-121.906388888889,EMP Zoop,Zoop
NZ074,38.0222222222222,-121.803611111111,EMP Zoop,Zoop
NZ048,38.06,-121.995833333333,EMP Zoop,Zoop
NZ086,38.0777777777778,-121.570277777778,EMP Zoop,Zoop
NZ064,38.0847222222222,-121.738055555556,EMP Zoop,Zoop
NZ060,38.0644444444444,-121.828888888889,EMP Zoop,Zoop
NZ028,38.1172222222222,-122.047222222222,EMP Zoop,Zoop
NZS42,38.1805555555556,-122.047222222222,EMP Zoop,Zoop
NZ032,38.1702777777778,-122.020833333333,EMP Zoop,Zoop
D4-L,38.0581151,-121.8193499,EMP Benthic,NA
D7-C,38.1171292,-122.0395539,EMP Benthic,NA
D28A-L,37.9701652,-121.5741188,EMP Benthic,NA
D26,38.07664,-121.5669,EMP Nutrients,Nutrients
D28A,37.97048,-121.573,EMP Nutrients,Nutrients
D4,38.06248,-121.8205,EMP Nutrients,Nutrients
D6,38.04436,-122.1177,EMP Nutrients,Nutrients
D7,38.11714,-122.0397,EMP Nutrients,Nutrients
D8,38.05992,-121.99,EMP Nutrients,Nutrients
