"Station","Latitude","Longitude","Survey"
"NZD28",37.9827777777778,-121.577222222222,"EMP zooplantkon"
"NZ054",38.0458333333333,-121.906388888889,"EMP zooplantkon"
"NZ074",38.0222222222222,-121.803611111111,"EMP zooplantkon"
"NZ048",38.06,-121.995833333333,"EMP zooplantkon"
"NZ086",38.0777777777778,-121.570277777778,"EMP zooplantkon"
"NZ064",38.0847222222222,-121.738055555556,"EMP zooplantkon"
"NZ060",38.0644444444444,-121.828888888889,"EMP zooplantkon"
"NZ028",38.1172222222222,-122.047222222222,"EMP zooplantkon"
"NZS42",38.1805555555556,-122.047222222222,"EMP zooplantkon"
"NZ032",38.1702777777778,-122.020833333333,"EMP zooplantkon"
