"Model","Region","Response","op","Predictor","Effect","se","pvalue"
"Original","Sacramento","chla","~","corbic",0.4497,0.1121,1e-04
"Original","Sacramento","chla","~","flow",0.2008,0.1373,0.1436
"Original","Sacramento","chla","~","temp",0.1777,0.1254,0.1565
"Original","Sacramento","chla","~","turbid",0.1056,0.1289,0.4126
"Original","Sacramento","hzoop","~","chla",0.1676,0.1409,0.2343
"Original","Sacramento","hzoop","~","corbic",0.384,0.133,0.0039
"Original","Sacramento","hzoop","~","flow",-0.1588,0.1415,0.2617
"Original","Sacramento","hzoop","~","temp",0.0864,0.1299,0.506
"Original","Sacramento","hzoop","~","turbid",0.4475,0.1095,0
"Original","Sacramento","pzoop","~","chla",0.6016,0.0892,0
"Original","Sacramento","pzoop","~","corbic",0.3612,0.0978,2e-04
"Original","Sacramento","pzoop","~","flow",-0.4792,0.0902,0
"Original","Sacramento","pzoop","~","temp",-0.0037,0.0846,0.9652
"Original","Sacramento","pzoop","~","turbid",0.1286,0.0918,0.1612
"Original","Sacramento","pzoop","~","hzoop",0.1338,0.1011,0.1858
"Original","Sacramento","fish","~","chla",-0.6863,0.2162,0.0015
"Original","Sacramento","fish","~","hzoop",0.5237,0.1443,3e-04
"Original","Sacramento","fish","~","pzoop",0.6097,0.2253,0.0068
"Original","Sacramento","fish","~","corbic",-0.3462,0.1765,0.0499
"Original","Sacramento","fish","~","flow",0.3203,0.1776,0.0714
"Original","Sacramento","fish","~","temp",0.0923,0.1299,0.4774
"Original","Sacramento","fish","~","turbid",0.3255,0.139,0.0192
"Original","Sacramento","fish","=~","estfish",0.8084,0.0709,0
"Original","Sacramento","fish","=~","estfish_stn",0.8434,0.0804,0
"Original","Sacramento","estfish_stn","~~","chla",0.5948,0.1606,2e-04
"Original","Sacramento","estfish","~~","estfish",0.3464,0.1146,0.0025
"Original","Sacramento","estfish_stn","~~","estfish_stn",0.4039,0.1428,0.0047
"Original","Sacramento","chla","~~","chla",0.6859,0.1021,0
"Original","Sacramento","hzoop","~~","hzoop",0.5653,0.1041,0
"Original","Sacramento","pzoop","~~","pzoop",0.2351,0.058,1e-04
"Original","Sacramento","fish","~~","fish",0.2744,0.1076,0.0107
"Original","Sacramento","corbic","~~","corbic",1,0,NA
"Original","Sacramento","corbic","~~","flow",0.3782,0,NA
"Original","Sacramento","corbic","~~","temp",-0.2155,0,NA
"Original","Sacramento","corbic","~~","turbid",0.1434,0,NA
"Original","Sacramento","flow","~~","flow",1,0,NA
"Original","Sacramento","flow","~~","temp",-0.3905,0,NA
"Original","Sacramento","flow","~~","turbid",0.31,0,NA
"Original","Sacramento","temp","~~","temp",1,0,NA
"Original","Sacramento","temp","~~","turbid",-0.1037,0,NA
"Original","Sacramento","turbid","~~","turbid",1,0,NA
"Original","San Joaquin","chla","~","corbic",0.2832,0.1417,0.0458
"Original","San Joaquin","chla","~","flow",-0.128,0.1399,0.36
"Original","San Joaquin","chla","~","temp",0.081,0.1396,0.5615
"Original","San Joaquin","chla","~","turbid",0.3726,0.1385,0.0071
"Original","San Joaquin","hzoop","~","chla",0.5227,0.114,0
"Original","San Joaquin","hzoop","~","corbic",0.3779,0.1149,0.001
"Original","San Joaquin","hzoop","~","flow",-0.063,0.1118,0.5735
"Original","San Joaquin","hzoop","~","temp",-0.0253,0.1104,0.8186
"Original","San Joaquin","hzoop","~","turbid",-0.0231,0.1267,0.8552
"Original","San Joaquin","pzoop","~","chla",0.5156,0.125,0
"Original","San Joaquin","pzoop","~","corbic",-0.0389,0.1204,0.7468
"Original","San Joaquin","pzoop","~","flow",-0.071,0.0997,0.4762
"Original","San Joaquin","pzoop","~","temp",0.0493,0.0981,0.615
"Original","San Joaquin","pzoop","~","turbid",0.1778,0.1117,0.1116
"Original","San Joaquin","pzoop","~","hzoop",0.2793,0.1393,0.0449
"Original","San Joaquin","fish","~","hzoop",0.2551,0.1238,0.0393
"Original","San Joaquin","fish","~","pzoop",-0.1211,0.1182,0.3055
"Original","San Joaquin","fish","~","corbic",0.1746,0.1047,0.0955
