"Model","Region","Response","op","Predictor","Effect","se","pvalue"
"Original","West","chla","~","potam",-0.285,0.1629,0.0802
"Original","West","chla","~","flow",0.2798,0.1763,0.1125
"Original","West","chla","~","temp",-0.2781,0.1422,0.0506
"Original","West","chla","~","turbid",-0.2134,0.189,0.2588
"Original","West","hzoop","~","chla",0.599,0.1047,0
"Original","West","hzoop","~","potam",-0.3187,0.1271,0.0122
"Original","West","hzoop","~","flow",0.1566,0.139,0.2599
"Original","West","hzoop","~","temp",0.0284,0.1159,0.8065
"Original","West","hzoop","~","turbid",-0.245,0.1438,0.0884
"Original","West","pzoop","~","chla",0.4548,0.0971,0
"Original","West","pzoop","~","potam",-0.0389,0.089,0.6619
"Original","West","pzoop","~","flow",-0.3923,0.0933,0
"Original","West","pzoop","~","temp",-0.0055,0.0737,0.9405
"Original","West","pzoop","~","turbid",0.1208,0.096,0.2083
"Original","West","pzoop","~","hzoop",0.5914,0.0993,0
"Original","West","fish","~","hzoop",0.2116,0.1546,0.1709
"Original","West","fish","~","pzoop",0.2981,0.1434,0.0376
"Original","West","fish","~","potam",-0.3429,0.0994,6e-04
"Original","West","fish","~","flow",0.2211,0.1134,0.0511
"Original","West","fish","~","temp",0.0113,0.0815,0.8898
"Original","West","fish","~","turbid",0.244,0.1091,0.0254
"Original","West","fish","=~","estfish",0.8793,0.039,0
"Original","West","fish","=~","estfish_stn",0.8833,0.0382,0
"Original","West","fish","=~","estfish_bsmt",0.7519,0.0683,0
"Original","West","estfish","~~","estfish",0.2267,0.0687,0.001
"Original","West","estfish_stn","~~","estfish_stn",0.2198,0.0675,0.0011
"Original","West","estfish_bsmt","~~","estfish_bsmt",0.4346,0.1027,0
"Original","West","chla","~~","chla",0.719,0.1117,0
"Original","West","hzoop","~~","hzoop",0.402,0.0934,0
"Original","West","pzoop","~~","pzoop",0.1622,0.0462,4e-04
"Original","West","fish","~~","fish",0.0848,0.049,0.0837
"Original","West","potam","~~","potam",1,0,NA
"Original","West","potam","~~","flow",-0.4816,0,NA
"Original","West","potam","~~","temp",0.4001,0,NA
"Original","West","potam","~~","turbid",-0.5489,0,NA
"Original","West","flow","~~","flow",1,0,NA
"Original","West","flow","~~","temp",-0.2948,0,NA
"Original","West","flow","~~","turbid",0.6585,0,NA
"Original","West","temp","~~","temp",1,0,NA
"Original","West","temp","~~","turbid",-0.3542,0,NA
"Original","West","turbid","~~","turbid",1,0,NA
"Original","North","chla","~","corbic",0.4498,0.1121,1e-04
"Original","North","chla","~","flow",0.2014,0.1373,0.1425
