"Variable","Years_missing","Definition"
"Ammonia","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Amphipods catch","1975‒2020 (1)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Amphipods mass","1975‒2020 (1)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Phytoplankton","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Cladocera","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Cladocera catch","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Cladocera energy","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Corbicula","1975‒2020 (1)","from the Environmental Monitoring Program (EMP) Benthic Survey at DWR - year-round"
"Dissolved Orthophos","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Estuarine fishes","1975‒2020 (1)","fall (September - December) - midwater trawl - biomass of estuarine pelagic forage fishes"
"Estuarine fishes bay study midwater trawl","1980‒2020 (1)","year-round - midwater trawl - biomass of estuarine pelagic forage fishes"
"Estuarine fishes bay study otter trawl","1980‒2020 (0)","year-round - ottor trawl - biomass of estuarine pelagic forage fishes"
"Estuarine fishes summer townet","1975‒2021 (0)","summer (June ? August) - townet - biomass of estuarine pelagic forage fishes"
"Flow","1975‒2020 (0)","year-round - mean Delta outflow (water leaving the Delta to the Bay)"
"Herbivorous copepods","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Herbivorous copepods catch","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Herbivorous copepods energy","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Herbivorous zooplankton biomass","1975‒2020 (0)","summed herbivorous zooplankton biomass"
"Herbivorous zooplankton energy","1975‒2020 (0)","summed herbivorous zooplankton energy"
"Longfin smelt","1975‒2020 (1)","fall (September - December) - midwater trawl - biomass"
"Longfin smelt bay study midwater trawl","1980‒2020 (1)","year-round - midwater trawl - biomass"
"Longfin smelt bay study otter trawl","1980‒2020 (0)","year-round - ottor trawl - biomass"
"Longfin smelt summer townet","1975‒2021 (0)","summer (June ? August) - townet - biomass"
"Marine fishes","1975‒2020 (1)","fall (September - December) - midwater trawl - biomass"
"Marine fishes bay study midwater trawl","1980‒2020 (1)","year-round - midwater trawl - biomass"
"Marine fishes bay study otter trawl","1980‒2020 (0)","year-round - ottor trawl - biomass"
"Marine fishes summer townet","1975‒2021 (0)","summer (June ? August) - townet - biomass"
"Mysids","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Mysids catch","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Mysids energy","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Nitrate Nitrite","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Predatory copepods","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Predatory copepods catch","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Predatory copepods energy","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Potamocorbula","1975‒2020 (1)","from the Environmental Monitoring Program (EMP) Benthic Survey at DWR - year-round"
"Predatory zooplankton biomass","1975‒2020 (0)","summed predatory zooplankton biomass"
"Predatory zooplankton energy","1975‒2020 (0)","summed predatory zooplankton energy"
"Rotifers catch","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Rotifers energy","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Rotifers mass","1975‒2020 (0)","from 5 different sources - year-round - see Bashevkin et al. 2022"
"Striped bass","1975‒2020 (1)","fall (September - December) - midwater trawl - biomass of age 0 individuals"
"Striped bass bay study midwater trawl","1980‒2020 (1)","year-round - midwater trawl - biomass of age 0 individuals"
"Striped bass bay study otter trawl","1980‒2020 (0)","year-round - ottor trawl - biomass of age 0 individuals"
"Striped bass summer townet","1975‒2021 (0)","summer (June ? August) - townet - biomass of age 0 individuals"
"Secchi","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Delta smelt","1975‒2020 (1)","fall (September - December) - midwater trawl - biomass"
"Delta smelt bay study midwater trawl","1980‒2020 (1)","year-round - midwater trawl - biomass"
"Delta smelt bay study otter trawl","1980‒2020 (0)","year-round - ottor trawl - biomass"
"Delta smelt summer townet","1975‒2021 (0)","summer (June ? August) - townet - biomass"
"Mississippi silverside","1976‒2020 (0)","from the Delta juvenile fish monitoring program - year-round - beach seines - biomass"
"Temperature","1980‒2020 (0)","from the Discrete Environmental Monitoring Program (EMP) at DWR - year-round"
"Turbidity","1980‒2020 (0)","negative secchi depth"
"Total zooplankton biomass","1975‒2020 (0)","summed zooplankton biomass"
"Total zooplankton energy","1975‒2020 (0)","summed zooplankton energy"
