"Survey","Temporal resolution","Stations"
"Bay Study","Annual","427, 428, 429, 431, 432, 433, 534, 535, 736, 837"
"DJFMP","Annual","MS001N, SJ001S, SJ005N, SR012E, SR012E, SR014W, TM001N"
"EMP Benthic","Annual","D4-L, D7-C, D28A-L"
"EMP Nutrients","Annual","D26, D28A, D4, D6, D7, D8"
"EMP Zoop","Annual","NZD28, NZ054, NZ074, NZ048, NZ086, NZ064, NZ060, NZ028, NZS42, NZ032"
"FMWT","Annual","338, 339, 401, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 501, 502, 503, 504, 505, 507, 508, 509, 510, 511, 512, 513, 515, 516, 517, 518, 519, 601, 602, 603, 604, 605, 606, 608, 701, 703, 704, 705, 706, 707, 708, 709, 710, 711, 802, 804, 806, 807, 808, 809, 810, 811, 812, 813, 814, 815, 902, 904, 905, 906, 908, 915"
"STN","Annual","405, 411, 418, 501, 504, 508, 513, 519, 520, 602, 606, 609, 610, 704, 706, 707, 711, 801, 804, 809, 812, 815, 902, 906, 915"
"Bay Study","Monthly","317, 318, 319, 320, 321, 322, 323, 325, 427, 428, 429, 430, 431, 432, 433, 534, 535, 736, 837, 345, 346, 447, 750, 751, 752, 853, 760, 761, 863, 864, 865"
"DJFMP","Monthly","SR014W, SR012E, MS001N, TM001N, SJ005N, SJ001S, OR003W, OR014W, SR012E"
"EMP Benthic","Monthly","D4-L, D6-R, D7-C, D16-L, D28A-L, D24-L, D41-C, D41A-C"
"EMP Nutrients","Monthly","D26, D28A, D4, D41, D6, D7, D8"
"EMP Zoop","Monthly","NZD28, NZ054, NZ074, NZ048, NZD16, NZ086, NZ064, NZ060, NZ028, NZS42, NZ032, NZD41, NZD06"
